# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.095008e+05 -1.220589e+05 2.495377e-14)	(1.094799e+05 -1.220589e+05 2.495383e-14)	(2.095310e+01 7.310067e-02 -6.575304e-20)
0.0002       	(4.391175e+03 -1.987828e+03 7.227734e-16)	(4.370598e+03 -1.987882e+03 7.228230e-16)	(2.057668e+01 5.331377e-02 -4.959182e-20)
0.0003       	(1.092160e+03 -9.924914e+02 2.025991e-16)	(1.071753e+03 -9.925425e+02 2.026390e-16)	(2.040685e+01 5.107338e-02 -3.987888e-20)
0.0004       	(5.361458e+02 -8.160290e+02 1.691347e-16)	(5.158939e+02 -8.160802e+02 1.691716e-16)	(2.025194e+01 5.121555e-02 -3.691801e-20)
0.0005       	(4.432529e+02 -5.911909e+02 1.618704e-16)	(4.231494e+02 -5.912422e+02 1.619056e-16)	(2.010342e+01 5.130621e-02 -3.522264e-20)
0.0006       	(5.769105e+02 -3.367276e+02 1.944481e-16)	(5.569482e+02 -3.367816e+02 1.944807e-16)	(1.996230e+01 5.405828e-02 -3.263196e-20)
0.0007       	(8.647914e+02 1.298422e+03 2.420264e-16)	(8.449608e+02 1.298363e+03 2.420578e-16)	(1.983061e+01 5.904256e-02 -3.142497e-20)
0.0008       	(7.517989e+02 -2.545436e+03 2.407527e-16)	(7.320973e+02 -2.545495e+03 2.407833e-16)	(1.970165e+01 5.907125e-02 -3.061035e-20)
0.0009       	(5.713557e+02 -2.987730e+03 2.013976e-16)	(5.517803e+02 -2.987788e+03 2.014275e-16)	(1.957539e+01 5.772398e-02 -2.987657e-20)
0.001        	(7.308163e+02 -2.215574e+03 2.290434e-16)	(7.113613e+02 -2.215632e+03 2.290724e-16)	(1.945506e+01 5.757677e-02 -2.898498e-20)
0.0011       	(8.174976e+02 -1.335407e+03 2.473925e-16)	(7.981580e+02 -1.335468e+03 2.474205e-16)	(1.933960e+01 6.164436e-02 -2.799075e-20)
0.0012       	(1.137520e+03 9.508267e+02 2.982921e-16)	(1.118286e+03 9.507625e+02 2.983161e-16)	(1.923320e+01 6.425085e-02 -2.398912e-20)
0.0013       	(7.820959e+02 1.573229e+03 2.163779e-16)	(7.629693e+02 1.573161e+03 2.164007e-16)	(1.912665e+01 6.873573e-02 -2.276265e-20)
0.0014       	(5.994239e+02 1.326811e+02 1.846228e-16)	(5.804027e+02 1.326091e+02 1.846450e-16)	(1.902120e+01 7.197893e-02 -2.212949e-20)
0.0015       	(7.177403e+02 -2.611809e+03 2.270099e-16)	(6.988211e+02 -2.611881e+03 2.270314e-16)	(1.891919e+01 7.194910e-02 -2.147368e-20)
0.0016       	(5.016473e+02 -1.695200e+03 1.780872e-16)	(4.828292e+02 -1.695273e+03 1.781080e-16)	(1.881811e+01 7.333701e-02 -2.074974e-20)
0.0017       	(8.508237e+02 -6.546628e+02 2.270759e-16)	(8.321019e+02 -6.547308e+02 2.270968e-16)	(1.872173e+01 6.802209e-02 -2.086092e-20)
0.0018       	(5.459757e+02 -3.886433e+02 1.759709e-16)	(5.273500e+02 -3.887103e+02 1.759912e-16)	(1.862570e+01 6.698172e-02 -2.032977e-20)
0.0019       	(7.317961e+02 3.417145e+02 2.096359e-16)	(7.132619e+02 3.416459e+02 2.096555e-16)	(1.853422e+01 6.861438e-02 -1.960194e-20)
0.002        	(5.075436e+02 -1.228920e+03 1.753579e-16)	(4.891001e+02 -1.228989e+03 1.753773e-16)	(1.844349e+01 6.895195e-02 -1.941338e-20)
0.0021       	(9.175522e+02 -2.752764e+03 2.703851e-16)	(8.991929e+02 -2.752833e+03 2.704042e-16)	(1.835938e+01 6.854362e-02 -1.906960e-20)
0.0022       	(1.293156e+03 -4.763204e+02 3.294026e-16)	(1.274874e+03 -4.763900e+02 3.294211e-16)	(1.828172e+01 6.954920e-02 -1.843398e-20)
0.0023       	(1.116097e+03 -9.223687e+02 2.951674e-16)	(1.097892e+03 -9.224386e+02 2.951853e-16)	(1.820479e+01 6.993208e-02 -1.794056e-20)
0.0024       	(7.104669e+02 -2.335947e+03 2.219591e-16)	(6.923412e+02 -2.336016e+03 2.219766e-16)	(1.812573e+01 6.863988e-02 -1.747527e-20)
0.0025       	(5.725270e+02 -9.812664e+02 1.857827e-16)	(5.544800e+02 -9.813362e+02 1.857983e-16)	(1.804693e+01 6.982152e-02 -1.566200e-20)
0.0026       	(5.631465e+02 -7.800167e+01 1.785123e-16)	(5.451745e+02 -7.807164e+01 1.785277e-16)	(1.797196e+01 6.996659e-02 -1.540908e-20)
0.0027       	(6.324506e+02 2.152297e+03 1.846035e-16)	(6.145532e+02 2.152232e+03 1.846209e-16)	(1.789742e+01 6.424634e-02 -1.746104e-20)
0.0028       	(8.433782e+02 7.860928e+02 2.354209e-16)	(8.255506e+02 7.860345e+02 2.354405e-16)	(1.782758e+01 5.826137e-02 -1.960065e-20)
0.0029       	(1.568995e+03 -3.358755e+03 4.064425e-16)	(1.551228e+03 -3.358811e+03 4.064623e-16)	(1.776686e+01 5.586049e-02 -1.981163e-20)
0.003        	(9.968646e+02 -5.024285e+03 3.469250e-16)	(9.791616e+02 -5.024345e+03 3.469486e-16)	(1.770298e+01 6.018683e-02 -2.362792e-20)
0.0031       	(4.855264e+02 -9.884082e+02 1.704542e-16)	(4.678891e+02 -9.884675e+02 1.704781e-16)	(1.763733e+01 5.925054e-02 -2.388637e-20)
0.0032       	(1.213398e+03 -3.395645e+03 3.347034e-16)	(1.195818e+03 -3.395702e+03 3.347274e-16)	(1.758057e+01 5.760542e-02 -2.401907e-20)
0.0033       	(9.747749e+02 -3.090351e+03 2.834729e-16)	(9.572517e+02 -3.090406e+03 2.834972e-16)	(1.752322e+01 5.548892e-02 -2.425167e-20)
0.0034       	(5.978421e+02 -1.537542e+03 1.958773e-16)	(5.803786e+02 -1.537597e+03 1.959020e-16)	(1.746349e+01 5.437235e-02 -2.464886e-20)
0.0035       	(9.410216e+02 -2.697195e+03 2.736751e-16)	(9.236135e+02 -2.697249e+03 2.737009e-16)	(1.740810e+01 5.402200e-02 -2.577647e-20)
