# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.399453e+05 -8.050121e+05 2.582585e-15)	(1.399243e+05 -8.050100e+05 2.582643e-15)	(2.098687e+01 -2.091447e+00 -5.813048e-20)
0.0002       	(4.265955e+03 -3.432035e+04 -1.160774e-17)	(4.245435e+03 -3.431832e+04 -1.155263e-17)	(2.051916e+01 -2.033337e+00 -5.511426e-20)
0.0003       	(3.222136e+02 -6.436357e+02 -4.669857e-18)	(3.018814e+02 -6.416388e+02 -4.616864e-18)	(2.033220e+01 -1.996954e+00 -5.299305e-20)
0.0004       	(2.307054e+02 -3.031191e+01 -9.473768e-18)	(2.106874e+02 -2.836576e+01 -9.421055e-18)	(2.001800e+01 -1.946146e+00 -5.271270e-20)
0.0005       	(1.676048e+02 -2.668056e+02 -1.097823e-17)	(1.477453e+02 -2.648903e+02 -1.092587e-17)	(1.985944e+01 -1.915304e+00 -5.235967e-20)
0.0006       	(1.441125e+02 -3.034483e+02 -1.003457e-17)	(1.244060e+02 -3.015581e+02 -9.982348e-18)	(1.970645e+01 -1.890150e+00 -5.221845e-20)
0.0007       	(1.417731e+02 -2.197340e+02 -9.664585e-18)	(1.222143e+02 -2.178697e+02 -9.612711e-18)	(1.955881e+01 -1.864329e+00 -5.187412e-20)
0.0008       	(1.172633e+02 -3.386503e+02 -1.204761e-17)	(9.784759e+01 -3.368115e+02 -1.199608e-17)	(1.941569e+01 -1.838801e+00 -5.152357e-20)
0.0009       	(-1.428492e+02 -2.576064e+03 -4.575386e-17)	(-1.621244e+02 -2.574245e+03 -4.570081e-17)	(1.927519e+01 -1.819005e+00 -5.305154e-20)
0.001        	(-5.644987e+00 -1.390528e+03 -2.093889e-17)	(-2.478511e+01 -1.388729e+03 -2.088547e-17)	(1.914013e+01 -1.798616e+00 -5.342189e-20)
0.0011       	(7.706339e+01 -4.858411e+02 -1.134148e-17)	(5.805371e+01 -4.840686e+02 -1.128773e-17)	(1.900968e+01 -1.772427e+00 -5.375730e-20)
0.0012       	(7.789374e+01 -4.333870e+02 -1.167969e-17)	(5.901101e+01 -4.316322e+02 -1.162568e-17)	(1.888272e+01 -1.754830e+00 -5.400687e-20)
0.0013       	(7.597145e+01 -5.849918e+02 -1.305483e-17)	(5.721195e+01 -5.832506e+02 -1.300055e-17)	(1.875950e+01 -1.741165e+00 -5.428351e-20)
0.0014       	(5.743892e+01 -6.327069e+02 -1.234206e-17)	(3.879771e+01 -6.309870e+02 -1.228775e-17)	(1.864121e+01 -1.719878e+00 -5.430352e-20)
0.0015       	(6.694056e+01 -2.158748e+02 -1.381967e-17)	(4.841523e+01 -2.141677e+02 -1.376470e-17)	(1.852533e+01 -1.707118e+00 -5.497398e-20)
0.0016       	(-3.334507e+01 -1.350245e+03 -2.061512e-17)	(-5.175753e+01 -1.348553e+03 -2.055959e-17)	(1.841246e+01 -1.692034e+00 -5.553206e-20)
