# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.592848e+05 -3.859723e+05 1.386290e-14)	(1.592636e+05 -3.859714e+05 1.386294e-14)	(2.116218e+01 -8.697293e-01 -3.659499e-20)
0.0002       	(5.647241e+03 -1.639274e+04 4.738741e-16)	(5.626486e+03 -1.639187e+04 4.739071e-16)	(2.075460e+01 -8.655275e-01 -3.302023e-20)
0.0003       	(4.146551e+02 3.552388e+01 1.764125e-17)	(3.940822e+02 3.637058e+01 1.767342e-17)	(2.057296e+01 -8.467035e-01 -3.216394e-20)
0.0004       	(3.754302e+02 -7.833057e+01 1.813749e-17)	(3.553003e+02 -7.750534e+01 1.816936e-17)	(2.012987e+01 -8.252261e-01 -3.187132e-20)
0.0005       	(2.921594e+02 -6.325945e+01 1.936382e-17)	(2.721873e+02 -6.244648e+01 1.939556e-17)	(1.997205e+01 -8.129735e-01 -3.174473e-20)
0.0006       	(2.472738e+02 -5.755087e+01 2.051401e-17)	(2.274533e+02 -5.674973e+01 2.054560e-17)	(1.982051e+01 -8.011337e-01 -3.158684e-20)
0.0007       	(2.191181e+02 -5.995877e+01 2.328266e-17)	(1.994440e+02 -5.916934e+01 2.331399e-17)	(1.967413e+01 -7.894303e-01 -3.132362e-20)
0.0008       	(1.904755e+02 -4.823260e+01 2.000000e-17)	(1.709428e+02 -4.745600e+01 2.003027e-17)	(1.953272e+01 -7.765978e-01 -3.026821e-20)
0.0009       	(1.680453e+02 -3.817633e+01 1.701190e-17)	(1.486497e+02 -3.741521e+01 1.704217e-17)	(1.939557e+01 -7.611240e-01 -3.027119e-20)
0.001        	(1.516966e+02 -3.203734e+01 1.528007e-17)	(1.324342e+02 -3.128951e+01 1.531080e-17)	(1.926244e+01 -7.478234e-01 -3.073064e-20)
0.0011       	(1.392876e+02 -2.808911e+01 1.419320e-17)	(1.201549e+02 -2.734483e+01 1.422360e-17)	(1.913278e+01 -7.442721e-01 -3.039576e-20)
0.0012       	(1.293453e+02 -2.507183e+01 1.334840e-17)	(1.103365e+02 -2.433661e+01 1.337878e-17)	(1.900883e+01 -7.352263e-01 -3.038162e-20)
