# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.435443e+04 1.042941e+06 1.570711e-14)	(3.433406e+04 1.042938e+06 1.570709e-14)	(2.036752e+01 3.006623e+00 2.368045e-20)
0.0002       	(2.735513e+03 6.682537e+04 8.751522e-16)	(2.715648e+03 6.682247e+04 8.751293e-16)	(1.986438e+01 2.893783e+00 2.295923e-20)
0.0003       	(8.828395e+01 -1.073631e+04 -2.100863e-16)	(6.860791e+01 -1.073916e+04 -2.101087e-16)	(1.967604e+01 2.851364e+00 2.235630e-20)
0.0004       	(6.167741e+01 -3.124940e+01 -1.408049e-17)	(4.297485e+01 -3.397277e+01 -1.410435e-17)	(1.870256e+01 2.723375e+00 2.385946e-20)
0.0005       	(1.473863e+02 -9.363484e+00 -3.228987e-17)	(1.288466e+02 -1.205427e+01 -3.231287e-17)	(1.853969e+01 2.690784e+00 2.300310e-20)
0.0006       	(1.329930e+02 -5.023549e+00 -2.963775e-17)	(1.145994e+02 -7.684578e+00 -2.966001e-17)	(1.839361e+01 2.661029e+00 2.225944e-20)
0.0007       	(8.888622e+01 9.844936e-01 -2.097655e-17)	(7.063327e+01 -1.647566e+00 -2.099863e-17)	(1.825295e+01 2.632060e+00 2.207722e-20)
0.0008       	(7.946239e+01 -2.058168e-01 -1.910436e-17)	(6.134693e+01 -2.809815e+00 -1.912637e-17)	(1.811546e+01 2.603998e+00 2.200423e-20)
0.0009       	(8.182310e+01 -7.462012e+01 -1.771326e-17)	(6.384061e+01 -7.719874e+01 -1.773489e-17)	(1.798249e+01 2.578621e+00 2.163520e-20)
0.001        	(1.083850e+02 -3.253318e+02 -1.665394e-17)	(9.053268e+01 -3.278917e+02 -1.667739e-17)	(1.785230e+01 2.559934e+00 2.344608e-20)
0.0011       	(7.068641e+01 -6.379513e+01 -1.582130e-17)	(5.296169e+01 -6.633127e+01 -1.584481e-17)	(1.772473e+01 2.536139e+00 2.350473e-20)
0.0012       	(6.013974e+01 -8.145511e+00 -1.516241e-17)	(4.254703e+01 -1.065992e+01 -1.518383e-17)	(1.759271e+01 2.514414e+00 2.142428e-20)
0.0013       	(5.694852e+01 -5.102603e+00 -1.462553e-17)	(3.947769e+01 -7.594109e+00 -1.464614e-17)	(1.747083e+01 2.491506e+00 2.060707e-20)
0.0014       	(5.546159e+01 -1.144803e+01 -1.418784e-17)	(3.810628e+01 -1.391605e+01 -1.420855e-17)	(1.735530e+01 2.468023e+00 2.071179e-20)
0.0015       	(5.384171e+01 -1.360045e+01 -1.383363e-17)	(3.659961e+01 -1.604459e+01 -1.385436e-17)	(1.724210e+01 2.444141e+00 2.072999e-20)
0.0016       	(6.248886e+01 -5.219502e+01 -1.564756e-17)	(4.535685e+01 -5.461383e+01 -1.566680e-17)	(1.713201e+01 2.418811e+00 1.924041e-20)
0.0017       	(5.360798e+01 3.730254e+00 -1.562643e-17)	(3.658449e+01 1.332816e+00 -1.564592e-17)	(1.702349e+01 2.397439e+00 1.948933e-20)
0.0018       	(1.092290e+02 -6.013347e+02 -1.166485e-17)	(9.231605e+01 -6.037158e+02 -1.168411e-17)	(1.691297e+01 2.381080e+00 1.925803e-20)
0.0019       	(6.370463e+01 -1.862213e+02 -1.207645e-17)	(4.689540e+01 -1.885825e+02 -1.209568e-17)	(1.680923e+01 2.361132e+00 1.923572e-20)
0.002        	(1.097617e+02 -5.211771e+02 -1.275827e-17)	(9.304977e+01 -5.235087e+02 -1.277905e-17)	(1.671193e+01 2.331559e+00 2.077712e-20)
0.0021       	(6.232817e+01 -1.334658e+02 -1.292135e-17)	(4.571011e+01 -1.357767e+02 -1.294269e-17)	(1.661806e+01 2.310956e+00 2.134547e-20)
0.0022       	(4.738543e+01 -1.774695e+01 -1.283412e-17)	(3.086039e+01 -2.004112e+01 -1.285572e-17)	(1.652504e+01 2.294163e+00 2.160047e-20)
0.0023       	(5.834331e+01 -1.088975e+02 -1.314317e-17)	(4.191187e+01 -1.111783e+02 -1.316344e-17)	(1.643144e+01 2.280758e+00 2.027364e-20)
0.0024       	(5.689127e+01 -1.061740e+02 -1.280284e-17)	(4.055022e+01 -1.084396e+02 -1.282207e-17)	(1.634105e+01 2.265576e+00 1.923593e-20)
0.0025       	(4.585959e+01 -2.017785e+01 -1.253446e-17)	(2.960487e+01 -2.242756e+01 -1.255333e-17)	(1.625472e+01 2.249705e+00 1.886931e-20)
0.0026       	(4.468637e+01 -1.533256e+01 -1.235566e-17)	(2.851526e+01 -1.756586e+01 -1.237458e-17)	(1.617111e+01 2.233299e+00 1.892041e-20)
0.0027       	(4.390709e+01 -1.245942e+01 -1.223529e-17)	(2.781740e+01 -1.467635e+01 -1.225436e-17)	(1.608969e+01 2.216933e+00 1.906946e-20)
0.0028       	(4.376751e+01 -1.308220e+01 -1.220036e-17)	(2.775712e+01 -1.528313e+01 -1.221991e-17)	(1.601040e+01 2.200936e+00 1.954691e-20)
0.0029       	(4.386219e+01 -1.417746e+01 -1.222582e-17)	(2.792939e+01 -1.636281e+01 -1.224558e-17)	(1.593281e+01 2.185353e+00 1.976523e-20)
0.003        	(4.354599e+01 -1.080507e+01 -1.227903e-17)	(2.768977e+01 -1.297556e+01 -1.229882e-17)	(1.585622e+01 2.170491e+00 1.979131e-20)
0.0031       	(4.325215e+01 -1.016697e+01 -1.214778e-17)	(2.747068e+01 -1.232308e+01 -1.216770e-17)	(1.578147e+01 2.156119e+00 1.991921e-20)
0.0032       	(3.717338e+01 1.980478e+01 -1.214217e-17)	(2.146510e+01 1.766292e+01 -1.216254e-17)	(1.570828e+01 2.141869e+00 2.037383e-20)
0.0033       	(-4.715120e+01 3.647280e+02 -9.146297e-19)	(-6.278617e+01 3.626038e+02 -9.392771e-19)	(1.563497e+01 2.124158e+00 2.464735e-20)
0.0034       	(1.960186e+02 -2.299034e+02 6.868457e-17)	(1.804654e+02 -2.320167e+02 6.865969e-17)	(1.555323e+01 2.113330e+00 2.487772e-20)
0.0035       	(7.755125e+01 -1.784633e+02 -1.306024e-18)	(6.207133e+01 -1.805650e+02 -1.330501e-18)	(1.547991e+01 2.101694e+00 2.447708e-20)
0.0036       	(5.210441e+01 -3.057791e+01 -6.629239e-18)	(3.669569e+01 -3.266575e+01 -6.653571e-18)	(1.540871e+01 2.087846e+00 2.433235e-20)
0.0037       	(5.512090e+01 1.893752e+02 -1.390632e-17)	(3.978528e+01 1.873066e+02 -1.393059e-17)	(1.533563e+01 2.068519e+00 2.427503e-20)
0.0038       	(4.493967e+01 -1.518697e+01 -7.152159e-18)	(2.967615e+01 -1.724107e+01 -7.176741e-18)	(1.526353e+01 2.054109e+00 2.458210e-20)
0.0039       	(5.239025e+01 -1.682200e+01 -6.243792e-18)	(3.719688e+01 -1.886084e+01 -6.268469e-18)	(1.519336e+01 2.038836e+00 2.467757e-20)
0.004        	(5.764807e+01 1.543942e+02 -1.455968e-18)	(4.252211e+01 1.523739e+02 -1.480728e-18)	(1.512596e+01 2.020345e+00 2.476049e-20)
0.0041       	(4.216335e+01 6.536515e+02 -1.798183e-17)	(2.710532e+01 6.516469e+02 -1.800633e-17)	(1.505803e+01 2.004598e+00 2.450144e-20)
0.0042       	(3.693892e+01 1.057109e+03 -2.747221e-17)	(2.194952e+01 1.055120e+03 -2.749642e-17)	(1.498940e+01 1.989596e+00 2.421022e-20)
0.0043       	(5.353119e+01 4.199490e+01 -1.014733e-17)	(3.860371e+01 4.001689e+01 -1.017114e-17)	(1.492748e+01 1.978018e+00 2.380774e-20)
0.0044       	(4.837627e+01 1.629193e+01 -8.767850e-18)	(3.351023e+01 1.432667e+01 -8.791717e-18)	(1.486604e+01 1.965260e+00 2.386624e-20)
0.0045       	(4.891381e+01 4.210234e+01 -9.892275e-18)	(3.410671e+01 4.014997e+01 -9.916452e-18)	(1.480711e+01 1.952376e+00 2.417731e-20)
0.0046       	(5.333702e+01 1.309427e+02 -1.368815e-17)	(3.858790e+01 1.290061e+02 -1.371338e-17)	(1.474912e+01 1.936526e+00 2.523176e-20)
0.0047       	(5.334585e+01 6.234010e+01 -1.190916e-17)	(3.865334e+01 6.041707e+01 -1.193480e-17)	(1.469251e+01 1.923021e+00 2.564616e-20)
0.0048       	(5.066655e+01 4.378371e+00 -9.885354e-18)	(3.602840e+01 2.470185e+00 -9.910908e-18)	(1.463814e+01 1.908186e+00 2.555425e-20)
0.0049       	(4.863939e+01 6.468045e+00 -9.607984e-18)	(3.405440e+01 4.571432e+00 -9.633841e-18)	(1.458498e+01 1.896613e+00 2.585686e-20)
0.005        	(4.984286e+01 1.438324e+01 -1.004676e-17)	(3.531033e+01 1.249777e+01 -1.007263e-17)	(1.453252e+01 1.885464e+00 2.587348e-20)
0.0051       	(5.050565e+01 6.675273e+00 -1.013573e-17)	(3.602363e+01 4.800537e+00 -1.016163e-17)	(1.448201e+01 1.874736e+00 2.589587e-20)
0.0052       	(5.018560e+01 4.873123e+00 -1.018138e-17)	(3.575190e+01 3.008925e+00 -1.020738e-17)	(1.443371e+01 1.864198e+00 2.599758e-20)
0.0053       	(4.904124e+01 1.352343e+01 -1.026744e-17)	(3.465477e+01 1.166965e+01 -1.029360e-17)	(1.438647e+01 1.853778e+00 2.616654e-20)
0.0054       	(4.656778e+01 2.036126e+01 -9.858350e-18)	(3.222782e+01 1.851798e+01 -9.884560e-18)	(1.433996e+01 1.843271e+00 2.620976e-20)
0.0055       	(4.891541e+01 1.192293e+02 -1.045672e-17)	(3.462202e+01 1.173997e+02 -1.048226e-17)	(1.429340e+01 1.829546e+00 2.554050e-20)
0.0056       	(5.060888e+01 1.331678e+02 -1.075420e-17)	(3.636126e+01 1.313530e+02 -1.077909e-17)	(1.424761e+01 1.814728e+00 2.489506e-20)
0.0057       	(4.866676e+01 3.142218e+01 -1.021312e-17)	(3.446475e+01 2.961823e+01 -1.023791e-17)	(1.420201e+01 1.803944e+00 2.479440e-20)
0.0058       	(4.581791e+01 3.992993e+01 -1.043817e-17)	(3.166076e+01 3.813595e+01 -1.046279e-17)	(1.415715e+01 1.793979e+00 2.462830e-20)
0.0059       	(5.331945e+01 3.726720e+01 -1.223923e-17)	(3.920668e+01 3.548263e+01 -1.226362e-17)	(1.411277e+01 1.784574e+00 2.438269e-20)
0.006        	(1.367780e+02 -5.480390e+00 -3.396372e-17)	(1.227084e+02 -7.260133e+00 -3.398741e-17)	(1.406967e+01 1.779743e+00 2.368679e-20)
0.0061       	(6.039854e+01 -7.461785e+01 -1.437463e-17)	(4.637234e+01 -7.638885e+01 -1.439821e-17)	(1.402620e+01 1.771005e+00 2.358328e-20)
0.0062       	(5.305243e+01 -4.283304e+01 -1.335536e-17)	(3.906642e+01 -4.459462e+01 -1.337889e-17)	(1.398601e+01 1.761575e+00 2.353722e-20)
0.0063       	(4.596852e+01 5.493921e+01 -1.393298e-17)	(3.202190e+01 5.318725e+01 -1.395655e-17)	(1.394661e+01 1.751953e+00 2.356716e-20)
0.0064       	(5.314204e+01 9.460468e+01 -1.639409e-17)	(3.923351e+01 9.286128e+01 -1.641759e-17)	(1.390853e+01 1.743401e+00 2.350300e-20)
0.0065       	(9.037936e+01 2.828964e+01 -2.218159e-17)	(7.650123e+01 2.655119e+01 -2.220453e-17)	(1.387813e+01 1.738450e+00 2.294187e-20)
0.0066       	(5.171565e+01 1.246993e+01 -1.442954e-17)	(3.787252e+01 1.073934e+01 -1.445235e-17)	(1.384313e+01 1.730586e+00 2.281033e-20)
0.0067       	(4.470045e+01 3.362533e+01 -1.352163e-17)	(3.089454e+01 3.190249e+01 -1.354424e-17)	(1.380590e+01 1.722841e+00 2.260885e-20)
0.0068       	(4.445497e+01 3.066349e+01 -1.343469e-17)	(3.068605e+01 2.894896e+01 -1.345693e-17)	(1.376892e+01 1.714533e+00 2.223871e-20)
0.0069       	(4.572989e+01 1.307726e+01 -1.324093e-17)	(3.199721e+01 1.137152e+01 -1.326289e-17)	(1.373268e+01 1.705734e+00 2.195861e-20)
0.007        	(5.086114e+01 5.676142e-01 -1.361637e-17)	(3.716377e+01 -1.128763e+00 -1.363820e-17)	(1.369736e+01 1.696377e+00 2.182371e-20)
0.0071       	(7.329017e+01 2.366506e+02 -1.990408e-17)	(5.962788e+01 2.349663e+02 -1.992552e-17)	(1.366230e+01 1.684303e+00 2.144628e-20)
0.0072       	(8.313827e+01 4.229935e+02 -2.396465e-17)	(6.951120e+01 4.213225e+02 -2.398552e-17)	(1.362708e+01 1.671019e+00 2.086650e-20)
0.0073       	(6.084212e+01 1.321401e+02 -1.681918e-17)	(4.724835e+01 1.304792e+02 -1.683977e-17)	(1.359377e+01 1.660931e+00 2.058688e-20)
0.0074       	(9.192684e+01 1.073609e+02 6.828922e-19)	(7.836126e+01 1.057100e+02 6.628853e-19)	(1.356558e+01 1.650904e+00 2.000690e-20)
0.0075       	(1.979948e+02 3.765484e+02 9.530763e-17)	(1.844646e+02 3.749160e+02 9.528648e-17)	(1.353013e+01 1.632356e+00 2.114859e-20)
0.0076       	(4.196052e+01 5.212883e+01 -1.266671e-17)	(2.846313e+01 5.050515e+01 -1.268777e-17)	(1.349739e+01 1.623684e+00 2.105557e-20)
0.0077       	(5.394976e+01 9.892966e+01 -3.513627e-18)	(4.048537e+01 9.731560e+01 -3.534777e-18)	(1.346440e+01 1.614068e+00 2.114914e-20)
0.0078       	(4.779573e+01 8.639812e+01 -8.170955e-18)	(3.436378e+01 8.479350e+01 -8.192131e-18)	(1.343196e+01 1.604623e+00 2.117578e-20)
0.0079       	(4.716971e+01 8.130819e+01 -8.157537e-18)	(3.376984e+01 7.971313e+01 -8.178796e-18)	(1.339987e+01 1.595069e+00 2.125835e-20)
0.008        	(4.638933e+01 8.997614e+01 -8.592055e-18)	(3.302169e+01 8.839035e+01 -8.613272e-18)	(1.336763e+01 1.585787e+00 2.121651e-20)
0.0081       	(8.132172e+01 1.437916e+02 1.418076e-17)	(6.798629e+01 1.422107e+02 1.415954e-17)	(1.333543e+01 1.580867e+00 2.122313e-20)
0.0082       	(6.565501e+01 -1.075229e+02 -8.859825e-18)	(5.235223e+01 -1.090970e+02 -8.880721e-18)	(1.330278e+01 1.574048e+00 2.089605e-20)
0.0083       	(5.548744e+01 2.221046e+01 -9.140828e-18)	(4.221495e+01 2.064558e+01 -9.161483e-18)	(1.327249e+01 1.564877e+00 2.065426e-20)
0.0084       	(6.660104e+01 6.436361e+01 -9.531779e-18)	(5.335808e+01 6.280613e+01 -9.552477e-18)	(1.324296e+01 1.557479e+00 2.069724e-20)
0.0085       	(1.066831e+02 7.907198e+01 -1.120375e-17)	(9.346888e+01 7.751967e+01 -1.122495e-17)	(1.321422e+01 1.552307e+00 2.119532e-20)
0.0086       	(7.694330e+01 6.497629e+01 -1.032848e-17)	(6.375837e+01 6.343097e+01 -1.034985e-17)	(1.318492e+01 1.545317e+00 2.136655e-20)
0.0087       	(5.717363e+01 6.175958e+01 -9.699117e-18)	(4.401810e+01 6.022211e+01 -9.720451e-18)	(1.315553e+01 1.537468e+00 2.133393e-20)
0.0088       	(5.240756e+01 5.638735e+01 -9.506155e-18)	(3.928112e+01 5.485785e+01 -9.527453e-18)	(1.312644e+01 1.529505e+00 2.129770e-20)
0.0089       	(5.299542e+01 3.679099e+01 -9.301747e-18)	(3.989770e+01 3.526956e+01 -9.323086e-18)	(1.309772e+01 1.521437e+00 2.133871e-20)
0.009        	(5.973858e+01 -3.365066e+01 -9.154528e-18)	(4.666935e+01 -3.516435e+01 -9.176062e-18)	(1.306923e+01 1.513682e+00 2.153399e-20)
0.0091       	(9.778240e+01 -4.706151e+02 -9.073420e-18)	(8.474269e+01 -4.721277e+02 -9.096187e-18)	(1.303971e+01 1.512588e+00 2.276668e-20)
0.0092       	(7.937282e+01 -2.258994e+02 -9.538289e-18)	(6.636204e+01 -2.274013e+02 -9.561237e-18)	(1.301078e+01 1.501925e+00 2.294771e-20)
0.0093       	(6.941289e+01 5.866981e+01 -1.219056e-17)	(5.643121e+01 5.717564e+01 -1.221348e-17)	(1.298167e+01 1.494166e+00 2.291805e-20)
0.0094       	(8.731844e+01 5.793278e+02 -2.378776e-17)	(7.436590e+01 5.778393e+02 -2.381019e-17)	(1.295253e+01 1.488528e+00 2.243905e-20)
0.0095       	(6.879922e+01 3.069696e+02 -1.674735e-17)	(5.587461e+01 3.054882e+02 -1.676950e-17)	(1.292461e+01 1.481374e+00 2.215092e-20)
0.0096       	(5.496119e+01 8.889492e+01 -1.068562e-17)	(4.206304e+01 8.742044e+01 -1.070769e-17)	(1.289815e+01 1.474482e+00 2.206884e-20)
0.0097       	(5.370961e+01 1.742785e+01 -9.342709e-18)	(4.083676e+01 1.596046e+01 -9.364884e-18)	(1.287285e+01 1.467391e+00 2.217490e-20)
0.0098       	(5.386000e+01 -1.709691e+01 -8.838920e-18)	(4.101224e+01 -1.855683e+01 -8.861181e-18)	(1.284775e+01 1.459911e+00 2.226079e-20)
0.0099       	(6.029992e+01 -8.211864e+01 -8.764399e-18)	(4.747674e+01 -8.357047e+01 -8.786772e-18)	(1.282317e+01 1.451827e+00 2.237326e-20)
0.01         	(5.371926e+01 -1.072871e+01 -8.837197e-18)	(4.092045e+01 -1.217347e+01 -8.859700e-18)	(1.279881e+01 1.444754e+00 2.250300e-20)
0.0101       	(5.062625e+01 4.659433e+01 -9.248549e-18)	(3.785208e+01 4.515626e+01 -9.271095e-18)	(1.277418e+01 1.438066e+00 2.254605e-20)
0.0102       	(1.018265e+02 4.672119e+01 -1.693793e-17)	(8.907754e+01 4.529168e+01 -1.696029e-17)	(1.274899e+01 1.429509e+00 2.236739e-20)
0.0103       	(6.155737e+01 5.549971e+01 -1.038839e-17)	(4.883323e+01 5.407693e+01 -1.041069e-17)	(1.272413e+01 1.422774e+00 2.229910e-20)
0.0104       	(5.876930e+01 5.367086e+01 -1.078952e-17)	(4.606965e+01 5.225440e+01 -1.081172e-17)	(1.269965e+01 1.416457e+00 2.220126e-20)
0.0105       	(1.144685e+02 -5.270398e+02 -1.038267e-17)	(1.017923e+02 -5.284528e+02 -1.040489e-17)	(1.267618e+01 1.412989e+00 2.222063e-20)
0.0106       	(8.014288e+01 -1.983069e+02 -1.012665e-17)	(6.749018e+01 -1.997139e+02 -1.014885e-17)	(1.265270e+01 1.406972e+00 2.220197e-20)
0.0107       	(4.814373e+01 7.633402e+01 -9.584063e-18)	(3.551368e+01 7.493329e+01 -9.606239e-18)	(1.263005e+01 1.400732e+00 2.217604e-20)
0.0108       	(4.871572e+01 8.224090e+01 -9.791185e-18)	(3.611257e+01 8.084647e+01 -9.813325e-18)	(1.260315e+01 1.394434e+00 2.214027e-20)
0.0109       	(4.950640e+01 9.445851e+01 -1.015944e-17)	(3.692588e+01 9.306941e+01 -1.018149e-17)	(1.258052e+01 1.389106e+00 2.204807e-20)
0.011        	(1.298376e+02 7.562875e+01 -2.141191e-17)	(1.172724e+02 7.424748e+01 -2.143397e-17)	(1.256521e+01 1.381273e+00 2.205875e-20)
0.0111       	(5.777670e+01 6.881088e+01 -1.005547e-17)	(4.523232e+01 6.743448e+01 -1.007748e-17)	(1.254438e+01 1.376394e+00 2.201180e-20)
0.0112       	(5.003883e+01 1.505638e+02 -9.694141e-18)	(3.751521e+01 1.491957e+02 -9.716312e-18)	(1.252362e+01 1.368132e+00 2.217129e-20)
0.0113       	(5.554700e+01 5.795100e+01 -1.039925e-17)	(4.304388e+01 5.658837e+01 -1.042155e-17)	(1.250312e+01 1.362628e+00 2.230040e-20)
