# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(8.958965e+04 1.670505e+06 -2.859883e-14)	(8.956908e+04 1.670501e+06 -2.859901e-14)	(2.057452e+01 4.053464e+00 1.785955e-19)
0.0002       	(1.273120e+04 8.777159e+04 -1.272596e-15)	(1.271133e+04 8.776769e+04 -1.272748e-15)	(1.987245e+01 3.894696e+00 1.516284e-19)
0.0003       	(3.251792e+02 -1.885391e+04 3.201699e-16)	(3.055601e+02 -1.885774e+04 3.200215e-16)	(1.961906e+01 3.825039e+00 1.483691e-19)
0.0004       	(2.059511e+02 1.582553e+02 3.473107e-18)	(1.874605e+02 1.546326e+02 3.320980e-18)	(1.849053e+01 3.622758e+00 1.521276e-19)
0.0005       	(1.188674e+02 3.430323e+02 9.319904e-18)	(1.005624e+02 3.394541e+02 9.169938e-18)	(1.830498e+01 3.578198e+00 1.499667e-19)
0.0006       	(1.097997e+02 2.360453e+02 8.633036e-18)	(9.167132e+01 2.325110e+02 8.485082e-18)	(1.812837e+01 3.534313e+00 1.479544e-19)
0.0007       	(6.066768e+02 -5.460859e+02 3.689533e-16)	(5.887229e+02 -5.495695e+02 3.688022e-16)	(1.795391e+01 3.483620e+00 1.510935e-19)
0.0008       	(2.369121e+02 3.115201e+02 9.910730e-17)	(2.191257e+02 3.080811e+02 9.895679e-17)	(1.778639e+01 3.438936e+00 1.505104e-19)
0.0009       	(8.489531e+01 4.773805e+01 -3.245722e-17)	(6.726874e+01 4.433985e+01 -3.260544e-17)	(1.762657e+01 3.398191e+00 1.482185e-19)
0.001        	(9.308667e+01 1.741523e+01 -3.645105e-17)	(7.562621e+01 1.405869e+01 -3.659680e-17)	(1.746046e+01 3.356532e+00 1.457516e-19)
0.0011       	(8.973986e+01 1.163394e+01 -1.840116e-17)	(7.243691e+01 8.319719e+00 -1.854458e-17)	(1.730295e+01 3.314216e+00 1.434272e-19)
0.0012       	(8.473236e+01 -3.827500e+00 -1.475029e-17)	(6.757717e+01 -7.102133e+00 -1.489161e-17)	(1.715519e+01 3.274633e+00 1.413266e-19)
0.0013       	(6.266682e+01 5.988964e+01 -1.909746e-17)	(4.565135e+01 5.665165e+01 -1.923679e-17)	(1.701547e+01 3.237987e+00 1.393303e-19)
0.0014       	(5.006770e+01 9.374075e+01 -2.082547e-17)	(3.318695e+01 9.053899e+01 -2.096286e-17)	(1.688075e+01 3.201761e+00 1.373908e-19)
0.0015       	(4.960973e+01 1.039062e+02 -1.875794e-17)	(3.286137e+01 1.007454e+02 -1.889346e-17)	(1.674837e+01 3.160843e+00 1.355167e-19)
0.0016       	(5.267122e+01 1.284107e+02 -1.760245e-17)	(3.605397e+01 1.252825e+02 -1.773623e-17)	(1.661724e+01 3.128155e+00 1.337801e-19)
0.0017       	(1.122210e+02 -3.079051e+02 -1.710827e-17)	(9.574211e+01 -3.110126e+02 -1.723982e-17)	(1.647891e+01 3.107495e+00 1.315520e-19)
0.0018       	(6.227938e+01 7.104643e+01 -1.761895e-17)	(4.592842e+01 6.796913e+01 -1.774857e-17)	(1.635096e+01 3.077301e+00 1.296228e-19)
0.0019       	(7.362244e+01 -6.369802e+01 -1.870162e-17)	(5.739585e+01 -6.674533e+01 -1.882904e-17)	(1.622659e+01 3.047304e+00 1.274217e-19)
0.002        	(5.326910e+01 3.154388e+01 -1.921967e-17)	(3.716069e+01 2.852897e+01 -1.934533e-17)	(1.610841e+01 3.014908e+00 1.256614e-19)
0.0021       	(5.335076e+01 2.545515e+01 -1.928780e-17)	(3.735426e+01 2.247120e+01 -1.941191e-17)	(1.599650e+01 2.983948e+00 1.241150e-19)
0.0022       	(4.518997e+01 7.776527e+01 -1.916048e-17)	(2.930109e+01 7.481110e+01 -1.928306e-17)	(1.588888e+01 2.954170e+00 1.225727e-19)
0.0023       	(7.564466e+01 -1.307673e+02 -1.883355e-17)	(5.986051e+01 -1.336880e+02 -1.895521e-17)	(1.578415e+01 2.920743e+00 1.216553e-19)
0.0024       	(7.027243e+01 -6.379576e+01 -1.864996e-17)	(5.458957e+01 -6.668561e+01 -1.877041e-17)	(1.568286e+01 2.889847e+00 1.204452e-19)
0.0025       	(4.691565e+01 6.170572e+01 -1.861709e-17)	(3.133217e+01 5.884362e+01 -1.873617e-17)	(1.558348e+01 2.862098e+00 1.190776e-19)
0.0026       	(4.903531e+01 1.277980e+01 -1.642989e-17)	(3.354864e+01 9.947695e+00 -1.654776e-17)	(1.548667e+01 2.832107e+00 1.178703e-19)
0.0027       	(9.274466e+01 -2.522735e+02 -1.646645e-17)	(7.735409e+01 -2.550758e+02 -1.658351e-17)	(1.539057e+01 2.802291e+00 1.170546e-19)
0.0028       	(7.313530e+01 -8.690396e+01 -1.696222e-17)	(5.783827e+01 -8.967905e+01 -1.707927e-17)	(1.529702e+01 2.775099e+00 1.170518e-19)
0.0029       	(4.816514e+01 4.681575e+01 -1.802730e-17)	(3.295816e+01 4.406657e+01 -1.814338e-17)	(1.520698e+01 2.749179e+00 1.160751e-19)
0.003        	(9.613902e+01 -1.738148e+02 3.499973e-18)	(8.102076e+01 -1.765413e+02 3.385870e-18)	(1.511826e+01 2.726534e+00 1.141037e-19)
0.0031       	(8.834245e+01 -1.423388e+02 -1.998303e-18)	(7.331130e+01 -1.450433e+02 -2.110548e-18)	(1.503114e+01 2.704507e+00 1.122448e-19)
0.0032       	(4.764721e+01 5.141037e+01 -1.732624e-17)	(3.270109e+01 4.872934e+01 -1.743720e-17)	(1.494612e+01 2.681030e+00 1.109646e-19)
0.0033       	(6.084542e+01 1.390423e+00 -1.468818e-17)	(4.598233e+01 -1.266495e+00 -1.479798e-17)	(1.486308e+01 2.656918e+00 1.098063e-19)
0.0034       	(1.208907e+02 6.645525e+02 1.546215e-17)	(1.061122e+02 6.619203e+02 1.535421e-17)	(1.477849e+01 2.632232e+00 1.079440e-19)
0.0035       	(6.119458e+01 2.103334e+02 -1.039259e-17)	(4.649748e+01 2.077233e+02 -1.049922e-17)	(1.469710e+01 2.610109e+00 1.066352e-19)
0.0036       	(9.424000e+01 1.093564e+02 5.653081e-18)	(7.962319e+01 1.067696e+02 5.547311e-18)	(1.461681e+01 2.586732e+00 1.057701e-19)
0.0037       	(1.005216e+02 -2.056907e+01 5.338381e-18)	(8.598112e+01 -2.313201e+01 5.233425e-18)	(1.454047e+01 2.562940e+00 1.049561e-19)
0.0038       	(1.038177e+02 -2.355226e+02 -3.969994e-18)	(8.935174e+01 -2.380629e+02 -4.074239e-18)	(1.446601e+01 2.540289e+00 1.042441e-19)
0.0039       	(6.586013e+01 -6.873169e+00 -1.162679e-17)	(5.146754e+01 -9.392213e+00 -1.173002e-17)	(1.439259e+01 2.519044e+00 1.032304e-19)
0.004        	(5.679201e+01 2.061638e+02 -1.247785e-17)	(4.247199e+01 2.036647e+02 -1.258009e-17)	(1.432002e+01 2.499094e+00 1.022381e-19)
0.0041       	(5.756578e+01 3.818014e+02 -4.456044e-19)	(4.331865e+01 3.793229e+02 -5.467390e-19)	(1.424713e+01 2.478459e+00 1.011346e-19)
0.0042       	(6.251577e+01 1.449843e+02 1.774280e-19)	(4.833983e+01 1.425252e+02 7.741260e-20)	(1.417594e+01 2.459016e+00 1.000154e-19)
0.0043       	(1.302337e+02 -2.164623e+02 7.270127e-17)	(1.161277e+02 -2.189014e+02 7.260200e-17)	(1.410605e+01 2.439089e+00 9.927157e-20)
0.0044       	(4.955689e+01 3.411181e+01 -9.316948e-18)	(3.551848e+01 3.169191e+01 -9.414897e-18)	(1.403842e+01 2.419901e+00 9.794885e-20)
0.0045       	(4.259298e+01 9.165760e+01 -1.825604e-17)	(2.862060e+01 8.925649e+01 -1.835180e-17)	(1.397238e+01 2.401113e+00 9.576581e-20)
0.0046       	(4.898740e+01 1.356039e+02 -1.545436e-17)	(3.508250e+01 1.332213e+02 -1.554896e-17)	(1.390489e+01 2.382593e+00 9.459890e-20)
0.0047       	(4.783308e+01 1.274785e+02 -1.686752e-17)	(3.399252e+01 1.251141e+02 -1.696098e-17)	(1.384056e+01 2.364394e+00 9.346154e-20)
