# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.147474e+05 -1.085162e+06 3.483546e-14)	(2.147260e+05 -1.085158e+06 3.483537e-14)	(2.140564e+01 -4.107838e+00 8.903072e-20)
0.0002       	(7.105879e+03 -5.603064e+04 1.544877e-15)	(7.085016e+03 -5.602668e+04 1.544784e-15)	(2.086311e+01 -3.954876e+00 9.286651e-20)
0.0003       	(2.091551e+01 1.408113e+04 1.166699e-16)	(2.834866e-01 1.408501e+04 1.165741e-16)	(2.063202e+01 -3.876553e+00 9.577005e-20)
0.0004       	(2.304882e+02 -1.869607e+02 1.736636e-16)	(2.110158e+02 -1.832826e+02 1.735663e-16)	(1.947245e+01 -3.678117e+00 9.729530e-20)
0.0005       	(9.446156e+01 -7.455575e+01 6.843610e-17)	(7.515469e+01 -7.091589e+01 6.833811e-17)	(1.930687e+01 -3.639861e+00 9.798611e-20)
0.0006       	(5.885633e+01 -3.908633e+01 4.062299e-17)	(3.970959e+01 -3.548297e+01 4.052477e-17)	(1.914674e+01 -3.603368e+00 9.822384e-20)
0.0007       	(4.333477e+01 -3.442011e+01 2.977072e-17)	(2.434317e+01 -3.085271e+01 2.967246e-17)	(1.899160e+01 -3.567395e+00 9.826209e-20)
0.0008       	(-5.493281e+01 -5.208387e+02 2.518263e-17)	(-7.377438e+01 -5.173102e+02 2.508605e-17)	(1.884157e+01 -3.528515e+00 9.658094e-20)
0.0009       	(-3.689390e+01 -3.678482e+02 3.419068e-18)	(-5.558840e+01 -3.643531e+02 3.322505e-18)	(1.869450e+01 -3.495152e+00 9.656263e-20)
0.001        	(4.521180e+01 6.214854e+02 -3.330789e-17)	(2.666160e+01 6.249611e+02 -3.340402e-17)	(1.855020e+01 -3.475761e+00 9.613140e-20)
0.0011       	(3.200089e+01 2.037138e+01 1.666438e-17)	(1.358998e+01 2.381704e+01 1.656852e-17)	(1.841091e+01 -3.445656e+00 9.585643e-20)
0.0012       	(3.167841e+01 -1.175380e+01 2.008616e-17)	(1.340276e+01 -8.338039e+00 1.999054e-17)	(1.827565e+01 -3.415762e+00 9.562343e-20)
0.0013       	(2.727777e+01 -3.179475e+01 1.958877e-17)	(9.134188e+00 -2.840825e+01 1.949312e-17)	(1.814358e+01 -3.386505e+00 9.565602e-20)
0.0014       	(-2.702349e+01 -3.285618e+02 1.915421e-17)	(-4.503850e+01 -3.252075e+02 1.905917e-17)	(1.801501e+01 -3.354313e+00 9.503515e-20)
0.0015       	(-3.618701e+01 -3.715018e+02 1.852613e-17)	(-5.407645e+01 -3.681798e+02 1.843207e-17)	(1.788943e+01 -3.322016e+00 9.405539e-20)
0.0016       	(1.550408e+01 -8.938534e+01 1.844035e-17)	(-2.261974e+00 -8.609060e+01 1.834645e-17)	(1.776605e+01 -3.294739e+00 9.389720e-20)
0.0017       	(-1.883704e+02 -1.263558e+03 8.238211e-18)	(-2.060150e+02 -1.260288e+03 8.146188e-18)	(1.764468e+01 -3.270055e+00 9.202330e-20)
0.0018       	(-2.604211e+01 -3.105866e+02 5.535756e-18)	(-4.357003e+01 -3.073437e+02 5.444293e-18)	(1.752792e+01 -3.242934e+00 9.146305e-20)
0.0019       	(2.174761e+01 -1.137235e+01 1.454586e-17)	(4.333945e+00 -8.157217e+00 1.445483e-17)	(1.741367e+01 -3.215132e+00 9.103032e-20)
0.002        	(2.288868e+01 7.534405e+01 1.016327e-17)	(5.586167e+00 7.852796e+01 1.007239e-17)	(1.730251e+01 -3.183910e+00 9.088340e-20)
0.0021       	(-1.693980e+02 -1.122391e+03 7.660619e-18)	(-1.865920e+02 -1.119244e+03 7.566335e-18)	(1.719403e+01 -3.147238e+00 9.428355e-20)
0.0022       	(-9.766353e+01 -7.529626e+02 1.254869e-17)	(-1.147510e+02 -7.498455e+02 1.245450e-17)	(1.708745e+01 -3.117124e+00 9.419605e-20)
0.0023       	(2.280887e+01 -1.134537e+02 1.525475e-17)	(5.826445e+00 -1.103612e+02 1.516082e-17)	(1.698242e+01 -3.092567e+00 9.393161e-20)
0.0024       	(3.324549e+02 -1.024059e+02 3.711433e-18)	(3.155842e+02 -9.933865e+01 3.617916e-18)	(1.687068e+01 -3.067282e+00 9.351730e-20)
0.0025       	(3.006663e+02 -1.268963e+02 5.067387e-18)	(2.839052e+02 -1.238544e+02 4.974265e-18)	(1.676112e+01 -3.041936e+00 9.312201e-20)
0.0026       	(-3.490567e+01 -7.580493e+02 1.045725e-17)	(-5.155571e+01 -7.550326e+02 1.036462e-17)	(1.665004e+01 -3.016640e+00 9.262951e-20)
0.0027       	(-1.362859e+02 -1.190360e+03 -2.090376e-17)	(-1.528358e+02 -1.187369e+03 -2.099633e-17)	(1.654997e+01 -2.990720e+00 9.257364e-20)
0.0028       	(-6.027081e+01 -6.979655e+02 -1.387108e-17)	(-7.672455e+01 -6.950023e+02 -1.396344e-17)	(1.645374e+01 -2.963223e+00 9.236186e-20)
0.0029       	(4.485970e+01 -1.364138e+02 1.149713e-17)	(2.850019e+01 -1.334746e+02 1.140506e-17)	(1.635951e+01 -2.939185e+00 9.206357e-20)
0.003        	(3.964491e+01 -1.653755e+02 1.479207e-17)	(2.337813e+01 -1.624594e+02 1.470024e-17)	(1.626679e+01 -2.916101e+00 9.183064e-20)
0.0031       	(2.845367e+01 -2.026036e+02 1.363960e-17)	(1.227800e+01 -1.997115e+02 1.354756e-17)	(1.617567e+01 -2.892076e+00 9.203658e-20)
0.0032       	(9.795357e+00 -2.819760e+02 1.096018e-17)	(-6.290129e+00 -2.791085e+02 1.086800e-17)	(1.608549e+01 -2.867581e+00 9.218593e-20)
0.0033       	(6.838409e+01 5.676306e+02 -1.406206e-17)	(5.238615e+01 5.704797e+02 -1.415293e-17)	(1.599794e+01 -2.849076e+00 9.087806e-20)
0.0034       	(7.817287e+01 6.003003e+02 -1.099181e-17)	(6.226015e+01 6.031297e+02 -1.108209e-17)	(1.591272e+01 -2.829353e+00 9.028186e-20)
