# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(7.848699e+04 1.310356e+06 9.497542e-15)	(7.846640e+04 1.310353e+06 9.497561e-15)	(2.058722e+01 3.066675e+00 -1.884679e-20)
0.0002       	(5.197651e+03 7.370008e+04 1.035640e-15)	(5.177669e+03 7.369714e+04 1.035659e-15)	(1.998186e+01 2.942541e+00 -1.879802e-20)
0.0003       	(-3.313872e+02 -1.292431e+04 1.840352e-17)	(-3.511684e+02 -1.292720e+04 1.842468e-17)	(1.978121e+01 2.891497e+00 -2.115431e-20)
0.0004       	(4.613660e+01 1.418935e+02 6.174011e-17)	(2.732871e+01 1.391284e+02 6.176362e-17)	(1.880789e+01 2.765066e+00 -2.351427e-20)
0.0005       	(1.838490e+02 -2.210379e+02 7.569950e-17)	(1.652012e+02 -2.237692e+02 7.572295e-17)	(1.864779e+01 2.731345e+00 -2.345596e-20)
0.0006       	(1.908921e+02 -4.740082e+02 1.075038e-16)	(1.723985e+02 -4.767015e+02 1.075278e-16)	(1.849354e+01 2.693389e+00 -2.401144e-20)
0.0007       	(8.652890e+01 1.022643e+01 5.345767e-17)	(6.818510e+01 7.561840e+00 5.348150e-17)	(1.834379e+01 2.664591e+00 -2.382657e-20)
0.0008       	(7.841595e+01 4.376926e+01 5.645741e-17)	(6.022046e+01 4.112436e+01 5.648558e-17)	(1.819549e+01 2.644903e+00 -2.817744e-20)
0.0009       	(-2.379889e-01 9.663556e+02 1.409837e-16)	(-1.828116e+01 9.637341e+02 1.410032e-16)	(1.804317e+01 2.621523e+00 -1.957827e-20)
0.001        	(7.644158e+01 6.643494e+02 6.938626e-17)	(5.853693e+01 6.617530e+02 6.940364e-17)	(1.790465e+01 2.596360e+00 -1.737790e-20)
0.0011       	(3.606220e+01 9.622476e+02 7.148365e-17)	(1.829396e+01 9.596771e+02 7.150111e-17)	(1.776824e+01 2.570551e+00 -1.746163e-20)
0.0012       	(1.535913e+01 1.243478e+03 8.099776e-17)	(-2.274237e+00 1.240932e+03 8.101436e-17)	(1.763337e+01 2.546212e+00 -1.660062e-20)
0.0013       	(4.049673e+01 5.456332e+02 6.076134e-17)	(2.298930e+01 5.431130e+02 6.077673e-17)	(1.750743e+01 2.520174e+00 -1.538183e-20)
0.0014       	(3.670344e+01 4.801883e+02 6.213792e-17)	(1.931960e+01 4.776935e+02 6.215222e-17)	(1.738384e+01 2.494783e+00 -1.429641e-20)
0.0015       	(3.334603e+01 5.357846e+02 7.775077e-17)	(1.609479e+01 5.333177e+02 7.776386e-17)	(1.725124e+01 2.466943e+00 -1.309103e-20)
0.0016       	(2.300904e+01 8.251137e+02 9.096822e-17)	(5.897036e+00 8.226823e+02 9.098279e-17)	(1.711200e+01 2.431345e+00 -1.457062e-20)
0.0017       	(3.280412e+01 4.139182e+02 6.402328e-17)	(1.580847e+01 4.115110e+02 6.403679e-17)	(1.699565e+01 2.407164e+00 -1.351493e-20)
0.0018       	(8.806923e+01 -2.571980e+02 7.645069e-17)	(7.117999e+01 -2.595814e+02 7.646332e-17)	(1.688924e+01 2.383368e+00 -1.262971e-20)
0.0019       	(2.653836e+02 -1.602531e+03 1.653293e-16)	(2.485966e+02 -1.604885e+03 1.653407e-16)	(1.678700e+01 2.353847e+00 -1.140221e-20)
0.002        	(9.892472e+01 -3.587324e+02 7.833594e-17)	(8.223782e+01 -3.610619e+02 7.834797e-17)	(1.668689e+01 2.329590e+00 -1.203215e-20)
0.0021       	(1.185766e+02 -7.026291e+02 1.018100e-16)	(1.019896e+02 -7.049473e+02 1.018193e-16)	(1.658701e+01 2.318221e+00 -9.297831e-21)
0.0022       	(1.173250e+02 -7.015195e+02 1.028054e-16)	(1.008363e+02 -7.038283e+02 1.028116e-16)	(1.648872e+01 2.308804e+00 -6.231613e-21)
0.0023       	(6.612314e+01 -1.867264e+02 6.912384e-17)	(4.972883e+01 -1.890155e+02 6.912949e-17)	(1.639431e+01 2.289108e+00 -5.650110e-21)
0.0024       	(1.668560e+02 -1.153942e+03 1.291951e-16)	(1.505535e+02 -1.156199e+03 1.292009e-16)	(1.630257e+01 2.257135e+00 -5.840545e-21)
0.0025       	(5.281650e+01 -9.439108e+01 6.276878e-17)	(3.660303e+01 -9.662986e+01 6.277368e-17)	(1.621347e+01 2.238785e+00 -4.897260e-21)
0.0026       	(3.314706e+01 5.523546e+01 5.358087e-17)	(1.702069e+01 5.301417e+01 5.358489e-17)	(1.612638e+01 2.221296e+00 -4.012669e-21)
0.0027       	(3.300129e+01 7.119476e+01 5.363191e-17)	(1.696033e+01 6.899050e+01 5.363514e-17)	(1.604095e+01 2.204263e+00 -3.229338e-21)
0.0028       	(3.415143e+01 1.197652e+02 5.375353e-17)	(1.819458e+01 1.175777e+02 5.375634e-17)	(1.595685e+01 2.187496e+00 -2.807403e-21)
0.0029       	(3.395207e+01 1.793503e+02 5.444063e-17)	(1.807808e+01 1.771790e+02 5.444306e-17)	(1.587399e+01 2.171298e+00 -2.429009e-21)
0.003        	(3.797819e+01 1.319540e+02 5.414678e-17)	(2.218537e+01 1.297997e+02 5.414881e-17)	(1.579282e+01 2.154289e+00 -2.025413e-21)
0.0031       	(1.004571e+02 2.103302e+02 5.453885e-17)	(8.474858e+01 2.081975e+02 5.454252e-17)	(1.570847e+01 2.132732e+00 -3.667303e-21)
0.0032       	(1.424742e+02 2.943043e+02 5.553639e-17)	(1.268500e+02 2.921951e+02 5.554332e-17)	(1.562421e+01 2.109119e+00 -6.932114e-21)
0.0033       	(6.933528e+01 1.326480e+02 5.539980e-17)	(5.378951e+01 1.305575e+02 5.540798e-17)	(1.554577e+01 2.090464e+00 -8.181673e-21)
0.0034       	(4.713552e+01 9.265819e+01 5.445945e-17)	(3.166489e+01 9.058420e+01 5.446791e-17)	(1.547063e+01 2.073991e+00 -8.458335e-21)
0.0035       	(4.338877e+01 8.937191e+01 5.378922e-17)	(2.799116e+01 8.731352e+01 5.379759e-17)	(1.539761e+01 2.058386e+00 -8.368159e-21)
0.0036       	(4.250837e+01 8.528172e+01 5.369359e-17)	(2.718238e+01 8.323851e+01 5.370183e-17)	(1.532598e+01 2.043216e+00 -8.234041e-21)
0.0037       	(4.168775e+01 8.869429e+01 5.370289e-17)	(2.643217e+01 8.666579e+01 5.371088e-17)	(1.525558e+01 2.028502e+00 -7.995183e-21)
