# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.387148e+05 1.633657e+06 2.611868e-14)	(1.386937e+05 1.633653e+06 2.611866e-14)	(2.117891e+01 4.792269e+00 1.444147e-20)
0.0002       	(9.014659e+03 1.049534e+05 1.183391e-15)	(8.994105e+03 1.049488e+05 1.183375e-15)	(2.055442e+01 4.604234e+00 1.569853e-20)
0.0003       	(-1.687823e+03 -1.531263e+04 -1.714325e-16)	(-1.708137e+03 -1.531716e+04 -1.714498e-16)	(2.031427e+01 4.522260e+00 1.726993e-20)
0.0004       	(-3.185205e+00 4.549000e+02 -9.188472e-18)	(-2.224676e+01 4.506375e+02 -9.204437e-18)	(1.906156e+01 4.262421e+00 1.596510e-20)
0.0005       	(-4.343815e+00 4.835411e+02 -1.048570e-17)	(-2.323358e+01 4.793308e+02 -1.050021e-17)	(1.888976e+01 4.210250e+00 1.450481e-20)
0.0006       	(-1.424166e+02 4.086991e+03 -9.714171e-17)	(-1.611047e+02 4.082835e+03 -9.715153e-17)	(1.868808e+01 4.156145e+00 9.819505e-21)
0.0007       	(-4.872642e+01 1.290942e+03 -2.895138e-17)	(-6.725280e+01 1.286852e+03 -2.896004e-17)	(1.852638e+01 4.089697e+00 8.651432e-21)
0.0008       	(-2.220250e+00 3.586993e+02 -7.760663e-18)	(-2.059446e+01 3.546567e+02 -7.768352e-18)	(1.837421e+01 4.042655e+00 7.688182e-21)
0.0009       	(-3.685357e+00 4.198367e+02 -8.979808e-18)	(-2.191155e+01 4.158430e+02 -8.986862e-18)	(1.822619e+01 3.993752e+00 7.053312e-21)
0.001        	(2.358466e+00 2.963894e+02 -6.097627e-18)	(-1.572520e+01 2.924407e+02 -6.103949e-18)	(1.808366e+01 3.948720e+00 6.321816e-21)
0.0011       	(-5.516411e+00 4.263888e+02 -8.735345e-18)	(-2.346044e+01 4.224828e+02 -8.740813e-18)	(1.794403e+01 3.905934e+00 5.467247e-21)
0.0012       	(-3.673257e+00 3.669517e+02 -7.363052e-18)	(-2.148207e+01 3.630870e+02 -7.367679e-18)	(1.780881e+01 3.864653e+00 4.626704e-21)
0.0013       	(9.539165e+00 1.670488e+02 -3.421567e-18)	(-8.139665e+00 1.632235e+02 -3.425353e-18)	(1.767883e+01 3.825316e+00 3.786510e-21)
0.0014       	(1.840225e+02 -8.632051e+02 -2.933141e-18)	(1.664733e+02 -8.670128e+02 -2.933897e-18)	(1.754919e+01 3.807696e+00 7.557346e-22)
0.0015       	(5.806676e+01 6.660882e+01 -8.756701e-18)	(4.064344e+01 6.283106e+01 -8.755812e-18)	(1.742332e+01 3.777769e+00 -8.888846e-22)
0.0016       	(-8.795103e+00 4.682894e+02 -9.811613e-18)	(-2.609765e+01 4.645478e+02 -9.809975e-18)	(1.730254e+01 3.741508e+00 -1.637970e-21)
0.0017       	(9.901568e+01 -3.673784e+02 -3.699443e-18)	(8.182855e+01 -3.710753e+02 -3.696012e-18)	(1.718714e+01 3.696837e+00 -3.430158e-21)
0.0018       	(-8.645849e-01 2.641372e+02 -8.122978e-18)	(-1.793887e+01 2.604727e+02 -8.118578e-18)	(1.707428e+01 3.664478e+00 -4.400081e-21)
0.0019       	(-6.012235e+00 3.331084e+02 -8.105191e-18)	(-2.297826e+01 3.294761e+02 -8.100211e-18)	(1.696603e+01 3.632285e+00 -4.979785e-21)
0.002        	(7.242152e+00 2.005160e+02 -4.378412e-18)	(-9.621465e+00 1.969163e+02 -4.373843e-18)	(1.686362e+01 3.599681e+00 -4.568013e-21)
0.0021       	(1.205443e+01 1.489141e+02 -3.451855e-18)	(-4.706880e+00 1.453456e+02 -3.446747e-18)	(1.676132e+01 3.568567e+00 -5.108487e-21)
0.0022       	(3.076166e+01 5.881831e+01 -4.183755e-18)	(1.410031e+01 5.528209e+01 -4.178262e-18)	(1.666135e+01 3.536223e+00 -5.492954e-21)
0.0023       	(1.000768e+01 1.785686e+02 -4.211819e-18)	(-6.556211e+00 1.750616e+02 -4.205850e-18)	(1.656389e+01 3.507087e+00 -5.969535e-21)
0.0024       	(4.598926e+00 2.106270e+02 -4.473812e-18)	(-1.186990e+01 2.071483e+02 -4.467448e-18)	(1.646882e+01 3.478701e+00 -6.363557e-21)
0.0025       	(4.491833e+00 2.091107e+02 -4.888312e-18)	(-1.188442e+01 2.056592e+02 -4.881244e-18)	(1.637626e+01 3.451463e+00 -7.067593e-21)
0.0026       	(-8.455492e+00 3.532291e+02 -1.133455e-17)	(-2.474168e+01 3.498044e+02 -1.132643e-17)	(1.628619e+01 3.424718e+00 -8.118189e-21)
0.0027       	(3.826889e+01 6.899078e+01 -7.583047e-18)	(2.206962e+01 6.559682e+01 -7.574333e-18)	(1.619927e+01 3.393956e+00 -8.713943e-21)
0.0028       	(3.336205e+01 3.113710e+01 -2.533082e-18)	(1.724872e+01 2.777056e+01 -2.523825e-18)	(1.611332e+01 3.366541e+00 -9.256626e-21)
0.0029       	(-8.690124e-01 1.125064e+03 -2.866239e-17)	(-1.688591e+01 1.121723e+03 -2.865229e-17)	(1.601689e+01 3.340833e+00 -1.009581e-20)
0.003        	(8.295394e+01 5.894271e+02 1.255901e-17)	(6.702805e+01 5.861123e+02 1.256897e-17)	(1.592589e+01 3.314872e+00 -9.951337e-21)
0.0031       	(3.829423e+02 8.287190e+01 1.336092e-16)	(3.671118e+02 7.957924e+01 1.336170e-16)	(1.583049e+01 3.292661e+00 -7.825628e-21)
0.0032       	(1.302222e+02 8.984287e+01 4.269044e-17)	(1.144764e+02 8.657420e+01 4.269789e-17)	(1.574586e+01 3.268671e+00 -7.452700e-21)
