# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.561502e+04 -1.200034e+06 1.388383e-15)	(2.559510e+04 -1.200031e+06 1.388385e-15)	(1.991984e+01 -3.190964e+00 -2.911397e-21)
0.0002       	(2.994554e+03 -7.426133e+04 3.557408e-16)	(2.975173e+03 -7.425826e+04 3.557336e-16)	(1.938127e+01 -3.073202e+00 7.174907e-21)
0.0003       	(3.446727e+02 1.259064e+04 7.258042e-17)	(3.254670e+02 1.259366e+04 7.257041e-17)	(1.920571e+01 -3.018005e+00 1.001674e-20)
0.0004       	(1.110374e+02 -1.617152e+02 5.396376e-17)	(9.277555e+01 -1.588298e+02 5.395242e-17)	(1.826185e+01 -2.885412e+00 1.133388e-20)
0.0005       	(7.956619e+01 -1.024780e+02 3.779471e-17)	(6.144791e+01 -9.962654e+01 3.778221e-17)	(1.811827e+01 -2.851436e+00 1.250129e-20)
0.0006       	(6.221832e+01 -8.382157e+01 2.905144e-17)	(4.423880e+01 -8.100233e+01 2.903819e-17)	(1.797952e+01 -2.819240e+00 1.325299e-20)
0.0007       	(5.248260e+01 -7.185547e+01 2.415612e-17)	(3.463764e+01 -6.906738e+01 2.414272e-17)	(1.784496e+01 -2.788092e+00 1.339636e-20)
0.0008       	(4.615068e+01 -6.645119e+01 2.100746e-17)	(2.843529e+01 -6.369501e+01 2.099366e-17)	(1.771539e+01 -2.756183e+00 1.379633e-20)
0.0009       	(4.165831e+01 -6.521966e+01 1.880330e-17)	(2.406875e+01 -6.249218e+01 1.878923e-17)	(1.758956e+01 -2.727480e+00 1.407042e-20)
0.001        	(3.866675e+01 -5.790053e+01 1.729495e-17)	(2.119916e+01 -5.520183e+01 1.728063e-17)	(1.746759e+01 -2.698697e+00 1.431981e-20)
0.0011       	(3.290009e+01 -5.124687e+01 1.445635e-17)	(1.554968e+01 -4.859086e+01 1.444212e-17)	(1.735041e+01 -2.656010e+00 1.423236e-20)
0.0012       	(3.231679e+01 -5.094757e+01 1.420385e-17)	(1.508034e+01 -4.832485e+01 1.418980e-17)	(1.723645e+01 -2.622729e+00 1.405135e-20)
0.0013       	(3.258951e+01 -4.162449e+01 1.414998e-17)	(1.546539e+01 -3.902812e+01 1.413579e-17)	(1.712412e+01 -2.596370e+00 1.419582e-20)
0.0014       	(6.136303e+01 6.099256e+02 1.376700e-17)	(4.434915e+01 6.125159e+02 1.375255e-17)	(1.701389e+01 -2.590317e+00 1.445254e-20)
0.0015       	(3.231390e+01 -1.293955e+01 1.307952e-17)	(1.540808e+01 -1.037573e+01 1.306499e-17)	(1.690582e+01 -2.563821e+00 1.453015e-20)
0.0016       	(2.784898e+01 -9.491131e+01 1.219265e-17)	(1.105190e+01 -9.237297e+01 1.217797e-17)	(1.679708e+01 -2.538338e+00 1.468777e-20)
0.0017       	(6.745021e+00 -5.745683e+02 6.893711e-18)	(-9.934543e+00 -5.720543e+02 6.878727e-18)	(1.667956e+01 -2.514019e+00 1.498385e-20)
0.0018       	(4.053262e+01 2.132345e+02 1.104447e-17)	(2.395479e+01 2.157144e+02 1.103053e-17)	(1.657783e+01 -2.479814e+00 1.393482e-20)
0.0019       	(2.672693e+01 -8.287044e+01 1.125922e-17)	(1.024636e+01 -8.041379e+01 1.124507e-17)	(1.648057e+01 -2.456646e+00 1.415667e-20)
0.002        	(3.140324e+01 3.103864e+01 1.140441e-17)	(1.501642e+01 3.346923e+01 1.139102e-17)	(1.638681e+01 -2.430593e+00 1.339515e-20)
0.0021       	(3.363834e+01 9.119644e+01 1.184762e-17)	(1.734152e+01 9.360106e+01 1.183567e-17)	(1.629682e+01 -2.404619e+00 1.194943e-20)
0.0022       	(2.411286e+01 -1.182180e+02 1.088666e-17)	(7.905749e+00 -1.158343e+02 1.087488e-17)	(1.620712e+01 -2.383727e+00 1.178337e-20)
0.0023       	(2.527175e+01 -8.244227e+01 1.128344e-17)	(9.151423e+00 -8.007829e+01 1.127167e-17)	(1.612033e+01 -2.363977e+00 1.176642e-20)
0.0024       	(2.521465e+01 -7.854962e+01 1.117766e-17)	(9.179224e+00 -7.620496e+01 1.116589e-17)	(1.603543e+01 -2.344656e+00 1.176765e-20)
0.0025       	(2.307996e+01 -1.239848e+02 1.057958e-17)	(7.129194e+00 -1.216592e+02 1.056787e-17)	(1.595076e+01 -2.325552e+00 1.171093e-20)
0.0026       	(2.342780e+01 -1.114133e+02 1.054561e-17)	(7.561507e+00 -1.091071e+02 1.053384e-17)	(1.586629e+01 -2.306221e+00 1.176741e-20)
0.0027       	(2.595802e+01 -4.948434e+01 1.099629e-17)	(1.017215e+01 -4.719773e+01 1.098483e-17)	(1.578587e+01 -2.286605e+00 1.146233e-20)
0.0028       	(2.611932e+01 -4.444331e+01 1.128092e-17)	(1.041018e+01 -4.217434e+01 1.126950e-17)	(1.570915e+01 -2.268962e+00 1.141134e-20)
0.0029       	(3.724760e+01 7.695368e+01 1.135355e-17)	(2.161322e+01 7.920771e+01 1.134217e-17)	(1.563438e+01 -2.254032e+00 1.138005e-20)
0.003        	(3.290922e+01 3.543758e+01 1.134873e-17)	(1.734797e+01 3.767627e+01 1.133742e-17)	(1.556124e+01 -2.238690e+00 1.131018e-20)
0.0031       	(2.594125e+01 -3.293332e+01 1.134538e-17)	(1.045117e+01 -3.071127e+01 1.133428e-17)	(1.549008e+01 -2.222049e+00 1.110235e-20)
0.0032       	(2.564640e+01 -3.767008e+01 1.130394e-17)	(1.022560e+01 -3.546421e+01 1.129306e-17)	(1.542081e+01 -2.205875e+00 1.087667e-20)
