# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.743453e+04 1.948658e+06 1.679460e-15)	(1.741451e+04 1.948652e+06 1.679366e-15)	(2.001750e+01 5.541792e+00 9.400773e-20)
0.0002       	(2.214510e+03 1.555713e+05 7.944588e-16)	(2.195153e+03 1.555660e+05 7.943827e-16)	(1.935748e+01 5.257362e+00 7.608703e-20)
0.0003       	(-3.348435e+02 2.504427e+03 1.695815e-17)	(-3.539801e+02 2.499248e+03 1.688227e-17)	(1.913658e+01 5.178917e+00 7.587959e-20)
0.0004       	(1.385908e+02 7.027774e+02 -1.056109e-18)	(1.196480e+02 6.976819e+02 -1.131273e-18)	(1.894270e+01 5.095487e+00 7.516411e-20)
0.0005       	(1.769400e+02 1.110715e+03 2.773541e-19)	(1.581791e+02 1.105714e+03 2.006979e-19)	(1.876093e+01 5.001168e+00 7.665624e-20)
0.0006       	(3.673830e+02 -2.188834e+02 1.991400e-16)	(3.488021e+02 -2.238222e+02 1.990588e-16)	(1.858082e+01 4.938763e+00 8.126582e-20)
0.0007       	(1.575350e+02 1.002088e+03 6.256495e-17)	(1.391273e+02 9.972367e+02 6.248462e-17)	(1.840766e+01 4.851783e+00 8.032475e-20)
0.0008       	(-1.377459e+02 2.387963e+03 6.275490e-17)	(-1.559743e+02 2.383190e+03 6.267387e-17)	(1.822848e+01 4.772623e+00 8.103200e-20)
0.0009       	(7.372645e+01 1.014206e+03 8.201059e-18)	(5.566254e+01 1.009512e+03 8.118673e-18)	(1.806391e+01 4.694418e+00 8.238647e-20)
0.001        	(1.611062e+02 7.685785e+02 -6.195773e-18)	(1.431998e+02 7.639598e+02 -6.278386e-18)	(1.790648e+01 4.618675e+00 8.261235e-20)
0.0011       	(8.755100e+01 1.025237e+03 8.250249e-18)	(6.979743e+01 1.020688e+03 8.167202e-18)	(1.775357e+01 4.548451e+00 8.304670e-20)
0.0012       	(5.306238e+02 -1.009609e+03 2.030457e-16)	(5.130104e+02 -1.014058e+03 2.029612e-16)	(1.761332e+01 4.448670e+00 8.448132e-20)
0.0013       	(3.630545e+02 1.013313e+03 -1.179894e-17)	(3.455780e+02 1.008937e+03 -1.188423e-17)	(1.747659e+01 4.375297e+00 8.528772e-20)
0.0014       	(1.218277e+02 8.504841e+02 -5.166701e-19)	(1.044945e+02 8.461792e+02 -6.024564e-19)	(1.733311e+01 4.304953e+00 8.578636e-20)
0.0015       	(1.485790e+02 6.522987e+02 -2.464491e-18)	(1.313789e+02 6.480574e+02 -2.550312e-18)	(1.720007e+01 4.241318e+00 8.582120e-20)
0.0016       	(2.289108e+02 5.747169e+02 -9.126891e-18)	(2.118353e+02 5.705375e+02 -9.213187e-18)	(1.707546e+01 4.179387e+00 8.629625e-20)
0.0017       	(1.382775e+02 6.139189e+02 2.412315e-18)	(1.213268e+02 6.097987e+02 2.326049e-18)	(1.695075e+01 4.120192e+00 8.626587e-20)
0.0018       	(1.764652e+01 2.270463e+03 3.245744e-17)	(8.282717e-01 2.266401e+03 3.237096e-17)	(1.681825e+01 4.061417e+00 8.648673e-20)
0.0019       	(1.103862e+02 1.013291e+03 5.195975e-18)	(9.369525e+01 1.009288e+03 5.109736e-18)	(1.669091e+01 4.002764e+00 8.623842e-20)
0.002        	(9.449611e+01 8.802248e+02 5.281836e-18)	(7.792364e+01 8.762893e+02 5.195786e-18)	(1.657246e+01 3.935535e+00 8.604923e-20)
0.0021       	(-1.587728e+02 2.452276e+03 2.597040e-17)	(-1.752240e+02 2.448396e+03 2.588430e-17)	(1.645122e+01 3.879275e+00 8.610726e-20)
0.0022       	(-6.566527e+01 2.073256e+03 1.870994e-17)	(-8.199447e+01 2.069431e+03 1.862405e-17)	(1.632920e+01 3.824156e+00 8.589068e-20)
0.0023       	(1.229985e+02 1.347628e+03 1.638304e-17)	(1.067786e+02 1.343858e+03 1.629690e-17)	(1.621996e+01 3.769794e+00 8.613265e-20)
0.0024       	(4.989743e+02 3.123223e+03 -1.462603e-17)	(4.828521e+02 3.119497e+03 -1.471277e-17)	(1.612220e+01 3.725203e+00 8.673506e-20)
0.0025       	(4.141088e+02 1.882685e+03 -1.582153e-17)	(3.980840e+02 1.879005e+03 -1.590880e-17)	(1.602476e+01 3.679871e+00 8.726835e-20)
0.0026       	(1.469684e+02 2.000928e+03 -4.485225e-17)	(1.310571e+02 1.997285e+03 -4.493820e-17)	(1.591133e+01 3.642232e+00 8.594966e-20)
0.0027       	(7.089889e+01 3.120002e+03 -3.951325e-17)	(5.509760e+01 3.116396e+03 -3.959726e-17)	(1.580129e+01 3.606084e+00 8.401454e-20)
0.0028       	(4.804640e+01 2.314251e+03 1.348854e-17)	(3.234481e+01 2.310688e+03 1.340522e-17)	(1.570159e+01 3.563795e+00 8.331958e-20)
0.0029       	(1.352303e+02 1.362405e+03 -2.244276e-19)	(1.196239e+02 1.358884e+03 -3.067714e-19)	(1.560638e+01 3.521080e+00 8.234383e-20)
0.003        	(1.179469e+02 2.135415e+03 1.323541e-18)	(1.024330e+02 2.131934e+03 1.242935e-18)	(1.551390e+01 3.480801e+00 8.060643e-20)
0.0031       	(3.516313e+02 2.049803e+03 -9.546431e-18)	(3.362043e+02 2.046360e+03 -9.626050e-18)	(1.542706e+01 3.442993e+00 7.961916e-20)
