# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.758234e+06 7.109576e+05 -1.539371e-13)	(2.758203e+06 7.109555e+05 -1.539369e-13)	(3.083519e+01 2.080597e+00 -2.077833e-19)
0.0002       	(1.193802e+05 4.205806e+04 -9.035415e-15)	(1.193502e+05 4.205608e+04 -9.035258e-15)	(2.996616e+01 1.987111e+00 -1.566494e-19)
0.0003       	(2.745885e+03 5.491156e+03 -5.902773e-17)	(2.716441e+03 5.489188e+03 -5.889210e-17)	(2.944386e+01 1.967864e+00 -1.356269e-19)
0.0004       	(2.448374e+03 4.752001e+02 -1.101404e-16)	(2.419864e+03 4.733085e+02 -1.100159e-16)	(2.850911e+01 1.891563e+00 -1.245644e-19)
0.0005       	(2.165048e+03 5.012739e+02 -1.296929e-16)	(2.136936e+03 4.994191e+02 -1.295768e-16)	(2.811151e+01 1.854780e+00 -1.160747e-19)
0.0006       	(1.772972e+03 4.790026e+02 -1.212035e-16)	(1.745234e+03 4.771809e+02 -1.210946e-16)	(2.773823e+01 1.821765e+00 -1.089386e-19)
0.0007       	(1.306364e+03 1.733926e+03 -6.705839e-17)	(1.278979e+03 1.732125e+03 -6.695614e-17)	(2.738489e+01 1.800651e+00 -1.022567e-19)
0.0008       	(1.144378e+03 1.333828e+03 -8.084535e-17)	(1.117329e+03 1.332063e+03 -8.074775e-17)	(2.704893e+01 1.764978e+00 -9.760542e-20)
0.0009       	(1.927098e+02 8.562008e+03 6.220160e-17)	(1.659806e+02 8.560290e+03 6.229891e-17)	(2.672928e+01 1.717516e+00 -9.730794e-20)
0.001        	(5.244651e+02 1.754034e+03 -5.076633e-17)	(4.980412e+02 1.752312e+03 -5.067296e-17)	(2.642392e+01 1.722657e+00 -9.337283e-20)
0.0011       	(3.808950e+02 4.882255e+03 2.074677e-18)	(3.547689e+02 4.880542e+03 2.160380e-18)	(2.612612e+01 1.712773e+00 -8.570256e-20)
0.0012       	(6.399004e+02 2.253017e+03 -7.664169e-17)	(6.140592e+02 2.251323e+03 -7.656099e-17)	(2.584120e+01 1.694164e+00 -8.069937e-20)
0.0013       	(5.216902e+02 3.105572e+03 -1.041699e-16)	(4.961217e+02 3.103903e+03 -1.040933e-16)	(2.556855e+01 1.668841e+00 -7.654986e-20)
0.0014       	(5.890360e+02 2.029851e+03 -7.509028e-17)	(5.637323e+02 2.028202e+03 -7.501970e-17)	(2.530377e+01 1.649637e+00 -7.057266e-20)
0.0015       	(-7.147745e+01 6.891018e+03 -1.397233e-16)	(-9.652854e+01 6.889417e+03 -1.396534e-16)	(2.505110e+01 1.600387e+00 -6.990363e-20)
0.0016       	(1.224203e+02 5.069608e+03 -6.611688e-17)	(9.761660e+01 5.068025e+03 -6.605046e-17)	(2.480374e+01 1.583455e+00 -6.642212e-20)
0.0017       	(2.544707e+02 4.111341e+03 -1.328804e-16)	(2.299059e+02 4.109771e+03 -1.328209e-16)	(2.456484e+01 1.569624e+00 -5.943510e-20)
