# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.610889e+05 7.363771e+05 2.068661e-14)	(2.610671e+05 7.363748e+05 2.068681e-14)	(2.173843e+01 2.337759e+00 -2.014006e-19)
0.0002       	(1.589287e+04 3.145851e+04 9.348234e-16)	(1.587162e+04 3.145626e+04 9.350017e-16)	(2.124819e+01 2.249988e+00 -1.783137e-19)
0.0003       	(6.403262e+02 -3.514123e+03 1.713095e-16)	(6.192941e+02 -3.516357e+03 1.714785e-16)	(2.103203e+01 2.233860e+00 -1.690168e-19)
0.0004       	(4.278787e+02 -1.590563e+02 1.052839e-16)	(4.075003e+02 -1.612461e+02 1.054481e-16)	(2.037835e+01 2.189794e+00 -1.642532e-19)
0.0005       	(3.639685e+02 -1.427028e+02 1.034856e-16)	(3.437703e+02 -1.448802e+02 1.036455e-16)	(2.019819e+01 2.177452e+00 -1.599131e-19)
0.0006       	(2.596347e+02 6.247744e+02 9.601247e-17)	(2.396086e+02 6.226214e+02 9.616971e-17)	(2.002608e+01 2.152977e+00 -1.572438e-19)
0.0007       	(2.477658e+02 2.485375e+02 8.195241e-17)	(2.279059e+02 2.463928e+02 8.210560e-17)	(1.985988e+01 2.144674e+00 -1.531945e-19)
0.0008       	(2.362322e+02 -1.967411e+01 7.100025e-17)	(2.165322e+02 -2.180325e+01 7.115063e-17)	(1.969993e+01 2.129142e+00 -1.503863e-19)
0.0009       	(2.145076e+02 -8.140881e+01 6.629080e-17)	(1.949640e+02 -8.352748e+01 6.643850e-17)	(1.954365e+01 2.118675e+00 -1.476983e-19)
0.001        	(1.885973e+02 -4.740903e+02 6.490033e-17)	(1.692060e+02 -4.762079e+02 6.504569e-17)	(1.939127e+01 2.117625e+00 -1.453551e-19)
0.0011       	(1.601203e+02 -8.458386e+02 6.442358e-17)	(1.408786e+02 -8.479631e+02 6.456710e-17)	(1.924174e+01 2.124448e+00 -1.435154e-19)
0.0012       	(1.166613e+02 1.916917e+02 6.224674e-17)	(9.756674e+01 1.895833e+02 6.238781e-17)	(1.909459e+01 2.108450e+00 -1.410610e-19)
0.0013       	(1.466262e+02 -3.351491e+02 5.786547e-17)	(1.276697e+02 -3.372388e+02 5.800515e-17)	(1.895649e+01 2.089714e+00 -1.396724e-19)
0.0014       	(1.398347e+02 -1.630092e+02 5.320489e-17)	(1.210109e+02 -1.650866e+02 5.334283e-17)	(1.882377e+01 2.077359e+00 -1.379446e-19)
0.0015       	(1.297436e+02 -1.032691e+02 4.942171e-17)	(1.110491e+02 -1.053358e+02 4.955795e-17)	(1.869449e+01 2.066663e+00 -1.362390e-19)
0.0016       	(1.187365e+02 -4.736587e+01 4.655177e-17)	(1.001682e+02 -4.942260e+01 4.668635e-17)	(1.856826e+01 2.056730e+00 -1.345880e-19)
0.0017       	(6.911698e+01 5.738645e+02 4.369931e-17)	(5.068476e+01 5.718158e+02 4.383190e-17)	(1.843222e+01 2.048706e+00 -1.325818e-19)
0.0018       	(4.750504e+01 6.479900e+02 8.362851e-18)	(2.919112e+01 6.459619e+02 8.495817e-18)	(1.831392e+01 2.028038e+00 -1.329659e-19)
0.0019       	(5.604571e+01 4.979930e+02 1.311852e-17)	(3.784812e+01 4.959837e+02 1.325169e-17)	(1.819759e+01 2.009363e+00 -1.331732e-19)
0.002        	(9.033554e+01 2.364689e+01 3.615794e-17)	(7.225168e+01 2.164824e+01 3.629001e-17)	(1.808385e+01 1.998648e+00 -1.320721e-19)
0.0021       	(9.014618e+01 -2.799850e+01 3.596893e-17)	(7.217266e+01 -2.998668e+01 3.609986e-17)	(1.797352e+01 1.988179e+00 -1.309357e-19)
0.0022       	(8.661798e+01 -3.560615e+01 3.499461e-17)	(6.875193e+01 -3.758399e+01 3.512443e-17)	(1.786604e+01 1.977843e+00 -1.298201e-19)
0.0023       	(6.417386e+01 -3.718167e+02 2.371529e-17)	(4.641567e+01 -3.737728e+02 2.384219e-17)	(1.775819e+01 1.956130e+00 -1.269005e-19)
0.0024       	(-1.413873e+01 -1.742932e+03 -1.935642e-17)	(-3.179049e+01 -1.744879e+03 -1.923054e-17)	(1.765176e+01 1.946549e+00 -1.258818e-19)
0.0025       	(7.012779e+01 -1.542716e+02 2.825441e-17)	(5.257455e+01 -1.562065e+02 2.837961e-17)	(1.755325e+01 1.934850e+00 -1.251987e-19)
0.0026       	(5.903393e+01 1.155890e+02 2.236090e-17)	(4.157659e+01 1.136619e+02 2.248536e-17)	(1.745735e+01 1.927064e+00 -1.244620e-19)
0.0027       	(4.298643e+01 3.396823e+02 1.484609e-17)	(2.562248e+01 3.377604e+02 1.496987e-17)	(1.736396e+01 1.921993e+00 -1.237770e-19)
0.0028       	(5.897309e+01 1.334778e+02 2.445539e-17)	(4.169988e+01 1.315644e+02 2.457863e-17)	(1.727321e+01 1.913403e+00 -1.232436e-19)
0.0029       	(5.997788e+01 6.866802e+01 2.848137e-17)	(4.279371e+01 6.676411e+01 2.860393e-17)	(1.718417e+01 1.903910e+00 -1.225641e-19)
0.003        	(6.555220e+01 -5.052145e+02 2.716653e-17)	(4.845450e+01 -5.071052e+02 2.728715e-17)	(1.709770e+01 1.890632e+00 -1.206195e-19)
0.0031       	(7.728303e+01 -2.523325e+03 1.626892e-17)	(6.027099e+01 -2.525204e+03 1.638421e-17)	(1.701205e+01 1.878871e+00 -1.152840e-19)
0.0032       	(-3.915567e+00 8.581257e+02 2.112043e-17)	(-2.083300e+01 8.562572e+02 2.123473e-17)	(1.691743e+01 1.868534e+00 -1.142976e-19)
0.0033       	(2.767888e+01 2.101813e+02 2.080603e-17)	(1.084583e+01 2.083235e+02 2.091955e-17)	(1.683305e+01 1.857840e+00 -1.135145e-19)
0.0034       	(5.230447e+01 4.474446e+01 2.608764e-17)	(3.554997e+01 4.289270e+01 2.620034e-17)	(1.675450e+01 1.851758e+00 -1.126973e-19)
0.0035       	(3.442492e+01 2.836524e+02 2.360958e-17)	(1.775083e+01 2.818111e+02 2.372118e-17)	(1.667409e+01 1.841324e+00 -1.115955e-19)
