# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.591272e+05 -1.820625e+06 7.815292e-14)	(1.591066e+05 -1.820619e+06 7.815279e-14)	(2.068203e+01 -5.977934e+00 1.341982e-19)
0.0002       	(3.954293e+03 -1.026755e+05 6.783625e-15)	(3.934222e+03 -1.026698e+05 6.783489e-15)	(2.007063e+01 -5.715408e+00 1.357571e-19)
0.0003       	(7.115470e+02 -7.914856e+02 4.363912e-16)	(6.917193e+02 -7.858906e+02 4.362525e-16)	(1.982776e+01 -5.595045e+00 1.387560e-19)
0.0004       	(5.041840e+02 -1.054746e+03 3.411601e-16)	(4.847080e+02 -1.049288e+03 3.410204e-16)	(1.947596e+01 -5.458270e+00 1.396369e-19)
0.0005       	(3.774885e+02 -1.000929e+03 2.515417e-16)	(3.582084e+02 -9.955669e+02 2.514024e-16)	(1.928013e+01 -5.362127e+00 1.393018e-19)
0.0006       	(2.864979e+02 -8.228769e+02 2.157733e-16)	(2.674074e+02 -8.176111e+02 2.156376e-16)	(1.909049e+01 -5.265846e+00 1.357264e-19)
0.0007       	(2.365035e+02 -7.607494e+02 2.020467e-16)	(2.175931e+02 -7.555775e+02 2.019139e-16)	(1.891045e+01 -5.171875e+00 1.328024e-19)
0.0008       	(8.773664e+01 -1.313058e+03 1.911436e-16)	(6.901308e+01 -1.307971e+03 1.910119e-16)	(1.872356e+01 -5.086416e+00 1.316462e-19)
0.0009       	(-2.329807e+01 -1.690007e+03 1.827536e-16)	(-4.183056e+01 -1.685001e+03 1.826227e-16)	(1.853249e+01 -5.006163e+00 1.308588e-19)
0.001        	(1.676185e+01 -1.404792e+03 1.758077e-16)	(-1.601469e+00 -1.399859e+03 1.756775e-16)	(1.836332e+01 -4.933016e+00 1.301456e-19)
0.0011       	(6.778325e+01 -1.074573e+03 1.702252e-16)	(4.958363e+01 -1.069713e+03 1.700954e-16)	(1.819962e+01 -4.860073e+00 1.297758e-19)
0.0012       	(-2.209597e+02 -2.277374e+03 1.660809e-16)	(-2.389760e+02 -2.272587e+03 1.659521e-16)	(1.801628e+01 -4.787434e+00 1.288229e-19)
0.0013       	(-3.244009e+02 -2.706129e+03 1.623935e-16)	(-3.422351e+02 -2.701417e+03 1.622659e-16)	(1.783421e+01 -4.712679e+00 1.275853e-19)
0.0014       	(4.238067e+01 -9.750667e+02 1.593652e-16)	(2.470000e+01 -9.704221e+02 1.592388e-16)	(1.768067e+01 -4.644662e+00 1.263947e-19)
0.0015       	(6.036445e+01 -8.209200e+02 1.572688e-16)	(4.283099e+01 -8.163377e+02 1.571433e-16)	(1.753346e+01 -4.582290e+00 1.255006e-19)
0.0016       	(7.217430e+01 -7.792060e+02 1.555795e-16)	(5.478254e+01 -7.746833e+02 1.554550e-16)	(1.739176e+01 -4.522717e+00 1.245255e-19)
0.0017       	(1.045400e+02 -1.395158e+02 1.526813e-16)	(8.728617e+01 -1.350304e+02 1.525577e-16)	(1.725385e+01 -4.485378e+00 1.235727e-19)
0.0018       	(1.781571e+02 3.702063e+02 1.642822e-16)	(1.610308e+02 3.746216e+02 1.641583e-16)	(1.712637e+01 -4.415323e+00 1.238953e-19)
0.0019       	(1.409162e+02 -1.063841e+02 1.575502e-16)	(1.239164e+02 -1.020290e+02 1.574270e-16)	(1.699988e+01 -4.355125e+00 1.231247e-19)
0.002        	(1.132295e+02 -3.263103e+02 1.531256e-16)	(9.635276e+01 -3.220081e+02 1.530032e-16)	(1.687676e+01 -4.302245e+00 1.223403e-19)
0.0021       	(1.007395e+02 -3.912387e+02 1.512393e-16)	(8.398304e+01 -3.869867e+02 1.511177e-16)	(1.675650e+01 -4.252024e+00 1.216261e-19)
0.0022       	(-3.119535e+01 -9.619154e+02 1.500424e-16)	(-4.782173e+01 -9.577150e+02 1.499217e-16)	(1.662638e+01 -4.200471e+00 1.207315e-19)
0.0023       	(-2.728828e+02 -2.026930e+03 1.490491e-16)	(-2.893707e+02 -2.022781e+03 1.489300e-16)	(1.648789e+01 -4.148720e+00 1.191381e-19)
0.0024       	(-9.817759e+01 -1.207416e+03 1.481889e-16)	(-1.145492e+02 -1.203313e+03 1.480712e-16)	(1.637163e+01 -4.102925e+00 1.176709e-19)
0.0025       	(-3.261656e+01 -8.811998e+02 1.474560e-16)	(-4.887317e+01 -8.771445e+02 1.473389e-16)	(1.625661e+01 -4.055260e+00 1.170425e-19)
0.0026       	(-1.084306e+01 -7.632181e+02 1.471264e-16)	(-2.699033e+01 -7.592082e+02 1.470101e-16)	(1.614727e+01 -4.009881e+00 1.162790e-19)
0.0027       	(2.343459e+01 -5.796177e+02 1.464289e-16)	(7.393740e+00 -5.756501e+02 1.463134e-16)	(1.604085e+01 -3.967618e+00 1.155198e-19)
0.0028       	(1.445349e+02 1.033680e+02 1.462891e-16)	(1.285985e+02 1.073030e+02 1.461741e-16)	(1.593642e+01 -3.935042e+00 1.150028e-19)
0.0029       	(-3.584210e+01 -4.796164e+02 1.494165e-16)	(-5.167580e+01 -4.757110e+02 1.493030e-16)	(1.583370e+01 -3.905438e+00 1.134797e-19)
0.003        	(-1.857556e+02 -1.468245e+03 2.231273e-16)	(-2.014882e+02 -1.464393e+03 2.230118e-16)	(1.573256e+01 -3.852399e+00 1.155555e-19)
0.0031       	(-2.278518e+02 -1.637364e+03 2.224415e-16)	(-2.434828e+02 -1.633563e+03 2.223232e-16)	(1.563102e+01 -3.800896e+00 1.183783e-19)
0.0032       	(-4.063517e+01 -7.706673e+02 1.582568e-16)	(-5.616662e+01 -7.669067e+02 1.581386e-16)	(1.553145e+01 -3.760577e+00 1.182234e-19)
