# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.862001e+04 -1.477704e+06 7.513489e-15)	(1.860014e+04 -1.477700e+06 7.513465e-15)	(1.986676e+01 -4.465537e+00 2.387321e-20)
0.0002       	(3.166145e+03 -1.065842e+05 -2.375971e-16)	(3.146858e+03 -1.065800e+05 -2.376278e-16)	(1.928652e+01 -4.229331e+00 3.068124e-20)
0.0003       	(6.963582e+01 5.605679e+03 -1.372891e-16)	(5.055955e+01 5.609826e+03 -1.373153e-16)	(1.907627e+01 -4.147208e+00 2.620378e-20)
0.0004       	(5.538081e+01 -1.130495e+03 -2.466981e-17)	(3.700383e+01 -1.126489e+03 -2.469724e-17)	(1.837699e+01 -4.005605e+00 2.743642e-20)
0.0005       	(1.136566e+02 -1.320759e+02 -1.191978e-17)	(9.543398e+01 -1.281186e+02 -1.194657e-17)	(1.822260e+01 -3.957246e+00 2.678716e-20)
0.0006       	(8.807612e+01 -1.504066e+02 -6.929346e-18)	(7.002340e+01 -1.464989e+02 -6.955440e-18)	(1.805272e+01 -3.907731e+00 2.609412e-20)
0.0007       	(7.526846e+01 -1.216948e+02 -5.103673e-18)	(5.736101e+01 -1.178313e+02 -5.129057e-18)	(1.790745e+01 -3.863524e+00 2.538404e-20)
0.0008       	(1.943910e+02 1.132257e+03 -9.959628e-17)	(1.766237e+02 1.136091e+03 -9.960681e-17)	(1.776733e+01 -3.833545e+00 1.052360e-20)
0.0009       	(6.035335e+01 -8.531367e+01 -3.150518e-18)	(4.272396e+01 -8.152243e+01 -3.160420e-18)	(1.762940e+01 -3.791245e+00 9.901410e-21)
0.001        	(5.411879e+01 -8.749151e+01 -1.515693e-18)	(3.662391e+01 -8.374066e+01 -1.525417e-18)	(1.749489e+01 -3.750857e+00 9.724108e-21)
0.0011       	(5.037529e+01 -7.838502e+01 -1.150157e-18)	(3.301157e+01 -7.467332e+01 -1.159650e-18)	(1.736373e+01 -3.711702e+00 9.493146e-21)
0.0012       	(5.089795e+01 -4.103148e+01 -3.012949e-18)	(3.366133e+01 -3.735862e+01 -3.023605e-18)	(1.723662e+01 -3.672859e+00 1.065641e-20)
0.0013       	(1.094015e+02 3.879146e+02 -2.242775e-17)	(9.229163e+01 3.915464e+02 -2.244014e-17)	(1.710991e+01 -3.631731e+00 1.238274e-20)
0.0014       	(1.804687e+02 9.688735e+02 -6.186241e-17)	(1.634818e+02 9.724487e+02 -6.187550e-17)	(1.698685e+01 -3.575136e+00 1.309389e-20)
