# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.314547e+05 -5.197289e+05 -5.580865e-15)	(1.314339e+05 -5.197276e+05 -5.580868e-15)	(2.081803e+01 -1.281743e+00 3.625200e-21)
0.0002       	(4.741857e+03 -1.472104e+04 3.075535e-17)	(4.721470e+03 -1.471979e+04 3.074734e-17)	(2.038730e+01 -1.254023e+00 8.010834e-21)
0.0003       	(5.605013e+02 -7.691201e+02 2.437377e-16)	(5.402899e+02 -7.678934e+02 2.437265e-16)	(2.021135e+01 -1.226690e+00 1.125071e-20)
0.0004       	(2.910994e+02 -4.375885e+02 5.649456e-17)	(2.710563e+02 -4.363849e+02 5.648257e-17)	(2.004309e+01 -1.203659e+00 1.199396e-20)
0.0005       	(2.473046e+02 -3.655903e+02 1.231277e-17)	(2.274238e+02 -3.644094e+02 1.230052e-17)	(1.988084e+01 -1.180844e+00 1.225841e-20)
0.0006       	(2.430311e+02 6.021091e+02 -8.999381e-18)	(2.232979e+02 6.032569e+02 -9.010077e-18)	(1.973320e+01 -1.147817e+00 1.069640e-20)
0.0007       	(2.083607e+02 -1.974005e+02 -7.344314e-18)	(1.887694e+02 -1.962725e+02 -7.355201e-18)	(1.959125e+01 -1.128002e+00 1.088661e-20)
0.0008       	(1.730068e+02 -4.381051e+02 -1.246564e-17)	(1.535536e+02 -4.369950e+02 -1.247665e-17)	(1.945327e+01 -1.110115e+00 1.100784e-20)
0.0009       	(1.549413e+02 -5.726104e+02 -2.245713e-17)	(1.356216e+02 -5.715180e+02 -2.246770e-17)	(1.931968e+01 -1.092447e+00 1.056917e-20)
0.001        	(1.473327e+02 -3.714724e+02 -2.472690e-17)	(1.281428e+02 -3.703990e+02 -2.473444e-17)	(1.918991e+01 -1.073313e+00 7.537375e-21)
0.0011       	(1.447757e+02 -3.431063e+02 -1.599170e-17)	(1.257104e+02 -3.420493e+02 -1.599892e-17)	(1.906522e+01 -1.057018e+00 7.219456e-21)
0.0012       	(1.354949e+02 -4.767065e+02 -1.168462e-17)	(1.165509e+02 -4.756637e+02 -1.169158e-17)	(1.894399e+01 -1.042765e+00 6.962717e-21)
0.0013       	(1.285070e+02 -5.194761e+02 -1.205930e-17)	(1.096812e+02 -5.184442e+02 -1.206512e-17)	(1.882581e+01 -1.031958e+00 5.823076e-21)
0.0014       	(1.086487e+02 -7.995838e+02 -9.538980e-18)	(8.993688e+01 -7.985661e+02 -9.544316e-18)	(1.871182e+01 -1.017713e+00 5.335661e-21)
0.0015       	(1.135860e+02 -7.902055e+02 -1.325617e-17)	(9.498497e+01 -7.892081e+02 -1.325985e-17)	(1.860106e+01 -9.974371e-01 3.680286e-21)
0.0016       	(1.458109e+02 -2.590973e+02 -1.861231e-17)	(1.273166e+02 -2.581153e+02 -1.861477e-17)	(1.849432e+01 -9.820358e-01 2.463061e-21)
0.0017       	(1.273479e+02 -7.011148e+02 -1.581414e-17)	(1.089578e+02 -7.001476e+02 -1.581534e-17)	(1.839004e+01 -9.671629e-01 1.202843e-21)
0.0018       	(1.653491e+02 1.179144e+03 -3.792510e-17)	(1.470601e+02 1.180099e+03 -3.792724e-17)	(1.828903e+01 -9.547219e-01 2.141816e-21)
0.0019       	(1.032361e+02 2.053741e+02 -3.309760e-17)	(8.504565e+01 2.063165e+02 -3.310161e-17)	(1.819043e+01 -9.423807e-01 4.007568e-21)
0.002        	(1.357973e+02 -1.188850e+03 -3.739294e-17)	(1.177018e+02 -1.187923e+03 -3.739829e-17)	(1.809551e+01 -9.268315e-01 5.354101e-21)
0.0021       	(1.073276e+02 -1.249766e+03 -2.430523e-17)	(8.932467e+01 -1.248849e+03 -2.430826e-17)	(1.800294e+01 -9.176653e-01 3.029619e-21)
0.0022       	(1.267873e+02 -3.256885e+02 -1.531586e-17)	(1.088736e+02 -3.247844e+02 -1.531803e-17)	(1.791369e+01 -9.041120e-01 2.171393e-21)
0.0023       	(1.108168e+02 -5.338665e+02 -1.089709e-17)	(9.299018e+01 -5.329747e+02 -1.089905e-17)	(1.782661e+01 -8.918340e-01 1.963179e-21)
0.0024       	(-1.245549e+02 -3.276468e+03 2.710666e-17)	(-1.422976e+02 -3.275600e+03 2.710612e-17)	(1.774271e+01 -8.679677e-01 5.407536e-22)
0.0025       	(-1.024915e+02 -3.183313e+03 2.708574e-17)	(-1.201529e+02 -3.182459e+03 2.708558e-17)	(1.766142e+01 -8.541211e-01 1.649861e-22)
0.0026       	(9.250094e+01 -7.792146e+02 -7.387163e-18)	(7.492090e+01 -7.783635e+02 -7.385806e-18)	(1.758004e+01 -8.510334e-01 -1.357697e-21)
0.0027       	(1.446543e+03 -2.565562e+03 5.628658e-17)	(1.429025e+03 -2.564719e+03 5.628704e-17)	(1.751753e+01 -8.422919e-01 -4.565660e-22)
0.0028       	(9.528842e+02 -1.636953e+03 3.314306e-17)	(9.354313e+02 -1.636123e+03 3.314248e-17)	(1.745295e+01 -8.294904e-01 5.779079e-22)
0.0029       	(2.018521e+02 -7.933231e+02 -9.139350e-18)	(1.844710e+02 -7.925045e+02 -9.139791e-18)	(1.738104e+01 -8.185201e-01 4.412547e-22)
0.003        	(3.771214e+02 -1.977365e+03 6.698584e-18)	(3.598077e+02 -1.976555e+03 6.698461e-18)	(1.731364e+01 -8.096199e-01 1.235161e-22)
0.0031       	(2.292315e+02 -3.836198e+02 -6.002130e-18)	(2.119856e+02 -3.828202e+02 -6.001933e-18)	(1.724588e+01 -7.996495e-01 -1.970044e-22)
0.0032       	(2.099971e+02 -2.396422e+02 -5.947903e-18)	(1.928184e+02 -2.388534e+02 -5.946603e-18)	(1.717866e+01 -7.888455e-01 -1.300272e-21)
0.0033       	(2.026457e+02 -7.983563e+02 1.153748e-19)	(1.855330e+02 -7.975761e+02 1.169632e-19)	(1.711275e+01 -7.802437e-01 -1.588398e-21)
0.0034       	(2.085929e+02 -7.874101e+00 -6.878707e-18)	(1.915429e+02 -7.099573e+00 -6.877012e-18)	(1.705005e+01 -7.745284e-01 -1.694531e-21)
0.0035       	(2.897167e+02 3.174966e+03 -3.174681e-17)	(2.727249e+02 3.175747e+03 -3.174895e-17)	(1.699181e+01 -7.811356e-01 2.138060e-21)
0.0036       	(1.761957e+02 -7.144877e+02 9.564125e-20)	(1.592647e+02 -7.137129e+02 9.378251e-20)	(1.693105e+01 -7.747171e-01 1.858745e-21)
0.0037       	(2.221820e+02 -1.168276e+03 2.535957e-18)	(2.053101e+02 -1.167507e+03 2.534380e-18)	(1.687190e+01 -7.687804e-01 1.577640e-21)
0.0038       	(1.958429e+02 -1.152884e+03 4.206985e-18)	(1.790292e+02 -1.152121e+03 4.205636e-18)	(1.681363e+01 -7.636241e-01 1.348826e-21)
0.0039       	(2.289689e+02 -3.916037e+02 -3.616008e-18)	(2.122120e+02 -3.908462e+02 -3.617486e-18)	(1.675690e+01 -7.575112e-01 1.478168e-21)
0.004        	(1.426817e+02 -1.141725e+03 -2.079384e-18)	(1.259790e+02 -1.140979e+03 -2.081283e-18)	(1.670265e+01 -7.460868e-01 1.899068e-21)
