# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.578423e+05 -3.896990e+04 -3.739679e-14)	(1.578211e+05 -3.897047e+04 -3.739685e-14)	(2.125017e+01 5.700085e-01 5.116388e-20)
0.0002       	(4.907793e+03 7.868110e+03 -1.427739e-15)	(4.886896e+03 7.867556e+03 -1.427783e-15)	(2.089721e+01 5.537283e-01 4.450752e-20)
0.0003       	(2.199364e+02 -4.600693e+02 -3.324675e-16)	(1.992155e+02 -4.606301e+02 -3.325077e-16)	(2.072086e+01 5.607432e-01 4.021735e-20)
0.0004       	(2.129497e+02 -9.463048e+01 -2.496451e-16)	(1.927307e+02 -9.518711e+01 -2.496826e-16)	(2.021907e+01 5.566282e-01 3.756563e-20)
0.0005       	(1.969026e+02 -9.350867e+01 -2.207241e-16)	(1.768400e+02 -9.406882e+01 -2.207598e-16)	(2.006261e+01 5.601466e-01 3.572169e-20)
0.0006       	(1.671417e+02 -1.186031e+02 -1.931276e-16)	(1.472298e+02 -1.191692e+02 -1.931616e-16)	(1.991197e+01 5.660949e-01 3.401717e-20)
0.0007       	(1.492387e+02 -1.325295e+02 -1.760524e-16)	(1.294718e+02 -1.330979e+02 -1.760848e-16)	(1.976690e+01 5.683853e-01 3.235749e-20)
0.0008       	(1.305456e+02 -9.700229e+01 -1.632777e-16)	(1.109190e+02 -9.757113e+01 -1.633088e-16)	(1.962660e+01 5.688454e-01 3.111115e-20)
0.0009       	(1.139016e+02 -1.046680e+02 -1.535054e-16)	(9.441136e+01 -1.052313e+02 -1.535371e-16)	(1.949020e+01 5.632583e-01 3.162964e-20)
0.001        	(8.775482e+01 -5.167201e+02 -1.458902e-16)	(6.839611e+01 -5.172850e+02 -1.459206e-16)	(1.935870e+01 5.649053e-01 3.036794e-20)
0.0011       	(5.959917e+01 -1.088908e+03 -1.398818e-16)	(4.036809e+01 -1.089476e+03 -1.399101e-16)	(1.923108e+01 5.681604e-01 2.831568e-20)
0.0012       	(8.275877e+01 -1.694545e+02 -1.350808e-16)	(6.365124e+01 -1.700193e+02 -1.351087e-16)	(1.910753e+01 5.647749e-01 2.795476e-20)
0.0013       	(8.028049e+01 -4.869145e+01 -1.311261e-16)	(6.129229e+01 -4.925553e+01 -1.311537e-16)	(1.898821e+01 5.640791e-01 2.760158e-20)
0.0014       	(7.526130e+01 -3.918676e+01 -1.277818e-16)	(5.638708e+01 -3.975448e+01 -1.278094e-16)	(1.887422e+01 5.677242e-01 2.751714e-20)
0.0015       	(7.060733e+01 -4.115064e+01 -1.249426e-16)	(5.184609e+01 -4.171993e+01 -1.249696e-16)	(1.876124e+01 5.692960e-01 2.701601e-20)
0.0016       	(6.623031e+01 -5.217180e+01 -1.225432e-16)	(4.757781e+01 -5.273691e+01 -1.225712e-16)	(1.865251e+01 5.651109e-01 2.795764e-20)
0.0017       	(6.020686e+01 -3.934338e+01 -1.185179e-16)	(4.166044e+01 -3.990692e+01 -1.185469e-16)	(1.854642e+01 5.635393e-01 2.900508e-20)
0.0018       	(6.044980e+01 -3.032318e+01 -1.195506e-16)	(4.200642e+01 -3.088650e+01 -1.195802e-16)	(1.844338e+01 5.633197e-01 2.950983e-20)
0.0019       	(5.974922e+01 -2.857066e+01 -1.197040e-16)	(4.140801e+01 -2.913602e+01 -1.197337e-16)	(1.834121e+01 5.653592e-01 2.968470e-20)
0.002        	(5.749616e+01 -3.015956e+01 -1.183399e-16)	(3.925259e+01 -3.072450e+01 -1.183695e-16)	(1.824356e+01 5.649384e-01 2.954017e-20)
0.0021       	(5.261482e+01 -1.170471e+02 -1.171173e-16)	(3.446652e+01 -1.176115e+02 -1.171466e-16)	(1.814831e+01 5.644212e-01 2.933628e-20)
0.0022       	(5.184952e+01 -8.734164e+01 -1.161455e-16)	(3.379413e+01 -8.790532e+01 -1.161747e-16)	(1.805539e+01 5.636725e-01 2.919023e-20)
0.0023       	(5.219758e+01 -2.093726e+01 -1.151850e-16)	(3.423303e+01 -2.150020e+01 -1.152141e-16)	(1.796454e+01 5.629420e-01 2.912247e-20)
0.0024       	(4.588675e+01 4.073068e+01 -1.107293e-16)	(2.801067e+01 4.016904e+01 -1.107583e-16)	(1.787608e+01 5.616436e-01 2.901625e-20)
0.0025       	(2.009115e+01 -5.730737e+02 -1.118624e-16)	(2.302410e+00 -5.736408e+02 -1.118923e-16)	(1.778874e+01 5.670647e-01 2.987256e-20)
0.0026       	(4.754222e+01 -3.960680e+02 -1.229992e-16)	(2.983803e+01 -3.966354e+02 -1.230290e-16)	(1.770419e+01 5.673494e-01 2.974282e-20)
0.0027       	(7.974102e+01 -3.542280e+02 -1.462202e-16)	(6.211847e+01 -3.547939e+02 -1.462497e-16)	(1.762255e+01 5.658557e-01 2.952323e-20)
0.0028       	(4.166551e+01 -5.126856e+02 -1.233324e-16)	(2.412356e+01 -5.132538e+02 -1.233627e-16)	(1.754195e+01 5.682063e-01 3.030813e-20)
0.0029       	(3.813085e+01 -4.491020e+02 -1.193463e-16)	(2.066824e+01 -4.496705e+02 -1.193779e-16)	(1.746261e+01 5.685347e-01 3.159631e-20)
0.003        	(4.828225e+01 -9.103008e+01 -1.168656e-16)	(3.089685e+01 -9.159795e+01 -1.168973e-16)	(1.738540e+01 5.678727e-01 3.167387e-20)
0.0031       	(5.162583e+01 -3.119518e+01 -1.184152e-16)	(3.431596e+01 -3.176252e+01 -1.184467e-16)	(1.730987e+01 5.673395e-01 3.155650e-20)
0.0032       	(1.527494e+02 -4.711639e+01 -2.223584e-16)	(1.355115e+02 -4.768828e+01 -2.223894e-16)	(1.723785e+01 5.718895e-01 3.099661e-20)
0.0033       	(1.342601e+02 -3.645440e+00 -1.991586e-16)	(1.170916e+02 -4.215536e+00 -1.991884e-16)	(1.716849e+01 5.700962e-01 2.977681e-20)
0.0034       	(5.795229e+01 -2.987809e+01 -1.267930e-16)	(4.085396e+01 -3.044275e+01 -1.268232e-16)	(1.709832e+01 5.646625e-01 3.022073e-20)
0.0035       	(5.660303e+01 -2.445159e+01 -1.242350e-16)	(3.957243e+01 -2.501551e+01 -1.242651e-16)	(1.703060e+01 5.639221e-01 3.007362e-20)
0.0036       	(5.570241e+01 -2.456063e+01 -1.231833e-16)	(3.873791e+01 -2.512391e+01 -1.232133e-16)	(1.696450e+01 5.632781e-01 2.993587e-20)
0.0037       	(5.611905e+01 -4.034784e+01 -1.228501e-16)	(3.921899e+01 -4.091049e+01 -1.228798e-16)	(1.690006e+01 5.626559e-01 2.976853e-20)
0.0038       	(6.276425e+01 -4.443606e+02 -1.384712e-16)	(4.592659e+01 -4.449185e+02 -1.385011e-16)	(1.683766e+01 5.578876e-01 2.982788e-20)
0.0039       	(8.916654e+01 -2.371079e+02 -1.498035e-16)	(7.238928e+01 -2.376648e+02 -1.498333e-16)	(1.677726e+01 5.569600e-01 2.978298e-20)
0.004        	(6.789922e+01 -7.104901e+01 -1.240819e-16)	(5.118181e+01 -7.160619e+01 -1.241112e-16)	(1.671741e+01 5.571785e-01 2.929982e-20)
0.0041       	(6.148787e+01 -3.503112e+01 -1.233097e-16)	(4.482857e+01 -3.558744e+01 -1.233387e-16)	(1.665930e+01 5.563186e-01 2.896643e-20)
0.0042       	(5.737522e+01 -1.564558e+01 -1.228317e-16)	(4.077246e+01 -1.620095e+01 -1.228604e-16)	(1.660276e+01 5.553713e-01 2.872368e-20)
0.0043       	(6.372955e+01 -1.096050e+01 -1.307027e-16)	(4.718143e+01 -1.151520e+01 -1.307313e-16)	(1.654812e+01 5.547030e-01 2.862579e-20)
