# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(7.317505e+04 -1.948893e+06 -5.015005e-15)	(7.315527e+04 -1.948887e+06 -5.015241e-15)	(1.978248e+01 -6.016084e+00 2.359287e-19)
0.0002       	(3.604876e+03 -1.474230e+05 -1.902277e-15)	(3.585801e+03 -1.474173e+05 -1.902488e-15)	(1.907572e+01 -5.683681e+00 2.116751e-19)
0.0003       	(-1.333856e+03 7.768334e+03 -5.363907e-16)	(-1.352699e+03 7.773900e+03 -5.365964e-16)	(1.884348e+01 -5.565403e+00 2.056823e-19)
0.0004       	(-1.347047e+02 -1.276065e+03 -1.069142e-16)	(-1.527389e+02 -1.270724e+03 -1.071165e-16)	(1.803421e+01 -5.340695e+00 2.022912e-19)
0.0005       	(8.600795e+01 1.146032e+02 1.124725e-17)	(6.814097e+01 1.198788e+02 1.104657e-17)	(1.786699e+01 -5.275583e+00 2.006855e-19)
0.0006       	(4.192515e+01 -6.209277e+01 -6.403169e-18)	(2.428044e+01 -5.689331e+01 -6.602388e-18)	(1.764471e+01 -5.199458e+00 1.992183e-19)
0.0007       	(3.504023e+01 -4.930871e+01 -6.388408e-18)	(1.755137e+01 -4.416867e+01 -6.585768e-18)	(1.748885e+01 -5.140036e+00 1.973595e-19)
0.0008       	(3.132752e+01 -4.112295e+01 -6.284407e-18)	(1.399010e+01 -3.604123e+01 -6.479804e-18)	(1.733741e+01 -5.081720e+00 1.953972e-19)
0.0009       	(3.432288e+01 7.183396e+00 -2.842512e-18)	(1.713157e+01 1.220914e+01 -3.035458e-18)	(1.719131e+01 -5.025744e+00 1.929459e-19)
0.001        	(1.730381e+02 1.163425e+03 8.723418e-17)	(1.559943e+02 1.168410e+03 8.704239e-17)	(1.704381e+01 -4.984959e+00 1.917889e-19)
0.0011       	(9.317726e+01 5.194143e+02 3.676240e-17)	(7.626797e+01 5.243267e+02 3.657282e-17)	(1.690929e+01 -4.912428e+00 1.895757e-19)
0.0012       	(8.795007e+01 4.858842e+02 3.400839e-17)	(7.116752e+01 4.907234e+02 3.382145e-17)	(1.678255e+01 -4.839197e+00 1.869339e-19)
0.0013       	(4.877475e+01 1.714259e+02 9.338864e-18)	(3.211745e+01 1.762065e+02 9.154714e-18)	(1.665729e+01 -4.780598e+00 1.841498e-19)
0.0014       	(3.326399e+01 5.000891e+01 -2.334356e-19)	(1.673146e+01 5.473744e+01 -4.158983e-19)	(1.653253e+01 -4.728531e+00 1.824627e-19)
0.0015       	(2.971039e+01 2.578956e+01 -2.199869e-18)	(1.329992e+01 3.046824e+01 -2.380700e-18)	(1.641047e+01 -4.678685e+00 1.808316e-19)
0.0016       	(2.769681e+01 1.341420e+01 -3.230112e-18)	(1.140612e+01 1.804473e+01 -3.409441e-18)	(1.629069e+01 -4.630531e+00 1.793285e-19)
0.0017       	(6.898864e+01 3.562759e+02 2.349108e-17)	(5.281714e+01 3.608458e+02 2.331389e-17)	(1.617150e+01 -4.569856e+00 1.771823e-19)
0.0018       	(3.597419e+01 1.014222e+02 3.353995e-18)	(1.991422e+01 1.059427e+02 3.178487e-18)	(1.605997e+01 -4.520524e+00 1.755079e-19)
0.0019       	(3.086729e+01 6.298181e+01 2.942665e-19)	(1.491618e+01 6.745553e+01 1.204955e-19)	(1.595111e+01 -4.473717e+00 1.737710e-19)
0.002        	(2.592995e+01 2.049600e+01 -3.009688e-18)	(1.008436e+01 2.492508e+01 -3.181875e-18)	(1.584559e+01 -4.429082e+00 1.721877e-19)
0.0021       	(2.360236e+01 -2.149941e+00 -4.746927e-18)	(7.861457e+00 2.236598e+00 -4.917623e-18)	(1.574090e+01 -4.386538e+00 1.706952e-19)
0.0022       	(2.752776e+01 2.726251e+01 -2.440212e-18)	(1.189009e+01 3.160643e+01 -2.609264e-18)	(1.563767e+01 -4.343928e+00 1.690521e-19)
0.0023       	(2.661963e+01 1.791773e+01 -3.208064e-18)	(1.108319e+01 2.222012e+01 -3.375531e-18)	(1.553644e+01 -4.302382e+00 1.674671e-19)
0.0024       	(2.818092e+01 2.652897e+01 -2.661037e-18)	(1.274437e+01 3.078996e+01 -2.826864e-18)	(1.543655e+01 -4.260995e+00 1.658270e-19)
0.0025       	(2.641162e+01 -9.754682e+00 -4.264988e-18)	(1.107190e+01 -5.533064e+00 -4.429320e-18)	(1.533972e+01 -4.221618e+00 1.643314e-19)
0.0026       	(4.023571e+01 6.067470e-01 -7.324557e-18)	(2.499119e+01 4.789251e+00 -7.487284e-18)	(1.524452e+01 -4.182504e+00 1.627262e-19)
0.0027       	(7.656941e+01 -1.852465e+01 -1.541056e-17)	(6.141984e+01 -1.438045e+01 -1.557117e-17)	(1.514957e+01 -4.144203e+00 1.606152e-19)
0.0028       	(1.004917e+02 -3.334659e+01 -2.096914e-17)	(8.543730e+01 -2.923985e+01 -2.112693e-17)	(1.505442e+01 -4.106740e+00 1.577939e-19)
0.0029       	(6.946352e+01 -3.140826e+01 -1.560056e-17)	(5.450097e+01 -2.733872e+01 -1.575615e-17)	(1.496255e+01 -4.069538e+00 1.555890e-19)
0.003        	(4.476588e+01 -8.867292e+00 -9.361058e-18)	(2.989368e+01 -4.836272e+00 -9.514835e-18)	(1.487220e+01 -4.031020e+00 1.537761e-19)
0.0031       	(3.755765e+01 2.303501e+01 -5.508492e-18)	(2.277403e+01 2.702538e+01 -5.660875e-18)	(1.478362e+01 -3.990373e+00 1.523836e-19)
0.0032       	(2.747752e+01 -2.041920e+01 -8.724237e-18)	(1.278455e+01 -1.646811e+01 -8.875154e-18)	(1.469297e+01 -3.951094e+00 1.509171e-19)
0.0033       	(4.679150e+00 -1.612804e+02 -1.855159e-17)	(-9.910530e+00 -1.573639e+02 -1.869991e-17)	(1.458968e+01 -3.916409e+00 1.483204e-19)
0.0034       	(1.089689e+01 -1.457570e+02 -2.192621e-17)	(-3.611562e+00 -1.419013e+02 -2.207106e-17)	(1.450845e+01 -3.855782e+00 1.448560e-19)
0.0035       	(2.501917e+01 -7.963361e+01 -1.229710e-17)	(1.058798e+01 -7.581377e+01 -1.244065e-17)	(1.443119e+01 -3.819847e+00 1.435423e-19)
