# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.022050e+05 1.112927e+06 -2.206205e-14)	(2.021835e+05 1.112924e+06 -2.206219e-14)	(2.152213e+01 2.837159e+00 1.410250e-19)
0.0002       	(1.446559e+04 1.039938e+05 -1.051788e-15)	(1.444461e+04 1.039910e+05 -1.051923e-15)	(2.098464e+01 2.725668e+00 1.347794e-19)
0.0003       	(1.803152e+02 -2.158146e+03 -9.377768e-17)	(1.595482e+02 -2.160841e+03 -9.390692e-17)	(2.076709e+01 2.694406e+00 1.292348e-19)
0.0004       	(2.378022e+02 2.064353e+01 -8.506317e-17)	(2.175383e+02 1.801097e+01 -8.518891e-17)	(2.026390e+01 2.632554e+00 1.257391e-19)
0.0005       	(2.747879e+02 -1.910991e+01 -1.069605e-16)	(2.547064e+02 -2.171234e+01 -1.070826e-16)	(2.008147e+01 2.602424e+00 1.220623e-19)
0.0006       	(2.830770e+02 -7.209309e+02 -1.345255e-16)	(2.631721e+02 -7.234918e+02 -1.346444e-16)	(1.990494e+01 2.560941e+00 1.189718e-19)
0.0007       	(1.972241e+02 -2.648776e+01 -1.179805e-16)	(1.774877e+02 -2.901991e+01 -1.180967e-16)	(1.973641e+01 2.532149e+00 1.162248e-19)
0.0008       	(1.748757e+02 -1.926392e+01 -1.106454e-16)	(1.553014e+02 -2.176783e+01 -1.107598e-16)	(1.957434e+01 2.503914e+00 1.144029e-19)
0.0009       	(1.832078e+02 -3.248124e+02 -1.076498e-16)	(1.637882e+02 -3.272881e+02 -1.077634e-16)	(1.941957e+01 2.475703e+00 1.136151e-19)
0.001        	(2.081302e+02 -1.075122e+03 -9.143088e-17)	(1.888627e+02 -1.077587e+03 -9.154073e-17)	(1.926755e+01 2.465684e+00 1.098485e-19)
0.0011       	(2.587821e+02 -2.026202e+03 -7.968898e-17)	(2.396625e+02 -2.028637e+03 -7.979892e-17)	(1.911964e+01 2.434364e+00 1.099397e-19)
0.0012       	(1.198738e+02 3.193920e+01 -1.056939e-16)	(1.008984e+02 2.952929e+01 -1.058021e-16)	(1.897542e+01 2.409915e+00 1.081735e-19)
0.0013       	(1.002995e+02 1.249204e+02 -1.060331e-16)	(8.146386e+01 1.225344e+02 -1.061395e-16)	(1.883566e+01 2.385966e+00 1.064121e-19)
