# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.200323e+05 -1.781246e+05 1.279768e-14)	(2.200109e+05 -1.781251e+05 1.279782e-14)	(2.140849e+01 5.302288e-01 -1.470250e-19)
0.0002       	(8.280660e+03 8.600496e+03 5.288944e-16)	(8.259675e+03 8.599953e+03 5.290318e-16)	(2.098567e+01 5.429699e-01 -1.373243e-19)
0.0003       	(7.276304e+02 3.999497e+01 -3.705468e-19)	(7.068449e+02 3.943650e+01 -2.342101e-19)	(2.078547e+01 5.584762e-01 -1.363367e-19)
0.0004       	(5.471547e+02 7.319758e+02 1.028279e-18)	(5.266099e+02 7.314073e+02 1.163965e-18)	(2.054471e+01 5.685416e-01 -1.356864e-19)
0.0005       	(4.572630e+02 -1.873436e+03 6.861071e-18)	(4.368860e+02 -1.873997e+03 6.995691e-18)	(2.037697e+01 5.607530e-01 -1.346196e-19)
0.0006       	(4.025872e+02 3.108049e+03 -4.034877e-18)	(3.823691e+02 3.107477e+03 -3.901019e-18)	(2.021808e+01 5.711363e-01 -1.338584e-19)
0.0007       	(3.160660e+02 1.418903e+03 -2.597693e-18)	(2.960055e+02 1.418322e+03 -2.463760e-18)	(2.006050e+01 5.811688e-01 -1.339327e-19)
0.0008       	(3.574964e+02 3.963924e+03 -5.371042e-18)	(3.375838e+02 3.963333e+03 -5.236196e-18)	(1.991261e+01 5.911058e-01 -1.348455e-19)
0.0009       	(2.602934e+02 1.959362e+03 -3.986477e-18)	(2.405261e+02 1.958763e+03 -3.850615e-18)	(1.976725e+01 5.999220e-01 -1.358626e-19)
0.001        	(3.864480e+02 9.021903e+03 -7.953016e-18)	(3.668351e+02 9.021296e+03 -7.816579e-18)	(1.961293e+01 6.076467e-01 -1.364367e-19)
0.0011       	(2.421707e+02 7.057675e+03 -8.510818e-18)	(2.226965e+02 7.057063e+03 -8.373638e-18)	(1.947420e+01 6.120458e-01 -1.371804e-19)
0.0012       	(8.138433e+01 -6.630003e+02 -5.465941e-18)	(6.204329e+01 -6.636265e+02 -5.328162e-18)	(1.934104e+01 6.261583e-01 -1.377792e-19)
0.0013       	(1.410639e+02 4.198799e+01 -4.403027e-18)	(1.218494e+02 4.136166e+01 -4.264765e-18)	(1.921440e+01 6.263329e-01 -1.382627e-19)
0.0014       	(1.635695e+02 1.350895e+02 -4.560832e-18)	(1.444767e+02 1.344639e+02 -4.422073e-18)	(1.909278e+01 6.255877e-01 -1.387589e-19)
0.0015       	(1.559243e+02 2.736309e+02 -4.788158e-18)	(1.369491e+02 2.730058e+02 -4.648525e-18)	(1.897517e+01 6.251137e-01 -1.396329e-19)
0.0016       	(1.423568e+02 8.591800e+02 -5.012608e-18)	(1.234959e+02 8.585507e+02 -4.873109e-18)	(1.886097e+01 6.292508e-01 -1.394981e-19)
0.0017       	(1.402117e+02 3.167145e+03 -5.550827e-18)	(1.214625e+02 3.166512e+03 -5.411458e-18)	(1.874927e+01 6.327636e-01 -1.393691e-19)
0.0018       	(1.515940e+02 2.021653e+03 -6.028226e-18)	(1.329539e+02 2.021021e+03 -5.888480e-18)	(1.864014e+01 6.326835e-01 -1.397461e-19)
0.0019       	(1.603032e+02 4.003741e+03 -7.177742e-18)	(1.417702e+02 4.003116e+03 -7.037301e-18)	(1.853299e+01 6.245451e-01 -1.404408e-19)
0.002        	(1.480158e+02 3.102416e+02 -6.107910e-18)	(1.295866e+02 3.096153e+02 -5.967256e-18)	(1.842920e+01 6.263066e-01 -1.406537e-19)
0.0021       	(1.190383e+02 8.764493e+02 -6.110965e-18)	(1.007094e+02 8.758205e+02 -5.970606e-18)	(1.832893e+01 6.288515e-01 -1.403592e-19)
0.0022       	(1.252035e+02 1.238036e+03 -5.675337e-18)	(1.069732e+02 1.237404e+03 -5.535275e-18)	(1.823029e+01 6.312724e-01 -1.400619e-19)
0.0023       	(4.382375e+02 1.853416e+03 3.072382e-17)	(4.201078e+02 1.852777e+03 3.086317e-17)	(1.812970e+01 6.390300e-01 -1.393516e-19)
0.0024       	(2.425211e+02 -2.127917e+03 2.190858e-17)	(2.244847e+02 -2.128561e+03 2.204683e-17)	(1.803640e+01 6.437218e-01 -1.382501e-19)
0.0025       	(6.317179e+01 -3.946640e+03 1.292210e-16)	(4.522830e+01 -3.947299e+03 1.293538e-16)	(1.794350e+01 6.597129e-01 -1.327880e-19)
0.0026       	(4.205604e+02 3.543111e+03 1.733137e-18)	(4.027148e+02 3.542448e+03 1.864668e-18)	(1.784567e+01 6.627073e-01 -1.315308e-19)
0.0027       	(5.762483e+02 1.018490e+03 -9.792967e-19)	(5.584895e+02 1.017827e+03 -8.482385e-19)	(1.775882e+01 6.633910e-01 -1.310581e-19)
0.0028       	(1.943795e+02 1.009748e+03 -6.554531e-18)	(1.767057e+02 1.009083e+03 -6.423885e-18)	(1.767380e+01 6.655253e-01 -1.306460e-19)
0.0029       	(2.394347e+02 6.167653e+03 -6.075546e-18)	(2.218478e+02 6.166986e+03 -5.945302e-18)	(1.758692e+01 6.672267e-01 -1.302435e-19)
0.003        	(2.336415e+02 1.606287e+03 3.048317e-18)	(2.161355e+02 1.605620e+03 3.178251e-18)	(1.750605e+01 6.669569e-01 -1.299339e-19)
0.0031       	(3.344124e+02 8.828242e+03 1.550217e-18)	(3.169917e+02 8.827574e+03 1.679935e-18)	(1.742071e+01 6.673338e-01 -1.297182e-19)
0.0032       	(2.699451e+02 2.140916e+03 -7.935698e-19)	(2.525985e+02 2.140249e+03 -6.639144e-19)	(1.734659e+01 6.674003e-01 -1.296554e-19)
0.0033       	(1.131664e+03 4.635799e+02 -1.447744e-18)	(1.114376e+03 4.629046e+02 -1.318695e-18)	(1.728853e+01 6.753665e-01 -1.290494e-19)
0.0034       	(2.299741e+02 1.775034e+03 -6.469585e-18)	(2.127558e+02 1.774358e+03 -6.341048e-18)	(1.721829e+01 6.765749e-01 -1.285368e-19)
0.0035       	(2.062434e+02 2.793282e+03 -7.031408e-18)	(1.890969e+02 2.792604e+03 -6.903535e-18)	(1.714652e+01 6.776750e-01 -1.278736e-19)
0.0036       	(2.075115e+02 1.421033e+03 6.624533e-19)	(1.904341e+02 1.420356e+03 7.896299e-19)	(1.707743e+01 6.772511e-01 -1.271766e-19)
0.0037       	(4.423300e+02 -3.270801e+02 9.838052e-18)	(4.253193e+02 -3.277551e+02 9.964408e-18)	(1.701065e+01 6.749317e-01 -1.263562e-19)
0.0038       	(6.372202e+02 4.975244e+02 6.746595e-18)	(6.202753e+02 4.968559e+02 6.872065e-18)	(1.694484e+01 6.684455e-01 -1.254705e-19)
0.0039       	(3.371408e+02 5.854749e+03 -8.951447e-18)	(3.202646e+02 5.854081e+03 -8.826671e-18)	(1.687622e+01 6.676494e-01 -1.247760e-19)
0.004        	(2.048426e+02 2.834433e+03 -6.763856e-18)	(1.880330e+02 2.833775e+03 -6.640357e-18)	(1.680962e+01 6.570794e-01 -1.234996e-19)
0.0041       	(1.963758e+02 2.580040e+03 -8.635268e-18)	(1.796276e+02 2.579383e+03 -8.512316e-18)	(1.674816e+01 6.570025e-01 -1.229523e-19)
0.0042       	(3.667983e+02 1.062695e+04 -9.720323e-18)	(3.501161e+02 1.062629e+04 -9.597706e-18)	(1.668218e+01 6.570266e-01 -1.226172e-19)
0.0043       	(5.614268e+02 2.503668e+03 5.690545e-18)	(5.448053e+02 2.503012e+03 5.813016e-18)	(1.662150e+01 6.560317e-01 -1.224711e-19)
0.0044       	(2.801374e+02 2.792677e+02 -2.494099e-17)	(2.635751e+02 2.786112e+02 -2.481891e-17)	(1.656231e+01 6.564372e-01 -1.220729e-19)
0.0045       	(2.765025e+02 1.045192e+03 1.711257e-18)	(2.599972e+02 1.044536e+03 1.832975e-18)	(1.650533e+01 6.556697e-01 -1.217182e-19)
0.0046       	(2.380646e+02 1.037367e+03 -2.767159e-18)	(2.216145e+02 1.036712e+03 -2.645978e-18)	(1.645011e+01 6.549492e-01 -1.211801e-19)
0.0047       	(3.029085e+02 6.169814e+02 1.895715e-18)	(2.865123e+02 6.163299e+02 2.015611e-18)	(1.639620e+01 6.515239e-01 -1.198961e-19)
0.0048       	(2.457038e+02 3.262797e+02 5.876628e-19)	(2.293593e+02 3.256278e+02 7.064797e-19)	(1.634455e+01 6.518948e-01 -1.188169e-19)
0.0049       	(4.347774e+02 -4.732307e+03 3.139966e-17)	(4.184813e+02 -4.732963e+03 3.151583e-17)	(1.629604e+01 6.555626e-01 -1.161700e-19)
0.005        	(4.326740e+02 6.230364e+02 2.309244e-18)	(4.164269e+02 6.223811e+02 2.424481e-18)	(1.624709e+01 6.552681e-01 -1.152366e-19)
0.0051       	(1.368496e+03 -2.103503e+03 8.359819e-17)	(1.352294e+03 -2.104155e+03 8.371186e-17)	(1.620219e+01 6.519305e-01 -1.136712e-19)
0.0052       	(1.494190e+03 -7.180153e+02 1.121744e-16)	(1.478029e+03 -7.186656e+02 1.122862e-16)	(1.616120e+01 6.503335e-01 -1.118206e-19)
0.0053       	(4.796468e+02 4.459395e+01 1.983863e-17)	(4.635322e+02 4.394440e+01 1.994968e-17)	(1.611459e+01 6.495467e-01 -1.110504e-19)
0.0054       	(4.941194e+02 1.255511e+03 1.763281e-17)	(4.780508e+02 1.254865e+03 1.774316e-17)	(1.606864e+01 6.466473e-01 -1.103454e-19)
0.0055       	(1.139680e+03 3.614881e+03 3.108733e-17)	(1.123653e+03 3.614244e+03 3.119634e-17)	(1.602731e+01 6.370977e-01 -1.090049e-19)
