# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(4.444204e+04 -1.360102e+06 1.143532e-14)	(4.442194e+04 -1.360097e+06 1.143543e-14)	(2.009889e+01 -4.915666e+00 -1.130495e-19)
0.0002       	(1.281319e+03 -9.082620e+04 1.291616e-15)	(1.261720e+03 -9.082156e+04 1.291737e-15)	(1.959887e+01 -4.637709e+00 -1.202902e-19)
0.0003       	(1.565244e+02 1.087761e+04 7.850608e-17)	(1.371260e+02 1.088216e+04 7.862520e-17)	(1.939838e+01 -4.552035e+00 -1.191267e-19)
0.0004       	(4.981575e+01 -2.615161e+02 3.909244e-17)	(3.132002e+01 -2.571605e+02 3.921001e-17)	(1.849573e+01 -4.355602e+00 -1.175653e-19)
0.0005       	(1.301384e+01 -1.692324e+02 3.759139e-17)	(-5.326126e+00 -1.649244e+02 3.770956e-17)	(1.833997e+01 -4.308024e+00 -1.181687e-19)
0.0006       	(-4.708383e+02 -2.356090e+03 2.171048e-16)	(-4.889959e+02 -2.351831e+03 2.172229e-16)	(1.815759e+01 -4.258651e+00 -1.181462e-19)
0.0007       	(-4.034683e+02 -2.035858e+03 1.841439e-16)	(-4.214532e+02 -2.031646e+03 1.842620e-16)	(1.798493e+01 -4.211361e+00 -1.180873e-19)
0.0008       	(1.472516e+02 9.520001e+02 3.811592e-17)	(1.294166e+02 9.561901e+02 3.823006e-17)	(1.783493e+01 -4.189992e+00 -1.141385e-19)
0.0009       	(1.209713e+02 6.888264e+02 2.992581e-17)	(1.032761e+02 6.929652e+02 3.003672e-17)	(1.769516e+01 -4.138762e+00 -1.109027e-19)
0.001        	(7.627626e+01 3.093011e+02 3.223954e-17)	(5.871771e+01 3.134017e+02 3.235055e-17)	(1.755854e+01 -4.100625e+00 -1.110138e-19)
0.0011       	(1.331550e+02 6.621426e+02 3.177611e-17)	(1.157297e+02 6.662062e+02 3.188706e-17)	(1.742532e+01 -4.063641e+00 -1.109517e-19)
0.0012       	(3.064411e+01 3.672095e+01 3.108594e-17)	(1.334864e+01 4.074741e+01 3.119751e-17)	(1.729547e+01 -4.026456e+00 -1.115632e-19)
0.0013       	(2.025418e+01 -2.331960e+01 3.089135e-17)	(3.085512e+00 -1.932895e+01 3.100330e-17)	(1.716867e+01 -3.990642e+00 -1.119522e-19)
0.0014       	(2.087752e+01 -1.992500e+01 3.080200e-17)	(3.832745e+00 -1.596945e+01 3.091430e-17)	(1.704477e+01 -3.955544e+00 -1.123007e-19)
0.0015       	(2.195529e+01 -1.446027e+01 3.074665e-17)	(5.031417e+00 -1.053896e+01 3.085925e-17)	(1.692388e+01 -3.921311e+00 -1.125964e-19)
0.0016       	(2.144737e+01 -1.849620e+01 3.054657e-17)	(4.641567e+00 -1.460825e+01 3.065939e-17)	(1.680580e+01 -3.887950e+00 -1.128222e-19)
0.0017       	(1.632612e+01 -4.241832e+01 3.257559e-17)	(-3.642058e-01 -3.856293e+01 3.268858e-17)	(1.669033e+01 -3.855397e+00 -1.129897e-19)
0.0018       	(-9.799631e+01 -5.578540e+02 8.554031e-17)	(-1.145658e+02 -5.540310e+02 8.565346e-17)	(1.656950e+01 -3.823031e+00 -1.131489e-19)
0.0019       	(-5.361032e+01 -3.794607e+02 4.664144e-17)	(-7.006823e+01 -3.756721e+02 4.675381e-17)	(1.645790e+01 -3.788674e+00 -1.123706e-19)
0.002        	(8.408102e+01 4.665265e+02 8.380123e-17)	(6.773223e+01 4.702791e+02 8.391103e-17)	(1.634879e+01 -3.752594e+00 -1.097941e-19)
0.0021       	(2.481720e+02 1.665846e+03 2.063881e-16)	(2.319317e+02 1.669574e+03 2.064996e-16)	(1.624031e+01 -3.728004e+00 -1.115574e-19)
0.0022       	(-1.167258e+01 -1.521023e+02 4.844960e-17)	(-2.780809e+01 -1.484044e+02 4.856104e-17)	(1.613551e+01 -3.697815e+00 -1.114360e-19)
0.0023       	(1.066573e+01 1.739713e+01 6.167442e-17)	(-5.366889e+00 2.106306e+01 6.178477e-17)	(1.603262e+01 -3.665938e+00 -1.103498e-19)
0.0024       	(-1.146758e+01 -1.457145e+02 4.525814e-17)	(-2.740103e+01 -1.420786e+02 4.536878e-17)	(1.593345e+01 -3.635925e+00 -1.106315e-19)
0.0025       	(2.708232e+01 3.985473e+01 3.775148e-17)	(1.124579e+01 4.346063e+01 3.786152e-17)	(1.583652e+01 -3.605898e+00 -1.100409e-19)
0.0026       	(2.029424e+01 -3.299271e+00 3.609918e-17)	(4.552674e+00 2.772882e-01 3.620869e-17)	(1.574157e+01 -3.576559e+00 -1.095080e-19)
0.0027       	(4.943525e+00 -8.761702e+01 3.708319e-17)	(-1.070376e+01 -8.406949e+01 3.719223e-17)	(1.564728e+01 -3.547538e+00 -1.090384e-19)
0.0028       	(-5.574822e+00 -1.408914e+02 3.889178e-17)	(-2.112950e+01 -1.373722e+02 3.900036e-17)	(1.555468e+01 -3.519207e+00 -1.085803e-19)
