# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.801798e+05 -1.015410e+06 3.610734e-14)	(1.801588e+05 -1.015407e+06 3.610722e-14)	(2.091611e+01 -3.338601e+00 1.169637e-19)
0.0002       	(6.229057e+03 -4.078447e+04 2.057415e-15)	(6.208623e+03 -4.078123e+04 2.057291e-15)	(2.043380e+01 -3.238832e+00 1.247319e-19)
0.0003       	(-3.013498e+02 -1.746454e+03 3.217073e-16)	(-3.215759e+02 -1.743262e+03 3.215824e-16)	(2.022613e+01 -3.191781e+00 1.248636e-19)
0.0004       	(1.828457e+02 -1.118321e+03 2.394412e-16)	(1.630937e+02 -1.115205e+03 2.393185e-16)	(1.975200e+01 -3.116292e+00 1.227304e-19)
0.0005       	(2.724920e+02 -2.436363e+02 1.529025e-16)	(2.529063e+02 -2.405592e+02 1.527801e-16)	(1.958573e+01 -3.077108e+00 1.224751e-19)
0.0006       	(2.547606e+02 -2.012892e+02 8.493448e-17)	(2.353364e+02 -1.982494e+02 8.481325e-17)	(1.942424e+01 -3.039830e+00 1.212306e-19)
0.0007       	(2.363366e+02 -1.065058e+01 8.359677e-17)	(2.170684e+02 -7.652774e+00 8.347645e-17)	(1.926822e+01 -2.997810e+00 1.203145e-19)
0.0008       	(1.883572e+02 -9.309089e+01 8.009450e-17)	(1.692398e+02 -9.012646e+01 7.997586e-17)	(1.911732e+01 -2.964429e+00 1.186381e-19)
0.0009       	(1.545454e+02 -1.328965e+02 7.886706e-17)	(1.355745e+02 -1.299639e+02 7.874981e-17)	(1.897086e+01 -2.932612e+00 1.172470e-19)
0.001        	(1.356363e+02 -1.277840e+02 7.920487e-17)	(1.168080e+02 -1.248819e+02 7.908843e-17)	(1.882833e+01 -2.902021e+00 1.164441e-19)
0.0011       	(1.225798e+02 -1.276569e+02 8.012770e-17)	(1.038896e+02 -1.247842e+02 8.001186e-17)	(1.869020e+01 -2.872723e+00 1.158350e-19)
0.0012       	(1.404794e+02 -9.712558e+01 8.323155e-17)	(1.219237e+02 -9.428112e+01 8.311343e-17)	(1.855566e+01 -2.844467e+00 1.181204e-19)
0.0013       	(1.379452e+02 -1.116140e+02 7.995604e-17)	(1.195225e+02 -1.087899e+02 7.983807e-17)	(1.842271e+01 -2.824171e+00 1.179710e-19)
0.0014       	(1.081171e+02 -7.344874e+01 7.991155e-17)	(8.982050e+01 -7.066483e+01 7.979097e-17)	(1.829660e+01 -2.783909e+00 1.205847e-19)
0.0015       	(9.870376e+01 -9.436323e+01 7.911268e-17)	(8.052932e+01 -9.160523e+01 7.899232e-17)	(1.817443e+01 -2.758004e+00 1.203556e-19)
0.0016       	(9.397827e+01 -7.865159e+01 8.004139e-17)	(7.592278e+01 -7.591955e+01 7.992122e-17)	(1.805549e+01 -2.732043e+00 1.201645e-19)
0.0017       	(8.797229e+01 -7.121382e+01 8.126060e-17)	(7.003313e+01 -6.850637e+01 8.114095e-17)	(1.793916e+01 -2.707454e+00 1.196505e-19)
0.0018       	(8.951115e+01 8.243647e+02 1.081889e-16)	(7.168671e+01 8.270579e+02 1.080693e-16)	(1.782444e+01 -2.693228e+00 1.195388e-19)
