# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(9.059611e+04 9.198949e+05 -1.989016e-14)	(9.057528e+04 9.198923e+05 -1.989010e-14)	(2.082909e+01 2.597337e+00 -5.317350e-20)
0.0002       	(3.665174e+03 4.993335e+04 -1.097386e-15)	(3.644785e+03 4.993086e+04 -1.097347e-15)	(2.038950e+01 2.491243e+00 -3.967876e-20)
0.0003       	(1.124695e+02 -3.617298e+03 -7.134435e-18)	(9.226515e+01 -3.619758e+03 -7.096943e-18)	(2.020434e+01 2.459818e+00 -3.749161e-20)
0.0004       	(1.440877e+02 2.717431e+01 -7.384565e-17)	(1.246028e+02 2.480070e+01 -7.380682e-17)	(1.948497e+01 2.373611e+00 -3.882752e-20)
0.0005       	(1.358776e+02 2.881638e+01 -7.307623e-17)	(1.165496e+02 2.647038e+01 -7.303854e-17)	(1.932808e+01 2.345997e+00 -3.768979e-20)
0.0006       	(1.095933e+02 3.188092e+01 -7.067771e-17)	(9.041679e+01 2.956057e+01 -7.064087e-17)	(1.917649e+01 2.320350e+00 -3.683475e-20)
0.0007       	(9.319217e+01 3.095091e+01 -6.920924e-17)	(7.416292e+01 2.865533e+01 -6.917314e-17)	(1.902925e+01 2.295581e+00 -3.609905e-20)
0.0008       	(8.278313e+01 3.025873e+01 -6.827201e-17)	(6.389780e+01 2.798709e+01 -6.823627e-17)	(1.888533e+01 2.271641e+00 -3.573831e-20)
0.0009       	(7.547505e+01 2.590562e+01 -6.758370e-17)	(5.673743e+01 2.364504e+01 -6.754616e-17)	(1.873762e+01 2.260582e+00 -3.753908e-20)
0.001        	(7.484229e+01 -9.857369e+01 -6.705041e-17)	(5.624164e+01 -1.008156e+02 -6.701233e-17)	(1.860065e+01 2.241956e+00 -3.808293e-20)
0.0011       	(8.540499e+01 -4.624886e+02 -6.668525e-17)	(6.693797e+01 -4.647151e+02 -6.664522e-17)	(1.846702e+01 2.226533e+00 -4.002661e-20)
0.0012       	(6.626502e+01 -5.632206e+01 -6.676140e-17)	(4.792601e+01 -5.852772e+01 -6.672127e-17)	(1.833901e+01 2.205666e+00 -4.012555e-20)
0.0013       	(5.897892e+01 2.576674e+01 -6.615687e-17)	(4.076324e+01 2.358155e+01 -6.611709e-17)	(1.821568e+01 2.185189e+00 -3.978028e-20)
0.0014       	(5.627261e+01 2.316800e+01 -6.580340e-17)	(3.817831e+01 2.100221e+01 -6.576379e-17)	(1.809430e+01 2.165790e+00 -3.961586e-20)
0.0015       	(5.422210e+01 2.283374e+01 -6.560366e-17)	(3.624673e+01 2.068619e+01 -6.556404e-17)	(1.797536e+01 2.147550e+00 -3.962531e-20)
0.0016       	(5.252915e+01 2.171962e+01 -6.543040e-17)	(3.466914e+01 1.959042e+01 -6.539092e-17)	(1.786001e+01 2.129209e+00 -3.947887e-20)
0.0017       	(5.226588e+01 -7.378294e+00 -6.528236e-17)	(3.451770e+01 -9.488350e+00 -6.524307e-17)	(1.774818e+01 2.110056e+00 -3.928784e-20)
0.0018       	(5.877924e+01 -1.942623e+02 -6.516699e-17)	(4.113893e+01 -1.963470e+02 -6.512773e-17)	(1.764032e+01 2.084673e+00 -3.925935e-20)
