# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(6.982642e+04 -1.800395e+06 -3.997508e-15)	(6.980598e+04 -1.800389e+06 -3.997366e-15)	(2.044339e+01 -5.521719e+00 -1.420854e-19)
0.0002       	(4.481861e+03 -1.013438e+05 5.560041e-16)	(4.462112e+03 -1.013386e+05 5.561327e-16)	(1.974870e+01 -5.260796e+00 -1.285400e-19)
0.0003       	(5.693134e+02 2.006941e+04 -6.108893e-18)	(5.497886e+02 2.007456e+04 -5.980903e-18)	(1.952481e+01 -5.152953e+00 -1.279906e-19)
0.0004       	(1.892331e+02 -1.959325e+02 7.113998e-17)	(1.708953e+02 -1.910530e+02 7.126598e-17)	(1.833783e+01 -4.879429e+00 -1.260001e-19)
0.0005       	(2.025934e+02 -1.246011e+02 3.947604e-17)	(1.844268e+02 -1.197842e+02 3.960058e-17)	(1.816658e+01 -4.816857e+00 -1.245373e-19)
0.0006       	(1.593242e+02 -5.809953e+01 2.099976e-17)	(1.413218e+02 -5.334267e+01 2.112300e-17)	(1.800239e+01 -4.756859e+00 -1.232339e-19)
0.0007       	(1.413415e+02 -6.812568e+01 1.705248e-17)	(1.234971e+02 -6.342631e+01 1.717415e-17)	(1.784440e+01 -4.699367e+00 -1.216731e-19)
0.0008       	(7.207810e+01 -8.527605e+02 1.568254e-17)	(5.439793e+01 -8.481189e+02 1.580282e-17)	(1.768017e+01 -4.641536e+00 -1.202772e-19)
0.0009       	(8.129824e+01 -2.916436e+02 1.513676e-17)	(6.376505e+01 -2.870675e+02 1.525644e-17)	(1.753319e+01 -4.576076e+00 -1.196890e-19)
0.001        	(5.969976e+01 -6.080961e+02 1.488502e-17)	(4.231916e+01 -6.035802e+02 1.500282e-17)	(1.738060e+01 -4.515913e+00 -1.178004e-19)
0.0011       	(7.361322e+01 -1.460071e+02 1.482625e-17)	(5.637280e+01 -1.415441e+02 1.494250e-17)	(1.724042e+01 -4.463041e+00 -1.162480e-19)
