# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(4.035936e+05 -7.988157e+05 -2.229065e-14)	(4.035714e+05 -7.988130e+05 -2.229085e-14)	(2.215924e+01 -2.741652e+00 2.027838e-19)
0.0002       	(1.079792e+04 -1.904415e+04 -9.402053e-16)	(1.077633e+04 -1.904155e+04 -9.403962e-16)	(2.159054e+01 -2.601306e+00 1.909055e-19)
0.0003       	(-1.930456e+02 3.553001e+03 -2.827410e-16)	(-2.143903e+02 3.555537e+03 -2.829267e-16)	(2.134463e+01 -2.536132e+00 1.857040e-19)
0.0004       	(3.910591e+02 -2.191970e+02 -1.790468e-16)	(3.706321e+02 -2.167678e+02 -1.792244e-16)	(2.042705e+01 -2.429151e+00 1.776861e-19)
0.0005       	(2.275419e+02 -1.359954e+02 -8.653864e-17)	(2.072970e+02 -1.335987e+02 -8.671497e-17)	(2.024490e+01 -2.396686e+00 1.763294e-19)
0.0006       	(1.669359e+02 -9.732205e+01 -7.920312e-17)	(1.468651e+02 -9.495516e+01 -7.937811e-17)	(2.007085e+01 -2.366891e+00 1.749835e-19)
0.0007       	(1.251696e+02 -6.845965e+01 -7.789630e-17)	(1.052664e+02 -6.612039e+01 -7.807062e-17)	(1.990315e+01 -2.339258e+00 1.743156e-19)
0.0008       	(1.032525e+02 -5.300460e+01 -7.580532e-17)	(8.351155e+01 -5.069870e+01 -7.597821e-17)	(1.974100e+01 -2.305899e+00 1.728815e-19)
0.0009       	(8.947667e+01 -3.209503e+01 -7.446500e-17)	(6.989259e+01 -2.981597e+01 -7.463635e-17)	(1.958408e+01 -2.279064e+00 1.713555e-19)
0.001        	(9.384553e+01 4.410472e+02 -7.380390e-17)	(7.441447e+01 4.433091e+02 -7.397372e-17)	(1.943106e+01 -2.261952e+00 1.698158e-19)
0.0011       	(8.148411e+01 3.076315e+02 -7.353695e-17)	(6.220191e+01 3.098751e+02 -7.370517e-17)	(1.928220e+01 -2.243640e+00 1.682218e-19)
0.0012       	(6.513295e+01 -5.458673e+00 -7.345437e-17)	(4.599548e+01 -3.232796e+00 -7.362050e-17)	(1.913747e+01 -2.225877e+00 1.661391e-19)
0.0013       	(6.011385e+01 1.097216e+00 -7.344722e-17)	(4.111587e+01 3.302127e+00 -7.361133e-17)	(1.899798e+01 -2.204912e+00 1.641048e-19)
0.0014       	(5.629135e+01 1.445344e+01 -7.346667e-17)	(3.742886e+01 1.663288e+01 -7.362828e-17)	(1.886249e+01 -2.179444e+00 1.616088e-19)
0.0015       	(5.266272e+01 9.400812e+00 -7.349433e-17)	(3.393161e+01 1.155572e+01 -7.365400e-17)	(1.873111e+01 -2.154909e+00 1.596650e-19)
0.0016       	(4.933256e+01 -5.973469e+00 -7.352769e-17)	(3.072892e+01 -3.838387e+00 -7.368566e-17)	(1.860364e+01 -2.135082e+00 1.579754e-19)
0.0017       	(4.701366e+01 -6.112962e+00 -7.357099e-17)	(2.853428e+01 -3.997308e+00 -7.372722e-17)	(1.847938e+01 -2.115654e+00 1.562360e-19)
0.0018       	(4.527673e+01 -4.801917e+00 -7.363745e-17)	(2.691901e+01 -2.704969e+00 -7.379201e-17)	(1.835772e+01 -2.096948e+00 1.545669e-19)
0.0019       	(4.436411e+01 -4.079867e+00 -7.377452e-17)	(2.612590e+01 -2.000734e+00 -7.392753e-17)	(1.823822e+01 -2.079133e+00 1.530069e-19)
0.002        	(4.594513e+01 -4.808688e+00 -7.417172e-17)	(2.782362e+01 -2.747582e+00 -7.432291e-17)	(1.812151e+01 -2.061105e+00 1.511943e-19)
0.0021       	(5.687453e+01 -1.701890e+01 -7.438018e-17)	(3.886724e+01 -1.497622e+01 -7.452936e-17)	(1.800729e+01 -2.042678e+00 1.491790e-19)
0.0022       	(7.511349e+01 -2.492795e+02 -5.190530e-17)	(5.721771e+01 -2.472595e+02 -5.205188e-17)	(1.789577e+01 -2.019998e+00 1.465747e-19)
0.0023       	(2.357443e+02 -1.979575e+02 -9.614247e-17)	(2.179629e+02 -1.959594e+02 -9.628562e-17)	(1.778144e+01 -1.998104e+00 1.431540e-19)
0.0024       	(2.806016e+02 -1.293136e+02 -1.202808e-16)	(2.629333e+02 -1.273360e+02 -1.204203e-16)	(1.766823e+01 -1.977692e+00 1.395373e-19)
0.0025       	(1.814283e+02 -7.625840e+01 -1.055721e-16)	(1.638685e+02 -7.429927e+01 -1.057087e-16)	(1.755985e+01 -1.959125e+00 1.366739e-19)
0.0026       	(1.142478e+02 -3.560309e+01 -9.367606e-17)	(9.679230e+01 -3.366145e+01 -9.381032e-17)	(1.745550e+01 -1.941641e+00 1.342600e-19)
