# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.907341e+04 -1.357677e+06 -1.986954e-14)	(2.905335e+04 -1.357673e+06 -1.986958e-14)	(2.005405e+01 -4.236743e+00 4.325002e-20)
0.0002       	(3.298002e+03 -8.030064e+04 -1.193795e-15)	(3.278482e+03 -8.029663e+04 -1.193832e-15)	(1.951943e+01 -4.008156e+00 3.721616e-20)
0.0003       	(3.298300e+02 6.142979e+03 3.994774e-17)	(3.105033e+02 6.146913e+03 3.990977e-17)	(1.932671e+01 -3.933701e+00 3.796551e-20)
0.0004       	(1.935192e+02 -5.680884e+02 -5.480052e-17)	(1.749172e+02 -5.642950e+02 -5.483999e-17)	(1.860200e+01 -3.793489e+00 3.947022e-20)
0.0005       	(1.524317e+02 -2.705326e+02 -6.299791e-17)	(1.339856e+02 -2.667884e+02 -6.303815e-17)	(1.844607e+01 -3.744159e+00 4.024524e-20)
0.0006       	(1.015252e+02 -9.953903e+01 -5.483185e-17)	(8.323100e+01 -9.583890e+01 -5.487269e-17)	(1.829418e+01 -3.700126e+00 4.084241e-20)
0.0007       	(2.144619e+02 1.166896e+03 -4.726895e-17)	(1.963190e+02 1.170576e+03 -4.731224e-17)	(1.814291e+01 -3.680188e+00 4.329473e-20)
0.0008       	(6.988228e+01 -3.627756e+01 -4.201987e-17)	(5.187962e+01 -3.264541e+01 -4.206282e-17)	(1.800266e+01 -3.632149e+00 4.294627e-20)
0.0009       	(5.480876e+01 -8.885974e+01 -3.941175e-17)	(3.694197e+01 -8.527138e+01 -3.945440e-17)	(1.786679e+01 -3.588359e+00 4.265723e-20)
0.001        	(1.344488e+02 7.004881e+02 -3.482801e-17)	(1.167142e+02 7.040009e+02 -3.486829e-17)	(1.773456e+01 -3.512851e+00 4.027891e-20)
0.0011       	(1.597941e+01 -3.523769e+02 -2.921538e-17)	(-1.628042e+00 -3.489023e+02 -2.925624e-17)	(1.760745e+01 -3.474642e+00 4.085975e-20)
0.0012       	(3.068901e+01 -1.752331e+02 -3.247452e-17)	(1.320564e+01 -1.717954e+02 -3.251573e-17)	(1.748337e+01 -3.437709e+00 4.120202e-20)
0.0013       	(3.270451e+01 -1.352457e+02 -3.306634e-17)	(1.534250e+01 -1.318434e+02 -3.310799e-17)	(1.736201e+01 -3.402297e+00 4.165490e-20)
0.0014       	(1.027442e+02 2.976833e+02 -7.829536e-17)	(8.550355e+01 3.010548e+02 -7.833809e-17)	(1.724060e+01 -3.371476e+00 4.273492e-20)
0.0015       	(7.201261e+01 1.030184e+01 -6.779871e-17)	(5.488947e+01 1.363646e+01 -6.784092e-17)	(1.712314e+01 -3.334621e+00 4.220804e-20)
0.0016       	(4.922243e+01 -5.742013e+01 -4.630377e-17)	(3.220811e+01 -5.412322e+01 -4.634488e-17)	(1.701431e+01 -3.296904e+00 4.110961e-20)
0.0017       	(1.090864e+01 -2.818483e+02 -2.410253e-17)	(-5.998305e+00 -2.785835e+02 -2.414370e-17)	(1.690694e+01 -3.264836e+00 4.116425e-20)
0.0018       	(1.272422e+01 -2.821886e+02 -2.429690e-17)	(-4.077282e+00 -2.789535e+02 -2.433844e-17)	(1.680150e+01 -3.235090e+00 4.154008e-20)
0.0019       	(3.506722e+01 -1.895591e+02 -2.619777e-17)	(1.836959e+01 -1.863527e+02 -2.623976e-17)	(1.669762e+01 -3.206365e+00 4.198838e-20)
0.002        	(3.012984e+01 -2.445294e+02 -2.404120e-17)	(1.353384e+01 -2.413509e+02 -2.408369e-17)	(1.659599e+01 -3.178421e+00 4.248355e-20)
0.0021       	(-9.508402e+01 -1.302725e+03 3.850941e-17)	(-1.115704e+02 -1.299575e+03 3.846615e-17)	(1.648637e+01 -3.149931e+00 4.325839e-20)
0.0022       	(-1.112591e+02 -1.453551e+03 3.714502e-17)	(-1.276389e+02 -1.450429e+03 3.710124e-17)	(1.637973e+01 -3.121898e+00 4.377213e-20)
0.0023       	(4.242044e+01 1.621245e+02 -4.653238e-17)	(2.613620e+01 1.652053e+02 -4.657654e-17)	(1.628424e+01 -3.080812e+00 4.415602e-20)
0.0024       	(1.583014e+02 1.644677e+03 -1.277476e-16)	(1.421084e+02 1.647741e+03 -1.277926e-16)	(1.619298e+01 -3.064010e+00 4.503948e-20)
0.0025       	(-1.798009e+01 -5.304663e+02 -9.727093e-18)	(-3.408223e+01 -5.274281e+02 -9.772653e-18)	(1.610215e+01 -3.038152e+00 4.555922e-20)
0.0026       	(-1.292336e+01 -4.893014e+02 -1.257344e-17)	(-2.893728e+01 -4.862876e+02 -1.261931e-17)	(1.601392e+01 -3.013763e+00 4.587308e-20)
0.0027       	(3.731091e+01 1.019625e+01 -3.231639e-17)	(2.138036e+01 1.318430e+01 -3.236237e-17)	(1.593055e+01 -2.988047e+00 4.598062e-20)
0.0028       	(3.529489e+01 -2.911883e+01 -2.988207e-17)	(1.944595e+01 -2.615580e+01 -2.992825e-17)	(1.584894e+01 -2.963031e+00 4.618098e-20)
0.0029       	(2.426513e+01 -1.322431e+02 -2.645225e-17)	(8.496996e+00 -1.293036e+02 -2.649886e-17)	(1.576813e+01 -2.939457e+00 4.661505e-20)
0.003        	(1.836515e+01 -1.740663e+02 -2.442509e-17)	(2.676160e+00 -1.711493e+02 -2.447212e-17)	(1.568899e+01 -2.916992e+00 4.703162e-20)
0.0031       	(-1.409476e+02 -1.704188e+03 4.743093e-17)	(-1.565485e+02 -1.701293e+03 4.738367e-17)	(1.560084e+01 -2.895374e+00 4.726051e-20)
0.0032       	(-1.583086e+02 -1.865819e+03 5.057689e-17)	(-1.738161e+02 -1.862948e+03 5.053036e-17)	(1.550751e+01 -2.870154e+00 4.653134e-20)
0.0033       	(-1.302690e+01 -4.470864e+02 -1.025563e-17)	(-2.845266e+01 -4.442409e+02 -1.030163e-17)	(1.542576e+01 -2.845471e+00 4.600137e-20)
0.0034       	(-7.211707e-01 -3.135803e+02 -1.756072e-17)	(-1.607337e+01 -3.107568e+02 -1.760723e-17)	(1.535220e+01 -2.823489e+00 4.650956e-20)
0.0035       	(1.414491e+01 -2.543180e+02 -2.070011e-17)	(-1.136635e+00 -2.515162e+02 -2.074727e-17)	(1.528155e+01 -2.801858e+00 4.716098e-20)
0.0036       	(2.127481e+01 -2.486789e+02 -2.160608e-17)	(6.063018e+00 -2.459071e+02 -2.165466e-17)	(1.521179e+01 -2.771794e+00 4.858163e-20)
0.0037       	(1.447801e+01 -2.143200e+02 -2.248515e-17)	(-6.665487e-01 -2.115675e+02 -2.253411e-17)	(1.514456e+01 -2.752471e+00 4.895828e-20)
0.0038       	(1.639148e+01 -1.954452e+02 -2.293803e-17)	(1.312539e+00 -1.927123e+02 -2.298730e-17)	(1.507894e+01 -2.732896e+00 4.927352e-20)
0.0039       	(1.382111e+01 -2.207009e+02 -2.163908e-17)	(-1.193381e+00 -2.179876e+02 -2.168857e-17)	(1.501449e+01 -2.713267e+00 4.949307e-20)
