# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(8.843149e+04 -1.286103e+06 -2.036115e-14)	(8.841127e+04 -1.286099e+06 -2.036109e-14)	(2.022375e+01 -4.028400e+00 -5.769347e-20)
0.0002       	(3.337881e+03 -7.219680e+04 1.484894e-16)	(3.318153e+03 -7.219294e+04 1.485313e-16)	(1.972821e+01 -3.867388e+00 -4.189078e-20)
0.0003       	(7.156434e+02 1.744356e+04 -4.690690e-17)	(6.961060e+02 1.744735e+04 -4.686700e-17)	(1.953740e+01 -3.789843e+00 -3.989639e-20)
0.0004       	(2.351252e+02 -2.219485e+02 -1.295767e-17)	(2.167219e+02 -2.183548e+02 -1.291929e-17)	(1.840328e+01 -3.593676e+00 -3.837979e-20)
0.0005       	(1.784800e+02 -1.683558e+02 -7.703918e-18)	(1.602294e+02 -1.648058e+02 -7.666758e-18)	(1.825057e+01 -3.549954e+00 -3.716047e-20)
0.0006       	(1.397496e+02 -1.283629e+02 -7.471975e-18)	(1.216468e+02 -1.248542e+02 -7.435898e-18)	(1.810283e+01 -3.508667e+00 -3.607697e-20)
0.0007       	(1.146664e+02 -1.024767e+02 -7.330404e-18)	(9.671015e+01 -9.900322e+01 -7.299054e-18)	(1.795629e+01 -3.473520e+00 -3.135012e-20)
0.0008       	(9.761295e+01 -8.405064e+01 -7.027724e-18)	(7.979792e+01 -8.062470e+01 -6.995787e-18)	(1.781503e+01 -3.425939e+00 -3.193626e-20)
0.0009       	(8.619324e+01 -5.148953e+01 -6.720982e-18)	(6.851102e+01 -4.809876e+01 -6.690592e-18)	(1.768221e+01 -3.390764e+00 -3.039052e-20)
0.001        	(8.615306e+01 1.611938e+02 -6.478216e-18)	(6.860012e+01 1.645531e+02 -6.448969e-18)	(1.755293e+01 -3.359324e+00 -2.924738e-20)
0.0011       	(6.887977e+01 -5.227288e+01 -6.298359e-18)	(5.145248e+01 -4.894740e+01 -6.269732e-18)	(1.742729e+01 -3.325473e+00 -2.862684e-20)
0.0012       	(6.348762e+01 -3.856935e+01 -6.171015e-18)	(4.618762e+01 -3.527546e+01 -6.143040e-18)	(1.729999e+01 -3.293885e+00 -2.797468e-20)
0.0013       	(6.090388e+01 1.174879e+01 -6.076969e-18)	(4.372460e+01 1.500890e+01 -6.048714e-18)	(1.717928e+01 -3.260112e+00 -2.825546e-20)
