# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.135530e+05 -1.925980e+06 3.201545e-14)	(1.135329e+05 -1.925974e+06 3.201557e-14)	(2.008926e+01 -5.981782e+00 -1.178475e-19)
0.0002       	(1.676183e+03 -1.400644e+05 1.494807e-15)	(1.656790e+03 -1.400588e+05 1.494914e-15)	(1.939300e+01 -5.597043e+00 -1.070108e-19)
0.0003       	(6.911004e+02 9.596553e+03 2.486585e-16)	(6.719238e+02 9.602009e+03 2.487603e-16)	(1.917654e+01 -5.456546e+00 -1.018031e-19)
0.0004       	(3.058002e+02 -1.039509e+03 1.642668e-16)	(2.874885e+02 -1.034284e+03 1.643642e-16)	(1.831172e+01 -5.225539e+00 -9.741296e-20)
0.0005       	(2.758894e+02 -5.611781e+02 1.396697e-16)	(2.577533e+02 -5.560402e+02 1.397656e-16)	(1.813609e+01 -5.137942e+00 -9.588512e-20)
0.0006       	(2.408234e+02 -4.812021e+02 1.186880e-16)	(2.228611e+02 -4.761452e+02 1.187829e-16)	(1.796226e+01 -5.056906e+00 -9.492275e-20)
0.0007       	(2.228181e+02 -4.452404e+02 1.113007e-16)	(2.050200e+02 -4.402588e+02 1.113950e-16)	(1.779811e+01 -4.981628e+00 -9.428481e-20)
0.0008       	(2.484287e+02 -4.772678e+02 1.239092e-16)	(2.307854e+02 -4.723615e+02 1.240024e-16)	(1.764330e+01 -4.906258e+00 -9.323607e-20)
0.0009       	(5.233587e+02 -8.513680e+02 2.434009e-16)	(5.058188e+02 -8.465965e+02 2.434851e-16)	(1.753997e+01 -4.771508e+00 -8.423200e-20)
0.001        	(2.050301e+02 -3.943591e+02 1.025942e-16)	(1.876346e+02 -3.896508e+02 1.026778e-16)	(1.739547e+01 -4.708287e+00 -8.359401e-20)
0.0011       	(1.634531e+02 -3.085099e+02 8.419245e-17)	(1.462035e+02 -3.038645e+02 8.427563e-17)	(1.724963e+01 -4.645357e+00 -8.318168e-20)
0.0012       	(1.022398e+03 -3.034348e+02 2.086656e-16)	(1.005284e+03 -2.988494e+02 2.087488e-16)	(1.711368e+01 -4.585380e+00 -8.321367e-20)
0.0013       	(4.023119e+02 -4.169009e+02 1.312519e-16)	(3.853448e+02 -4.123687e+02 1.313347e-16)	(1.696709e+01 -4.532230e+00 -8.279476e-20)
0.0014       	(1.164814e+02 -2.502558e+02 7.296842e-17)	(9.965079e+01 -2.457762e+02 7.305134e-17)	(1.683063e+01 -4.479656e+00 -8.292281e-20)
0.0015       	(1.616863e+02 -3.133807e+02 9.136342e-17)	(1.449840e+02 -3.089560e+02 9.144631e-17)	(1.670228e+01 -4.424722e+00 -8.288756e-20)
0.0016       	(1.653102e+02 -3.217530e+02 9.167020e-17)	(1.487310e+02 -3.173807e+02 9.175309e-17)	(1.657913e+01 -4.372345e+00 -8.289695e-20)
0.0017       	(1.607338e+02 -3.131262e+02 9.042169e-17)	(1.442743e+02 -3.088049e+02 9.050456e-17)	(1.645950e+01 -4.321257e+00 -8.286742e-20)
0.0018       	(2.222355e+02 -4.302619e+02 1.153838e-16)	(2.058888e+02 -4.259918e+02 1.154664e-16)	(1.634669e+01 -4.270160e+00 -8.263486e-20)
0.0019       	(1.411120e+02 -6.649254e+02 1.163125e-16)	(1.248731e+02 -6.607124e+02 1.163941e-16)	(1.623889e+01 -4.213045e+00 -8.158755e-20)
0.002        	(9.361397e+01 1.983746e+02 9.740513e-17)	(7.748241e+01 2.025430e+02 9.748624e-17)	(1.613156e+01 -4.168400e+00 -8.111239e-20)
0.0021       	(1.054850e+02 9.488883e+01 9.078879e-17)	(8.945982e+01 9.901036e+01 9.086930e-17)	(1.602515e+01 -4.121529e+00 -8.051759e-20)
0.0022       	(1.962966e+02 -3.721435e+02 1.048710e-16)	(1.803750e+02 -3.680708e+02 1.049506e-16)	(1.592160e+01 -4.072722e+00 -7.958071e-20)
0.0023       	(1.682816e+02 -3.248018e+02 9.371287e-17)	(1.524633e+02 -3.207735e+02 9.379172e-17)	(1.581830e+01 -4.028328e+00 -7.885649e-20)
0.0024       	(1.584351e+02 -2.931342e+02 9.011169e-17)	(1.427180e+02 -2.891479e+02 9.018986e-17)	(1.571710e+01 -3.986202e+00 -7.816781e-20)
0.0025       	(1.465838e+02 -2.692009e+02 8.600377e-17)	(1.309657e+02 -2.652555e+02 8.608137e-17)	(1.561813e+01 -3.945435e+00 -7.760700e-20)
0.0026       	(1.615014e+02 -2.930067e+02 9.305540e-17)	(1.459799e+02 -2.891088e+02 9.313479e-17)	(1.552158e+01 -3.897898e+00 -7.938929e-20)
0.0027       	(2.060420e+02 -3.710948e+02 1.096178e-16)	(1.906121e+02 -3.672463e+02 1.096990e-16)	(1.542995e+01 -3.848478e+00 -8.122046e-20)
0.0028       	(1.540564e+02 -2.867484e+02 9.146870e-17)	(1.387168e+02 -2.829397e+02 9.154963e-17)	(1.533967e+01 -3.808628e+00 -8.092624e-20)
0.0029       	(1.344335e+02 -2.627505e+02 8.588780e-17)	(1.191830e+02 -2.589796e+02 8.596833e-17)	(1.525055e+01 -3.770902e+00 -8.053407e-20)
0.003        	(1.300351e+02 -2.655451e+02 8.502448e-17)	(1.148721e+02 -2.618107e+02 8.510460e-17)	(1.516301e+01 -3.734421e+00 -8.012259e-20)
0.0031       	(1.394444e+02 -2.565650e+02 8.628475e-17)	(1.243670e+02 -2.528660e+02 8.636443e-17)	(1.507738e+01 -3.698981e+00 -7.968563e-20)
0.0032       	(1.967581e+02 -3.947090e+02 1.081768e-16)	(1.817618e+02 -3.910465e+02 1.082561e-16)	(1.499635e+01 -3.662423e+00 -7.924315e-20)
0.0033       	(1.384617e+02 -3.324012e+02 8.807354e-17)	(1.235479e+02 -3.287741e+02 8.814953e-17)	(1.491383e+01 -3.627059e+00 -7.598891e-20)
0.0034       	(1.403496e+02 -2.992236e+02 8.677777e-17)	(1.255165e+02 -2.956311e+02 8.685192e-17)	(1.483310e+01 -3.592500e+00 -7.415219e-20)
0.0035       	(2.247326e+02 -4.391880e+02 1.052643e-16)	(2.099782e+02 -4.356291e+02 1.053378e-16)	(1.475445e+01 -3.558858e+00 -7.348993e-20)
0.0036       	(1.677204e+02 -3.176805e+02 9.378308e-17)	(1.530436e+02 -3.141549e+02 9.385578e-17)	(1.467681e+01 -3.525626e+00 -7.269949e-20)
0.0037       	(9.329299e+01 -2.572009e+02 7.971026e-17)	(7.869326e+01 -2.537082e+02 7.978208e-17)	(1.459973e+01 -3.492710e+00 -7.182753e-20)
0.0038       	(1.216538e+02 -2.921201e+02 8.529094e-17)	(1.071297e+02 -2.886594e+02 8.536191e-17)	(1.452414e+01 -3.460748e+00 -7.097334e-20)
0.0039       	(1.326335e+02 -2.598543e+02 8.560041e-17)	(1.181834e+02 -2.564243e+02 8.567055e-17)	(1.445004e+01 -3.430039e+00 -7.013904e-20)
0.004        	(1.317390e+02 -2.397234e+02 8.445996e-17)	(1.173615e+02 -2.363231e+02 8.452925e-17)	(1.437744e+01 -3.400386e+00 -6.928272e-20)
0.0041       	(1.349606e+02 -2.517087e+02 8.599779e-17)	(1.206554e+02 -2.483376e+02 8.606616e-17)	(1.430520e+01 -3.371162e+00 -6.836570e-20)
0.0042       	(1.695127e+02 -3.051381e+02 9.840840e-17)	(1.552792e+02 -3.018075e+02 9.847348e-17)	(1.423353e+01 -3.330628e+00 -6.507784e-20)
0.0043       	(1.501836e+02 -2.759370e+02 9.033144e-17)	(1.360169e+02 -2.726354e+02 9.039491e-17)	(1.416667e+01 -3.301616e+00 -6.347198e-20)
0.0044       	(2.007563e+02 -4.122135e+02 9.321034e-17)	(1.866553e+02 -4.089401e+02 9.327252e-17)	(1.410106e+01 -3.273422e+00 -6.217406e-20)
0.0045       	(1.519493e+02 -2.878590e+02 8.812207e-17)	(1.379134e+02 -2.846135e+02 8.818284e-17)	(1.403588e+01 -3.245485e+00 -6.077510e-20)
0.0046       	(1.323345e+02 -2.441765e+02 8.450449e-17)	(1.183629e+02 -2.409583e+02 8.456413e-17)	(1.397157e+01 -3.218107e+00 -5.964592e-20)
0.0047       	(1.352970e+02 -2.498739e+02 8.550858e-17)	(1.213889e+02 -2.466831e+02 8.556669e-17)	(1.390811e+01 -3.190798e+00 -5.811012e-20)
0.0048       	(1.567312e+02 -2.961210e+02 9.150861e-17)	(1.428863e+02 -2.929610e+02 9.156329e-17)	(1.384493e+01 -3.159974e+00 -5.468709e-20)
0.0049       	(1.662602e+02 -3.396808e+02 9.139487e-17)	(1.524764e+02 -3.365509e+02 9.144776e-17)	(1.378377e+01 -3.129836e+00 -5.288827e-20)
0.005        	(1.672016e+02 -3.758683e+02 9.174027e-17)	(1.534777e+02 -3.727697e+02 9.179153e-17)	(1.372389e+01 -3.098569e+00 -5.125071e-20)
0.0051       	(1.515445e+02 -3.797270e+02 8.945242e-17)	(1.378791e+02 -3.766599e+02 8.950206e-17)	(1.366533e+01 -3.067112e+00 -4.963227e-20)
0.0052       	(1.621386e+02 -3.680993e+02 9.041824e-17)	(1.485314e+02 -3.650607e+02 9.046647e-17)	(1.360726e+01 -3.038651e+00 -4.822930e-20)
0.0053       	(1.707495e+02 -3.370351e+02 9.671036e-17)	(1.571993e+02 -3.340234e+02 9.675754e-17)	(1.355020e+01 -3.011792e+00 -4.717967e-20)
0.0054       	(1.119304e+02 2.289615e+01 9.340567e-17)	(9.843630e+01 2.588645e+01 9.345006e-17)	(1.349412e+01 -2.990299e+00 -4.439091e-20)
0.0055       	(1.186313e+02 -3.327444e+01 8.916220e-17)	(1.051953e+02 -3.031196e+01 8.920295e-17)	(1.343593e+01 -2.962483e+00 -4.074307e-20)
0.0056       	(2.265902e+02 -4.725631e+02 1.047887e-16)	(2.132092e+02 -4.696350e+02 1.048270e-16)	(1.338099e+01 -2.928135e+00 -3.825069e-20)
0.0057       	(3.686578e+02 -8.621685e+02 1.132071e-16)	(3.553288e+02 -8.592703e+02 1.132434e-16)	(1.332906e+01 -2.898200e+00 -3.624290e-20)
0.0058       	(2.169807e+02 -4.717780e+02 9.334228e-17)	(2.037034e+02 -4.689070e+02 9.337699e-17)	(1.327732e+01 -2.871001e+00 -3.471281e-20)
0.0059       	(4.149875e+02 -9.779300e+02 1.215451e-16)	(4.017586e+02 -9.750839e+02 1.215786e-16)	(1.322884e+01 -2.846055e+00 -3.345598e-20)
0.006        	(1.801997e+02 -4.322707e+02 9.310816e-17)	(1.670201e+02 -4.294498e+02 9.314043e-17)	(1.317959e+01 -2.820885e+00 -3.226538e-20)
0.0061       	(3.677929e+02 -1.141882e+03 1.224658e-16)	(3.546602e+02 -1.139088e+03 1.224972e-16)	(1.313277e+01 -2.793959e+00 -3.141386e-20)
0.0062       	(1.588019e+02 -4.140279e+02 8.898238e-17)	(1.457171e+02 -4.112576e+02 8.901256e-17)	(1.308482e+01 -2.770297e+00 -3.018726e-20)
0.0063       	(1.416494e+02 -2.947827e+02 8.523102e-17)	(1.286117e+02 -2.920346e+02 8.526014e-17)	(1.303765e+01 -2.748135e+00 -2.911876e-20)
0.0064       	(1.544469e+02 -3.115747e+02 8.923357e-17)	(1.414555e+02 -3.088487e+02 8.926149e-17)	(1.299138e+01 -2.725975e+00 -2.791927e-20)
