# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.240210e+05 1.293318e+06 3.284967e-14)	(2.239995e+05 1.293315e+06 3.284951e-14)	(2.148140e+01 3.424309e+00 1.550648e-19)
0.0002       	(1.455201e+04 1.175964e+05 2.030882e-16)	(1.453119e+04 1.175931e+05 2.029500e-16)	(2.081984e+01 3.262489e+00 1.381983e-19)
0.0003       	(-1.158614e+03 -1.296935e+04 -4.174688e-16)	(-1.179173e+03 -1.297256e+04 -4.176091e-16)	(2.055955e+01 3.216078e+00 1.403450e-19)
0.0004       	(1.371391e+02 3.255968e+02 -2.221449e-17)	(1.176746e+02 3.225379e+02 -2.234830e-17)	(1.946445e+01 3.058874e+00 1.338073e-19)
0.0005       	(1.267189e+02 -1.064140e+02 -2.211275e-18)	(1.074320e+02 -1.094408e+02 -2.344645e-18)	(1.928685e+01 3.026734e+00 1.333703e-19)
0.0006       	(6.574225e+02 -3.181649e+03 -1.597722e-16)	(6.383276e+02 -3.184663e+03 -1.598994e-16)	(1.909490e+01 3.014339e+00 1.271732e-19)
0.0007       	(2.369603e+02 -9.522743e+02 -4.747741e-17)	(2.180330e+02 -9.552595e+02 -4.760223e-17)	(1.892728e+01 2.985219e+00 1.248246e-19)
0.0008       	(3.968776e+01 6.151491e+01 1.051927e-17)	(2.092048e+01 5.855851e+01 1.039485e-17)	(1.876728e+01 2.956395e+00 1.244119e-19)
0.0009       	(4.555960e+01 1.709106e+01 5.294621e-18)	(2.695944e+01 1.416367e+01 5.170551e-18)	(1.860016e+01 2.927391e+00 1.240708e-19)
0.001        	(4.300406e+01 1.691782e+01 5.271354e-18)	(2.455511e+01 1.401662e+01 5.147798e-18)	(1.844895e+01 2.901193e+00 1.235565e-19)
0.0011       	(4.150826e+01 1.484954e+01 5.264612e-18)	(2.320634e+01 1.197372e+01 5.141379e-18)	(1.830192e+01 2.875817e+00 1.232323e-19)
0.0012       	(8.343649e+01 -4.671942e+02 5.362036e-18)	(6.527989e+01 -4.700572e+02 5.238847e-18)	(1.815660e+01 2.863005e+00 1.231896e-19)
0.0013       	(4.865070e+01 -9.913387e+01 4.004376e-18)	(3.063237e+01 -1.019677e+02 3.881275e-18)	(1.801833e+01 2.833836e+00 1.231010e-19)
0.0014       	(-5.965460e+00 2.187056e+02 -3.080143e-17)	(-2.384101e+01 2.158977e+02 -3.092425e-17)	(1.787555e+01 2.807822e+00 1.228194e-19)
0.0015       	(7.450452e+00 1.353321e+02 -2.118434e-17)	(-1.029214e+01 1.325462e+02 -2.130718e-17)	(1.774259e+01 2.785950e+00 1.228408e-19)
0.0016       	(4.392653e+01 -1.370606e+02 -2.968712e-18)	(2.630629e+01 -1.398168e+02 -3.092621e-18)	(1.762024e+01 2.756204e+00 1.239091e-19)
0.0017       	(2.806096e+01 4.944838e+01 -3.354430e-18)	(1.056795e+01 4.671556e+01 -3.477733e-18)	(1.749301e+01 2.732824e+00 1.233034e-19)
0.0018       	(1.360811e+01 1.357667e+02 -1.507589e-17)	(-3.756037e+00 1.330570e+02 -1.519850e-17)	(1.736415e+01 2.709677e+00 1.226130e-19)
0.0019       	(2.604866e+01 6.378283e+01 -3.805487e-18)	(8.806344e+00 6.109529e+01 -3.927986e-18)	(1.724231e+01 2.687536e+00 1.224992e-19)
0.002        	(6.458443e+01 -1.220018e+02 2.383455e-18)	(4.745559e+01 -1.246627e+02 2.259849e-18)	(1.712883e+01 2.660888e+00 1.236057e-19)
0.0021       	(4.126905e+01 -3.623112e+01 3.767816e-18)	(2.425010e+01 -3.886975e+01 3.643697e-18)	(1.701895e+01 2.638627e+00 1.241189e-19)
0.0022       	(3.754028e+01 -3.741653e+00 3.809901e-18)	(2.062854e+01 -6.359916e+00 3.686141e-18)	(1.691174e+01 2.618262e+00 1.237599e-19)
0.0023       	(5.668487e+01 -1.273698e+02 3.878511e-18)	(3.987823e+01 -1.299700e+02 3.755315e-18)	(1.680664e+01 2.600180e+00 1.231958e-19)
0.0024       	(2.051617e+02 -1.247407e+03 4.136720e-18)	(1.884622e+02 -1.249992e+03 4.013666e-18)	(1.669948e+01 2.585484e+00 1.230538e-19)
0.0025       	(1.148594e+02 -6.222677e+02 4.283139e-18)	(9.826049e+01 -6.248226e+02 4.158672e-18)	(1.659888e+01 2.554979e+00 1.244664e-19)
0.0026       	(5.227290e+01 -9.467381e+01 4.267289e-18)	(3.577029e+01 -9.720977e+01 4.142946e-18)	(1.650261e+01 2.535966e+00 1.243432e-19)
0.0027       	(4.309522e+01 -4.717570e+01 4.176432e-18)	(2.668681e+01 -4.969426e+01 4.052694e-18)	(1.640841e+01 2.518563e+00 1.237381e-19)
0.0028       	(3.761719e+01 -1.034605e+01 2.071168e-18)	(2.130101e+01 -1.284846e+01 1.947492e-18)	(1.631618e+01 2.502407e+00 1.236755e-19)
0.0029       	(3.772886e+01 -4.390219e+01 -1.075094e-17)	(2.150453e+01 -4.638656e+01 -1.087475e-17)	(1.622433e+01 2.484369e+00 1.238135e-19)
0.003        	(1.241443e+02 -7.066047e+02 -9.313134e-18)	(1.080088e+02 -7.090580e+02 -9.437787e-18)	(1.613545e+01 2.453267e+00 1.246533e-19)
0.0031       	(7.474780e+01 -3.104333e+02 2.637591e-18)	(5.869668e+01 -3.128650e+02 2.512921e-18)	(1.605112e+01 2.431684e+00 1.246698e-19)
0.0032       	(3.563793e+01 -2.766877e+01 -2.997259e-18)	(1.966902e+01 -3.007989e+01 -3.121356e-18)	(1.596891e+01 2.411118e+00 1.240971e-19)
0.0033       	(-5.200794e+00 2.463389e+02 -1.207471e-17)	(-2.108815e+01 2.439484e+02 -1.219741e-17)	(1.588735e+01 2.390509e+00 1.227048e-19)
0.0034       	(3.249956e+01 4.433990e+00 -2.103082e-19)	(1.669185e+01 2.059873e+00 -3.324180e-19)	(1.580771e+01 2.374117e+00 1.221097e-19)
0.0035       	(4.365846e+01 -6.871568e+01 3.866980e-18)	(2.792882e+01 -7.107364e+01 3.745207e-18)	(1.572964e+01 2.357953e+00 1.217734e-19)
0.0036       	(4.595137e+01 -1.065142e+02 -2.986429e-19)	(3.030032e+01 -1.088547e+02 -4.205549e-19)	(1.565104e+01 2.340490e+00 1.219121e-19)
0.0037       	(3.109608e+01 2.061648e+00 -6.552875e-18)	(1.552224e+01 -2.526166e-01 -6.675357e-18)	(1.557384e+01 2.314265e+00 1.224822e-19)
0.0038       	(3.834162e+01 -2.887478e+01 1.740193e-20)	(2.284052e+01 -3.117349e+01 -1.044805e-19)	(1.550110e+01 2.298711e+00 1.218824e-19)
0.0039       	(3.771661e+01 -1.737087e+01 1.171981e-18)	(2.228686e+01 -1.965489e+01 1.050431e-18)	(1.542975e+01 2.284024e+00 1.215506e-19)
0.004        	(1.343394e+02 -5.145573e+02 -3.674428e-17)	(1.189811e+02 -5.168286e+02 -3.686545e-17)	(1.535832e+01 2.271285e+00 1.211718e-19)
0.0041       	(6.575939e+02 -3.167624e+03 -2.466301e-16)	(6.423119e+02 -3.169891e+03 -2.467502e-16)	(1.528206e+01 2.267032e+00 1.200646e-19)
0.0042       	(1.191214e+02 -3.623820e+02 -4.968287e-17)	(1.039090e+02 -3.646342e+02 -4.980187e-17)	(1.521238e+01 2.252135e+00 1.190038e-19)
0.0043       	(2.256047e+01 7.684298e+01 -9.909607e-18)	(7.416567e+00 7.460586e+01 -1.002834e-17)	(1.514390e+01 2.237118e+00 1.187291e-19)
0.0044       	(3.450722e+01 -9.447798e+00 -5.053831e-18)	(1.942916e+01 -1.167210e+01 -5.171594e-18)	(1.507806e+01 2.224301e+00 1.177634e-19)
0.0045       	(1.939565e+02 -2.266277e+03 -2.441612e-17)	(1.789411e+02 -2.268494e+03 -2.452690e-17)	(1.501545e+01 2.217608e+00 1.107799e-19)
0.0046       	(1.157258e+02 -6.897727e+02 -1.237833e-17)	(1.007725e+02 -6.919751e+02 -1.248673e-17)	(1.495326e+01 2.202472e+00 1.083996e-19)
0.0047       	(4.948471e+01 9.713709e+01 -1.684457e-19)	(3.459275e+01 9.495104e+01 -2.753767e-19)	(1.489195e+01 2.186051e+00 1.069310e-19)
0.0048       	(5.980549e+01 -5.513718e+01 -3.363687e-18)	(4.497662e+01 -5.730889e+01 -3.469811e-18)	(1.482888e+01 2.171711e+00 1.061242e-19)
0.0049       	(1.032128e+02 -3.154942e+02 -1.435137e-17)	(8.844206e+01 -3.176518e+02 -1.445722e-17)	(1.477072e+01 2.157591e+00 1.058534e-19)
0.005        	(9.093852e+01 -2.638957e+02 -1.112430e-17)	(7.622461e+01 -2.660403e+02 -1.122946e-17)	(1.471391e+01 2.144555e+00 1.051566e-19)
0.0051       	(5.245981e+01 -7.954088e+01 -2.644864e-18)	(3.780235e+01 -8.167296e+01 -2.749204e-18)	(1.465746e+01 2.132080e+00 1.043398e-19)
0.0052       	(3.546480e+01 3.640319e+01 2.618331e-19)	(2.086267e+01 3.428275e+01 1.583452e-19)	(1.460214e+01 2.120434e+00 1.034879e-19)
0.0053       	(3.265622e+01 1.145679e+02 5.609583e-19)	(1.810897e+01 1.124600e+02 4.584159e-19)	(1.454725e+01 2.107885e+00 1.025425e-19)
0.0054       	(3.076183e+01 1.557920e+02 -8.275187e-19)	(1.627018e+01 1.536970e+02 -9.283873e-19)	(1.449166e+01 2.095040e+00 1.008687e-19)
0.0055       	(2.628536e+01 1.422744e+02 -1.848479e-18)	(1.184725e+01 1.401913e+02 -1.948222e-18)	(1.443811e+01 2.083074e+00 9.974306e-20)
0.0056       	(2.418163e+01 1.079772e+02 -1.851909e-18)	(9.795997e+00 1.059046e+02 -1.950817e-18)	(1.438564e+01 2.072602e+00 9.890789e-20)
0.0057       	(3.120273e+01 4.474499e+01 2.091869e-18)	(1.686812e+01 4.268228e+01 1.993750e-18)	(1.433461e+01 2.062717e+00 9.811935e-20)
0.0058       	(1.934202e+01 1.204625e+02 -5.049574e-18)	(5.058439e+00 1.184098e+02 -5.146927e-18)	(1.428358e+01 2.052732e+00 9.735355e-20)
0.0059       	(-2.142203e+01 5.243200e+02 -3.009155e-17)	(-3.565333e+01 5.222964e+02 -3.018472e-17)	(1.423130e+01 2.023575e+00 9.316589e-20)
0.006        	(-1.743393e+01 5.178885e+02 -2.713358e-17)	(-3.161554e+01 5.158820e+02 -2.722415e-17)	(1.418161e+01 2.006492e+00 9.056964e-20)
0.0061       	(2.178353e+01 1.349398e+02 -4.248038e-18)	(7.649821e+00 1.329441e+02 -4.337710e-18)	(1.413371e+01 1.995613e+00 8.967217e-20)
0.0062       	(1.397679e+01 1.698280e+02 -8.795200e-18)	(-1.089829e-01 1.678423e+02 -8.884081e-18)	(1.408577e+01 1.985694e+00 8.888053e-20)
0.0063       	(2.156621e+01 1.256143e+02 -4.713198e-18)	(7.527423e+00 1.236387e+02 -4.801149e-18)	(1.403879e+01 1.975601e+00 8.795085e-20)
0.0064       	(2.527422e+01 9.877235e+01 -3.053141e-18)	(1.128202e+01 9.680681e+01 -3.140364e-18)	(1.399220e+01 1.965538e+00 8.722297e-20)
0.0065       	(2.522694e+01 9.728760e+01 -3.581383e-18)	(1.128099e+01 9.533211e+01 -3.667859e-18)	(1.394595e+01 1.955483e+00 8.647584e-20)
0.0066       	(3.071872e+01 6.454369e+01 -1.650654e-18)	(1.681788e+01 6.259848e+01 -1.736325e-18)	(1.390085e+01 1.945209e+00 8.567123e-20)
0.0067       	(3.649748e+01 4.209923e+01 -1.203240e-18)	(2.264023e+01 4.016316e+01 -1.287932e-18)	(1.385725e+01 1.936066e+00 8.469209e-20)
0.0068       	(4.829091e+01 2.599602e+01 -4.276090e-18)	(3.447634e+01 2.406845e+01 -4.359175e-18)	(1.381457e+01 1.927568e+00 8.308534e-20)
0.0069       	(6.996469e+01 8.644564e-01 -1.085006e-17)	(5.619280e+01 -1.055400e+00 -1.093175e-17)	(1.377189e+01 1.919857e+00 8.169079e-20)
0.007        	(8.626210e+01 -1.815773e+01 -1.814808e-17)	(7.253309e+01 -2.007107e+01 -1.822857e-17)	(1.372902e+01 1.913344e+00 8.048665e-20)
0.0071       	(7.945535e+01 1.373480e+01 -2.032214e-17)	(6.576895e+01 1.182771e+01 -2.040165e-17)	(1.368640e+01 1.907097e+00 7.950550e-20)
0.0072       	(4.351839e+01 1.730095e+02 -2.431344e-17)	(2.987492e+01 1.711091e+02 -2.439279e-17)	(1.364348e+01 1.900433e+00 7.934173e-20)
0.0073       	(3.909214e+01 1.595397e+02 -1.773164e-17)	(2.549022e+01 1.576462e+02 -1.781027e-17)	(1.360192e+01 1.893551e+00 7.863073e-20)
0.0074       	(6.138605e+01 1.253062e+02 -1.921280e-17)	(4.782516e+01 1.234158e+02 -1.929029e-17)	(1.356090e+01 1.890438e+00 7.749166e-20)
0.0075       	(4.012957e+01 2.865538e+02 -2.975374e-17)	(2.660977e+01 2.846647e+02 -2.983006e-17)	(1.351980e+01 1.889097e+00 7.632313e-20)
0.0076       	(3.311347e+01 1.645939e+02 -1.115201e-17)	(1.963247e+01 1.627109e+02 -1.122752e-17)	(1.348100e+01 1.883015e+00 7.550614e-20)
0.0077       	(4.079863e+01 5.042140e+01 5.778930e-19)	(2.735501e+01 4.854585e+01 5.030875e-19)	(1.344362e+01 1.875552e+00 7.480545e-20)
0.0078       	(3.368457e+01 8.998067e+01 -3.445342e-19)	(2.027787e+01 8.811187e+01 -4.182601e-19)	(1.340670e+01 1.868794e+00 7.372590e-20)
0.0079       	(1.809402e+01 2.002910e+02 -6.996027e-18)	(4.724431e+00 1.984283e+02 -7.068607e-18)	(1.336959e+01 1.862756e+00 7.258006e-20)
0.008        	(2.384752e+01 1.574781e+02 -4.229770e-18)	(1.051453e+01 1.556218e+02 -4.301716e-18)	(1.333299e+01 1.856317e+00 7.194573e-20)
0.0081       	(2.442131e+01 1.556504e+02 -3.555215e-18)	(1.112448e+01 1.538007e+02 -3.626486e-18)	(1.329683e+01 1.849735e+00 7.127078e-20)
0.0082       	(3.332272e+01 1.014196e+02 1.389820e-18)	(2.006121e+01 9.957658e+01 1.319291e-18)	(1.326151e+01 1.843058e+00 7.052887e-20)
0.0083       	(2.898807e+01 1.445415e+02 -1.605585e-19)	(1.576155e+01 1.427049e+02 -2.300951e-19)	(1.322652e+01 1.836592e+00 6.953661e-20)
0.0084       	(3.435723e+01 1.140927e+02 1.394649e-18)	(2.116590e+01 1.122638e+02 1.325673e-18)	(1.319133e+01 1.828969e+00 6.897589e-20)
0.0085       	(5.082279e+01 3.071393e+01 1.008024e-18)	(3.766600e+01 2.889262e+01 9.395250e-19)	(1.315679e+01 1.821312e+00 6.849889e-20)
0.0086       	(6.319689e+01 -1.938017e+01 -1.795065e-18)	(5.007405e+01 -2.119368e+01 -1.863033e-18)	(1.312284e+01 1.813510e+00 6.796779e-20)
0.0087       	(4.909787e+01 6.793510e+01 2.206475e-18)	(3.600904e+01 6.612945e+01 2.139227e-18)	(1.308884e+01 1.805651e+00 6.724747e-20)
0.0088       	(3.645763e+01 1.500513e+02 5.007701e-18)	(2.340222e+01 1.482533e+02 4.941325e-18)	(1.305542e+01 1.797937e+00 6.637566e-20)
0.0089       	(3.753597e+01 1.439304e+02 2.330948e-18)	(2.451751e+01 1.421403e+02 2.265370e-18)	(1.301846e+01 1.790025e+00 6.557853e-20)
0.009        	(4.568481e+01 1.298186e+02 1.233424e-18)	(3.269877e+01 1.280343e+02 1.168326e-18)	(1.298604e+01 1.784314e+00 6.509751e-20)
0.0091       	(2.214438e+02 7.148192e+01 2.350020e-18)	(2.084865e+02 6.969301e+01 2.282951e-18)	(1.295735e+01 1.788909e+00 6.706869e-20)
0.0092       	(7.380678e+01 1.242463e+02 -2.692240e-19)	(6.088123e+01 1.224605e+02 -3.358897e-19)	(1.292555e+01 1.785752e+00 6.666569e-20)
0.0093       	(-2.549413e+01 8.643748e+02 -4.827247e-17)	(-3.838605e+01 8.625945e+02 -4.833825e-17)	(1.289192e+01 1.780311e+00 6.578284e-20)
0.0094       	(-1.565337e+02 2.156567e+03 -1.308680e-16)	(-1.693916e+02 2.154799e+03 -1.309326e-16)	(1.285795e+01 1.768313e+00 6.452324e-20)
0.0095       	(3.591534e+01 2.800961e+02 -9.319906e-18)	(2.308667e+01 2.783331e+02 -9.383737e-18)	(1.282867e+01 1.763018e+00 6.383077e-20)
0.0096       	(5.097249e+01 8.185425e+01 4.862506e-18)	(3.817421e+01 8.009641e+01 4.798971e-18)	(1.279828e+01 1.757843e+00 6.353454e-20)
0.0097       	(5.767995e+01 1.192992e+01 1.030219e-17)	(4.491168e+01 1.017752e+01 1.023890e-17)	(1.276827e+01 1.752398e+00 6.328663e-20)
0.0098       	(5.576309e+01 1.774717e+01 1.016936e-17)	(4.302817e+01 1.600074e+01 1.010633e-17)	(1.273492e+01 1.746430e+00 6.302577e-20)
0.0099       	(5.371506e+01 2.272202e+01 9.692864e-18)	(4.100990e+01 2.098092e+01 9.630051e-18)	(1.270517e+01 1.741110e+00 6.281264e-20)
0.01         	(4.807471e+01 6.152911e+01 7.328898e-18)	(3.539918e+01 5.979243e+01 7.266125e-18)	(1.267553e+01 1.736675e+00 6.277216e-20)
0.0101       	(4.185232e+01 1.330117e+02 6.589825e-18)	(2.920678e+01 1.312768e+02 6.526833e-18)	(1.264553e+01 1.734900e+00 6.299238e-20)
0.0102       	(4.298519e+01 1.035305e+02 6.463776e-18)	(3.036878e+01 1.017983e+02 6.400692e-18)	(1.261641e+01 1.732207e+00 6.308453e-20)
0.0103       	(4.401854e+01 6.271676e+01 4.386595e-18)	(3.143058e+01 6.098826e+01 4.323614e-18)	(1.258796e+01 1.728499e+00 6.298061e-20)
0.0104       	(4.013251e+01 8.385906e+01 1.853814e-19)	(2.757301e+01 8.213344e+01 1.225090e-19)	(1.255950e+01 1.725625e+00 6.287245e-20)
0.0105       	(4.479789e+01 5.717433e+01 2.993086e-18)	(3.226627e+01 5.545223e+01 2.930328e-18)	(1.253161e+01 1.722108e+00 6.275723e-20)
0.0106       	(4.922889e+01 3.316937e+01 5.665692e-18)	(3.672511e+01 3.145137e+01 5.603707e-18)	(1.250378e+01 1.717998e+00 6.198423e-20)
0.0107       	(5.002872e+01 3.168935e+01 5.633301e-18)	(3.755261e+01 2.997569e+01 5.571821e-18)	(1.247611e+01 1.713661e+00 6.148058e-20)
0.0108       	(5.008177e+01 3.265428e+01 5.140549e-18)	(3.763294e+01 3.094491e+01 5.079326e-18)	(1.244883e+01 1.709373e+00 6.122235e-20)
0.0109       	(5.013774e+01 3.324837e+01 4.739140e-18)	(3.771601e+01 3.154321e+01 4.678127e-18)	(1.242173e+01 1.705164e+00 6.101299e-20)
0.011        	(4.974826e+01 3.751041e+01 3.730151e-18)	(3.735367e+01 3.580960e+01 3.669285e-18)	(1.239459e+01 1.700805e+00 6.086569e-20)
0.0111       	(4.901128e+01 4.729824e+01 2.263716e-18)	(3.664386e+01 4.560078e+01 2.202881e-18)	(1.236742e+01 1.697460e+00 6.083522e-20)
0.0112       	(4.536900e+01 6.960771e+01 9.834632e-20)	(3.302815e+01 6.791265e+01 3.747727e-20)	(1.234086e+01 1.695061e+00 6.086905e-20)
0.0113       	(3.165265e+01 2.609447e+02 -1.085163e-17)	(1.933886e+01 2.592541e+02 -1.091266e-17)	(1.231380e+01 1.690536e+00 6.103375e-20)
0.0114       	(4.253512e+01 1.384667e+02 -2.212872e-18)	(3.024788e+01 1.367797e+02 -2.273954e-18)	(1.228724e+01 1.687018e+00 6.108221e-20)
0.0115       	(4.636647e+01 1.436637e+02 -1.093609e-18)	(3.410588e+01 1.419783e+02 -1.155302e-18)	(1.226059e+01 1.685402e+00 6.169300e-20)
0.0116       	(2.937754e+02 4.603423e+01 3.546531e-17)	(2.815384e+02 4.435337e+01 3.540225e-17)	(1.223701e+01 1.680860e+00 6.306352e-20)
0.0117       	(4.399421e+02 -3.405636e+01 5.720680e-17)	(4.277259e+02 -3.573228e+01 5.714307e-17)	(1.221622e+01 1.675924e+00 6.373082e-20)
0.0118       	(5.630249e+01 3.946179e+02 -7.636462e-18)	(4.411107e+01 3.929465e+02 -7.699803e-18)	(1.219142e+01 1.671367e+00 6.334107e-20)
0.0119       	(-2.530257e+00 6.433437e+02 -2.645136e-17)	(-1.469553e+01 6.416779e+02 -2.651423e-17)	(1.216527e+01 1.665809e+00 6.286812e-20)
0.012        	(-1.957219e+02 2.242266e+03 -1.348043e-16)	(-2.078594e+02 2.240612e+03 -1.348640e-16)	(1.213753e+01 1.653821e+00 5.970383e-20)
0.0121       	(-4.006683e+01 8.268459e+02 -4.165600e-17)	(-5.217713e+01 8.251963e+02 -4.171556e-17)	(1.211029e+01 1.649665e+00 5.956522e-20)
0.0122       	(3.722915e+01 1.656963e+02 2.044301e-19)	(2.514323e+01 1.640515e+02 1.449564e-19)	(1.208592e+01 1.644804e+00 5.947365e-20)
0.0123       	(4.673393e+01 6.705672e+01 5.558605e-18)	(3.467178e+01 6.541722e+01 5.499313e-18)	(1.206215e+01 1.639505e+00 5.929257e-20)
0.0124       	(4.180316e+01 1.366694e+02 2.100357e-18)	(2.976510e+01 1.350355e+02 2.041180e-18)	(1.203806e+01 1.633941e+00 5.917716e-20)
0.0125       	(3.700684e+01 1.470484e+02 -5.642589e-20)	(2.499281e+01 1.454188e+02 -1.155309e-19)	(1.201403e+01 1.629596e+00 5.910499e-20)
0.0126       	(3.245133e+01 2.029061e+02 -3.385062e-18)	(2.046168e+01 2.012808e+02 -3.444090e-18)	(1.198965e+01 1.625265e+00 5.902763e-20)
0.0127       	(2.846543e+01 2.573268e+02 -6.254626e-18)	(1.649993e+01 2.557060e+02 -6.313593e-18)	(1.196549e+01 1.620811e+00 5.896629e-20)
0.0128       	(3.901425e+01 1.751691e+02 -3.677902e-19)	(2.707239e+01 1.735528e+02 -4.267467e-19)	(1.194185e+01 1.616326e+00 5.895647e-20)
0.0129       	(7.260485e+01 1.324449e+02 1.098010e-17)	(6.068573e+01 1.308342e+02 1.092097e-17)	(1.191912e+01 1.610638e+00 5.912828e-20)
0.013        	(1.531090e+02 9.554273e+02 2.904120e-17)	(1.412088e+02 9.538296e+02 2.898128e-17)	(1.190018e+01 1.597726e+00 5.991990e-20)
0.0131       	(4.753685e+01 1.405618e+03 -8.974041e-18)	(3.565732e+01 1.404031e+03 -9.034785e-18)	(1.187953e+01 1.587698e+00 6.074388e-20)
0.0132       	(2.266222e+01 5.406891e+02 -1.346482e-17)	(1.080611e+01 5.391062e+02 -1.352583e-17)	(1.185612e+01 1.582834e+00 6.100921e-20)
0.0133       	(3.266098e+01 1.953265e+02 -2.787193e-18)	(2.082802e+01 1.937479e+02 -2.848172e-18)	(1.183296e+01 1.578631e+00 6.097898e-20)
0.0134       	(3.001662e+01 1.861968e+02 -2.072192e-18)	(1.820649e+01 1.846222e+02 -2.133100e-18)	(1.181013e+01 1.574589e+00 6.090772e-20)
0.0135       	(-1.618482e+01 1.000546e+03 -4.591723e-18)	(-2.797154e+01 9.989782e+02 -4.651462e-18)	(1.178672e+01 1.568095e+00 5.973878e-20)
0.0136       	(-3.101140e+01 1.339617e+03 -4.344633e-18)	(-4.277461e+01 1.338056e+03 -4.403177e-18)	(1.176321e+01 1.561357e+00 5.854351e-20)
0.0137       	(3.202298e+00 6.425691e+02 -9.354386e-18)	(-8.538197e+00 6.410126e+02 -9.412920e-18)	(1.174049e+01 1.556439e+00 5.853388e-20)
0.0138       	(2.711340e+01 2.706321e+02 -4.104258e-18)	(1.539539e+01 2.690802e+02 -4.162767e-18)	(1.171801e+01 1.551847e+00 5.850926e-20)
0.0139       	(4.102026e+01 1.152134e+02 8.787114e-19)	(2.932425e+01 1.136659e+02 8.203175e-19)	(1.169600e+01 1.547509e+00 5.839390e-20)
0.014        	(1.636019e+02 1.329099e+01 4.932701e-17)	(1.519306e+02 1.174537e+01 4.926782e-17)	(1.167135e+01 1.545621e+00 5.918431e-20)
0.0141       	(9.167311e+01 1.405890e+02 1.505597e-17)	(8.002295e+01 1.390476e+02 1.499672e-17)	(1.165016e+01 1.541429e+00 5.924460e-20)
0.0142       	(7.539664e+01 1.713265e+02 9.203498e-18)	(6.376769e+01 1.697891e+02 9.144259e-18)	(1.162895e+01 1.537450e+00 5.923949e-20)
0.0143       	(5.561509e+01 1.882920e+02 2.013630e-18)	(4.400740e+01 1.867583e+02 1.954525e-18)	(1.160769e+01 1.533700e+00 5.910515e-20)
0.0144       	(8.304844e+01 2.151476e+02 1.542281e-18)	(7.146209e+01 2.136173e+02 1.483463e-18)	(1.158635e+01 1.530302e+00 5.881813e-20)
0.0145       	(9.706939e+01 2.459055e+02 2.470678e-18)	(8.550427e+01 2.443787e+02 2.412165e-18)	(1.156512e+01 1.526814e+00 5.851233e-20)
