# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.297493e+05 1.391358e+06 5.788184e-15)	(1.297281e+05 1.391354e+06 5.787982e-15)	(2.128799e+01 4.316121e+00 2.016243e-19)
0.0002       	(1.127275e+04 1.273797e+05 4.747107e-16)	(1.125211e+04 1.273755e+05 4.745228e-16)	(2.064177e+01 4.194505e+00 1.878705e-19)
0.0003       	(3.256819e+02 8.252619e+03 1.988517e-16)	(3.053383e+02 8.248499e+03 1.986752e-16)	(2.034362e+01 4.119640e+00 1.764179e-19)
0.0004       	(3.835881e+02 8.375296e+03 1.314221e-16)	(3.637897e+02 8.371297e+03 1.312501e-16)	(1.979838e+01 3.999581e+00 1.719325e-19)
0.0005       	(1.697610e+02 9.631907e+02 1.648428e-17)	(1.501460e+02 9.592424e+02 1.631344e-17)	(1.961499e+01 3.948291e+00 1.708331e-19)
0.0006       	(1.568233e+02 5.172398e+02 1.636311e-17)	(1.373802e+02 5.133651e+02 1.619622e-17)	(1.944318e+01 3.874730e+00 1.668966e-19)
0.0007       	(2.069555e+02 -4.217533e+01 2.095662e-17)	(1.876834e+02 -4.600739e+01 2.079070e-17)	(1.927204e+01 3.832066e+00 1.659218e-19)
0.0008       	(1.574699e+02 1.189272e+02 1.447526e-17)	(1.383632e+02 1.151391e+02 1.431021e-17)	(1.910671e+01 3.788100e+00 1.650544e-19)
0.0009       	(1.254969e+02 2.287460e+02 1.229997e-17)	(1.065488e+02 2.250063e+02 1.213598e-17)	(1.894809e+01 3.739709e+00 1.639919e-19)
0.001        	(1.278743e+02 1.183941e+02 1.163621e-17)	(1.090768e+02 1.147086e+02 1.147347e-17)	(1.879757e+01 3.685433e+00 1.627369e-19)
0.0011       	(1.021533e+02 2.149036e+02 1.045607e-17)	(8.350489e+01 2.112617e+02 1.029450e-17)	(1.864836e+01 3.641933e+00 1.615675e-19)
0.0012       	(9.913946e+01 1.412595e+02 -1.153085e-18)	(8.063662e+01 1.376585e+02 -1.313433e-18)	(1.850284e+01 3.600995e+00 1.603481e-19)
0.0013       	(4.035759e+02 -1.683646e+03 -2.271017e-16)	(3.852244e+02 -1.687223e+03 -2.272603e-16)	(1.835152e+01 3.577744e+00 1.586054e-19)
0.0014       	(1.001463e+02 1.916644e+02 -2.612802e-18)	(8.193339e+01 1.881252e+02 -2.770244e-18)	(1.821286e+01 3.539226e+00 1.574415e-19)
0.0015       	(8.087354e+01 2.427394e+02 5.551656e-18)	(6.279509e+01 2.392382e+02 5.395526e-18)	(1.807844e+01 3.501288e+00 1.561303e-19)
0.0016       	(8.251561e+01 2.528504e+02 5.954047e-18)	(6.456826e+01 2.493860e+02 5.799291e-18)	(1.794736e+01 3.464453e+00 1.547559e-19)
0.0017       	(9.759893e+01 4.943830e+02 1.357066e-17)	(7.977981e+01 4.909544e+02 1.341750e-17)	(1.781912e+01 3.428663e+00 1.531582e-19)
0.0018       	(1.175387e+02 5.089683e+01 -4.385212e-18)	(9.984268e+01 4.750791e+01 -4.538093e-18)	(1.769607e+01 3.388917e+00 1.528809e-19)
0.0019       	(1.553290e+02 -2.257794e+02 -2.133360e-17)	(1.377513e+02 -2.291253e+02 -2.148727e-17)	(1.757771e+01 3.345981e+00 1.536647e-19)
0.002        	(6.993375e+01 4.192891e+02 -1.553823e-18)	(5.247271e+01 4.159777e+02 -1.706630e-18)	(1.746104e+01 3.311406e+00 1.528069e-19)
0.0021       	(7.689102e+01 4.563683e+02 -2.982829e-17)	(5.954486e+01 4.530859e+02 -2.997963e-17)	(1.734616e+01 3.282401e+00 1.513377e-19)
0.0022       	(1.091588e+02 5.242792e+02 -8.770571e-17)	(9.192637e+01 5.210215e+02 -8.785523e-17)	(1.723247e+01 3.257719e+00 1.495187e-19)
0.0023       	(3.328429e+01 1.074652e+03 -9.145462e-18)	(1.616059e+01 1.071427e+03 -9.292558e-18)	(1.712370e+01 3.225135e+00 1.470959e-19)
0.0024       	(-3.045107e+01 1.902762e+03 -3.296659e-18)	(-4.746846e+01 1.899567e+03 -3.441398e-18)	(1.701739e+01 3.194349e+00 1.447390e-19)
0.0025       	(-1.343507e+02 4.161005e+03 -3.053800e-17)	(-1.512653e+02 4.157842e+03 -3.068166e-17)	(1.691460e+01 3.163265e+00 1.436625e-19)
0.0026       	(-2.639363e+01 2.567606e+03 -4.499811e-17)	(-4.320711e+01 2.564474e+03 -4.514074e-17)	(1.681347e+01 3.132387e+00 1.426369e-19)
0.0027       	(6.535788e+00 1.736732e+03 1.367383e-19)	(-1.017812e+01 1.733628e+03 -4.088622e-21)	(1.671391e+01 3.103936e+00 1.408269e-19)
0.0028       	(6.980307e+00 2.537120e+03 1.032466e-17)	(-9.635775e+00 2.534045e+03 1.018647e-17)	(1.661608e+01 3.075265e+00 1.381957e-19)
0.0029       	(6.633930e+01 1.942621e+03 8.373587e-18)	(4.981914e+01 1.939573e+03 8.237410e-18)	(1.652016e+01 3.047532e+00 1.361773e-19)
0.003        	(5.220753e+02 8.219831e+03 -2.541348e-17)	(5.056481e+02 8.216828e+03 -2.554845e-17)	(1.642718e+01 3.002995e+00 1.349755e-19)
0.0031       	(1.877273e+02 8.944273e+03 9.017280e-17)	(1.713933e+02 8.941297e+03 9.003923e-17)	(1.633407e+01 2.976689e+00 1.335659e-19)
0.0032       	(-4.271055e+01 5.014889e+03 2.140767e-17)	(-5.895352e+01 5.011939e+03 2.127598e-17)	(1.624296e+01 2.949683e+00 1.316923e-19)
0.0033       	(1.338533e+01 1.534464e+03 2.259885e-18)	(-2.767129e+00 1.531540e+03 2.130672e-18)	(1.615246e+01 2.924270e+00 1.292129e-19)
0.0034       	(9.515219e+01 1.462711e+03 1.365474e-17)	(7.908733e+01 1.459810e+03 1.352751e-17)	(1.606486e+01 2.901125e+00 1.272274e-19)
0.0035       	(1.239828e+02 2.867390e+03 3.339609e-17)	(1.080057e+02 2.864515e+03 3.326993e-17)	(1.597715e+01 2.875061e+00 1.261541e-19)
