# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(4.847166e+05 1.607897e+05 -1.281919e-14)	(4.846938e+05 1.607883e+05 -1.281914e-14)	(2.272578e+01 1.366956e+00 -4.475455e-20)
0.0002       	(1.626438e+04 5.986276e+03 -4.260704e-16)	(1.624228e+04 5.984938e+03 -4.260215e-16)	(2.210680e+01 1.338150e+00 -4.885304e-20)
0.0003       	(8.723891e+02 -4.942214e+00 1.053808e-16)	(8.505404e+02 -6.271914e+00 1.054309e-16)	(2.184866e+01 1.329700e+00 -5.015328e-20)
0.0004       	(6.909317e+02 2.950493e+02 6.819106e-17)	(6.694055e+02 2.937292e+02 6.824087e-17)	(2.152625e+01 1.320072e+00 -4.981689e-20)
0.0005       	(6.002162e+02 3.644339e+02 7.518601e-17)	(5.789071e+02 3.631174e+02 7.523528e-17)	(2.130914e+01 1.316468e+00 -4.926593e-20)
0.0006       	(5.773019e+02 9.316178e+01 5.380689e-17)	(5.561956e+02 9.185264e+01 5.385628e-17)	(2.110627e+01 1.309139e+00 -4.938492e-20)
0.0007       	(5.383748e+02 -6.866295e+01 4.007055e-17)	(5.174682e+02 -6.993701e+01 4.012280e-17)	(2.090666e+01 1.274065e+00 -5.225634e-20)
0.0008       	(4.731686e+02 -1.244636e+01 3.565917e-17)	(4.524471e+02 -1.371305e+01 3.571068e-17)	(2.072146e+01 1.266692e+00 -5.150615e-20)
0.0009       	(3.944438e+02 9.073845e+00 2.824232e-17)	(3.738991e+02 7.813848e+00 2.829307e-17)	(2.054467e+01 1.259997e+00 -5.075006e-20)
0.001        	(3.364174e+02 6.859793e+00 2.102391e-17)	(3.160430e+02 5.606424e+00 2.107398e-17)	(2.037436e+01 1.253369e+00 -5.007293e-20)
0.0011       	(2.785334e+02 -2.264044e+01 1.556332e-17)	(2.583257e+02 -2.388876e+01 1.561284e-17)	(2.020770e+01 1.248318e+00 -4.952298e-20)
0.0012       	(2.294306e+02 6.176840e+01 1.713768e-17)	(2.093812e+02 6.052478e+01 1.718642e-17)	(2.004944e+01 1.243615e+00 -4.873557e-20)
0.0013       	(3.458050e+01 -1.004522e+03 1.678316e-17)	(1.468478e+01 -1.005762e+03 1.683139e-17)	(1.989572e+01 1.240343e+00 -4.822556e-20)
0.0014       	(7.458651e+01 1.554618e+02 4.584842e-17)	(5.483762e+01 1.542273e+02 4.589650e-17)	(1.974889e+01 1.234535e+00 -4.807940e-20)
