# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(6.293949e+04 1.064036e+06 2.422178e-14)	(6.291899e+04 1.064034e+06 2.422181e-14)	(2.050237e+01 2.700841e+00 -3.152723e-20)
0.0002       	(4.863967e+03 7.155865e+04 2.072279e-15)	(4.843989e+03 7.155603e+04 2.072311e-15)	(1.997816e+01 2.625946e+00 -3.171850e-20)
0.0003       	(3.640543e+01 -9.270206e+03 -5.668364e-17)	(1.661386e+01 -9.272795e+03 -5.665271e-17)	(1.979157e+01 2.589242e+00 -3.093396e-20)
0.0004       	(2.501218e+01 -2.815815e+01 4.572597e-17)	(6.115389e+00 -3.064650e+01 4.575524e-17)	(1.889679e+01 2.488351e+00 -2.926743e-20)
0.0005       	(2.215375e+01 -6.613226e+00 4.469252e-17)	(3.413327e+00 -9.073303e+00 4.472057e-17)	(1.874042e+01 2.460077e+00 -2.804899e-20)
0.0006       	(2.307526e+01 2.194514e+00 4.482472e-17)	(4.480361e+00 -2.404837e-01 4.485209e-17)	(1.859490e+01 2.434997e+00 -2.736836e-20)
0.0007       	(2.407922e+01 2.304102e+00 4.516504e-17)	(5.624011e+00 -1.053854e-01 4.519186e-17)	(1.845521e+01 2.409487e+00 -2.682094e-20)
0.0008       	(8.368898e+01 -4.385704e+02 7.395391e-17)	(6.537198e+01 -4.409600e+02 7.397995e-17)	(1.831700e+01 2.389602e+00 -2.604551e-20)
0.0009       	(1.718703e+02 -1.050495e+03 1.094494e-16)	(1.536884e+02 -1.052866e+03 1.094746e-16)	(1.818193e+01 2.370165e+00 -2.517570e-20)
0.001        	(8.328606e+01 -3.934529e+02 6.861694e-17)	(6.523393e+01 -3.957987e+02 6.864156e-17)	(1.805213e+01 2.345743e+00 -2.461635e-20)
0.0011       	(5.423603e+01 -1.964967e+02 5.770464e-17)	(3.630884e+01 -1.988196e+02 5.772877e-17)	(1.792718e+01 2.322893e+00 -2.413016e-20)
0.0012       	(2.491957e+01 -1.302461e+01 4.608138e-17)	(7.113522e+00 -1.532537e+01 4.610505e-17)	(1.780605e+01 2.300762e+00 -2.366948e-20)
0.0013       	(3.695943e+01 -8.509971e+01 5.101385e-17)	(1.927140e+01 -8.737797e+01 5.103719e-17)	(1.768803e+01 2.278259e+00 -2.334870e-20)
0.0014       	(7.994560e+01 -3.465445e+02 6.728763e-17)	(6.237255e+01 -3.487999e+02 6.731071e-17)	(1.757306e+01 2.255433e+00 -2.308371e-20)
