# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.790454e+05 8.715192e+05 -2.149858e-14)	(1.790251e+05 8.715176e+05 -2.149844e-14)	(2.024111e+01 1.653044e+00 -1.409467e-19)
0.0002       	(1.013674e+04 3.501757e+04 -2.853483e-15)	(1.011701e+04 3.501592e+04 -2.853367e-15)	(1.972590e+01 1.649153e+00 -1.162192e-19)
0.0003       	(9.348916e+02 6.751652e+03 -4.518178e-16)	(9.153628e+02 6.750014e+03 -4.517061e-16)	(1.952874e+01 1.637916e+00 -1.117078e-19)
0.0004       	(7.533731e+02 4.041020e+03 -2.481731e-16)	(7.340192e+02 4.039400e+03 -2.480639e-16)	(1.935391e+01 1.620412e+00 -1.092153e-19)
0.0005       	(6.358425e+02 3.143444e+03 -2.170870e-16)	(6.166617e+02 3.141844e+03 -2.169800e-16)	(1.918083e+01 1.600375e+00 -1.069978e-19)
0.0006       	(6.154897e+02 3.013884e+03 -2.139672e-16)	(5.964717e+02 3.012304e+03 -2.138624e-16)	(1.901805e+01 1.580445e+00 -1.048517e-19)
0.0007       	(1.344037e+03 5.569519e+03 -3.402598e-16)	(1.325172e+03 5.567958e+03 -3.401620e-16)	(1.886572e+01 1.561107e+00 -9.775941e-20)
0.0008       	(1.534891e+03 9.274184e+03 -4.104734e-16)	(1.516175e+03 9.272641e+03 -4.103839e-16)	(1.871631e+01 1.542982e+00 -8.952377e-20)
0.0009       	(9.084705e+02 4.225176e+03 -2.817595e-16)	(8.899016e+02 4.223644e+03 -2.816735e-16)	(1.856886e+01 1.532262e+00 -8.597110e-20)
0.001        	(1.041491e+03 5.016478e+03 -2.959621e-16)	(1.023074e+03 5.014946e+03 -2.958840e-16)	(1.841728e+01 1.531509e+00 -7.811601e-20)
