# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.285344e+05 -1.252491e+06 -5.849001e-14)	(2.285133e+05 -1.252486e+06 -5.848994e-14)	(2.106254e+01 -4.328361e+00 -6.323482e-20)
0.0002       	(8.506035e+03 -4.599665e+04 -4.703584e-15)	(8.485538e+03 -4.599243e+04 -4.703522e-15)	(2.049667e+01 -4.216966e+00 -6.282774e-20)
0.0003       	(-1.782749e+02 1.081530e+04 1.778813e-16)	(-1.985440e+02 1.081944e+04 1.779446e-16)	(2.026912e+01 -4.138117e+00 -6.333003e-20)
0.0004       	(1.322184e+02 -1.058114e+02 -1.235668e-16)	(1.129833e+02 -1.018596e+02 -1.235026e-16)	(1.923504e+01 -3.951822e+00 -6.417964e-20)
0.0005       	(8.208556e+01 -6.105400e+01 -1.027895e-16)	(6.301756e+01 -5.714312e+01 -1.027241e-16)	(1.906800e+01 -3.910879e+00 -6.531063e-20)
0.0006       	(6.177137e+01 -4.296386e+01 -9.440854e-17)	(4.286729e+01 -3.909528e+01 -9.434215e-17)	(1.890409e+01 -3.868578e+00 -6.638795e-20)
0.0007       	(5.163792e+01 -3.389702e+01 -9.025832e-17)	(3.288925e+01 -3.009597e+01 -9.019077e-17)	(1.874867e+01 -3.801055e+00 -6.755874e-20)
0.0008       	(4.561276e+01 -2.856454e+01 -8.781384e-17)	(2.701360e+01 -2.480788e+01 -8.774419e-17)	(1.859916e+01 -3.756660e+00 -6.964997e-20)
0.0009       	(4.161212e+01 -2.506191e+01 -8.620776e-17)	(2.315773e+01 -2.134099e+01 -8.613668e-17)	(1.845438e+01 -3.720920e+00 -7.107653e-20)
0.001        	(3.877153e+01 -2.260585e+01 -8.508060e-17)	(2.045746e+01 -1.891701e+01 -8.500847e-17)	(1.831407e+01 -3.688838e+00 -7.212707e-20)
0.0011       	(3.667147e+01 -2.080035e+01 -8.425857e-17)	(1.849395e+01 -1.714416e+01 -8.418567e-17)	(1.817753e+01 -3.656190e+00 -7.290101e-20)
0.0012       	(3.506951e+01 -1.943746e+01 -8.363977e-17)	(1.702499e+01 -1.581286e+01 -8.356620e-17)	(1.804452e+01 -3.624603e+00 -7.356563e-20)
0.0013       	(3.381854e+01 -1.837902e+01 -8.316195e-17)	(1.590384e+01 -1.478570e+01 -8.308734e-17)	(1.791470e+01 -3.593327e+00 -7.460180e-20)
0.0014       	(3.282650e+01 -1.753802e+01 -8.278148e-17)	(1.503809e+01 -1.397555e+01 -8.270605e-17)	(1.778842e+01 -3.562465e+00 -7.543153e-20)
0.0015       	(3.201216e+01 -1.683941e+01 -8.244942e-17)	(1.434728e+01 -1.330764e+01 -8.237333e-17)	(1.766488e+01 -3.531773e+00 -7.608899e-20)
0.0016       	(3.095018e+01 -1.560605e+01 -8.189140e-17)	(1.340638e+01 -1.210444e+01 -8.181477e-17)	(1.754380e+01 -3.501607e+00 -7.663233e-20)
0.0017       	(2.180817e+01 1.132253e+02 -7.868960e-17)	(4.383390e+00 1.167000e+02 -7.861322e-17)	(1.742478e+01 -3.474754e+00 -7.638042e-20)
0.0018       	(8.872618e-01 2.208586e+02 -6.661450e-17)	(-1.641993e+01 2.243098e+02 -6.653994e-17)	(1.730719e+01 -3.451243e+00 -7.455997e-20)
0.0019       	(4.853886e+01 -2.021353e+01 -7.751416e-17)	(3.134985e+01 -1.680349e+01 -7.744277e-17)	(1.718901e+01 -3.410041e+00 -7.139403e-20)
0.002        	(1.695841e+02 -3.131376e+01 -8.088341e-17)	(1.525106e+02 -2.793321e+01 -8.081324e-17)	(1.707345e+01 -3.380557e+00 -7.017022e-20)
0.0021       	(2.977470e+02 -4.634301e+01 -8.118784e-17)	(2.807893e+02 -4.299180e+01 -8.112102e-17)	(1.695769e+01 -3.351206e+00 -6.681769e-20)
0.0022       	(2.374139e+02 -3.681787e+01 -8.026559e-17)	(2.205678e+02 -3.349547e+01 -8.020173e-17)	(1.684614e+01 -3.322395e+00 -6.386273e-20)
0.0023       	(1.044213e+02 -2.117389e+01 -7.995433e-17)	(8.768137e+01 -1.787913e+01 -7.989200e-17)	(1.673994e+01 -3.294761e+00 -6.233050e-20)
0.0024       	(7.901228e+01 -1.022045e+01 -7.948510e-17)	(6.237626e+01 -6.950449e+00 -7.942919e-17)	(1.663603e+01 -3.270005e+00 -5.591270e-20)
0.0025       	(5.978734e+01 1.161325e+03 -8.930052e-17)	(4.325414e+01 1.164576e+03 -8.924716e-17)	(1.653321e+01 -3.251349e+00 -5.335868e-20)
0.0026       	(6.349703e+01 6.756853e+02 -8.649783e-17)	(4.706435e+01 6.789144e+02 -8.644579e-17)	(1.643268e+01 -3.229112e+00 -5.204795e-20)
0.0027       	(6.514609e+01 5.032582e+01 -7.990544e-17)	(4.881092e+01 5.353019e+01 -7.985391e-17)	(1.633517e+01 -3.204370e+00 -5.152854e-20)
0.0028       	(6.347970e+01 1.112988e+01 -7.999030e-17)	(4.723938e+01 1.430957e+01 -7.993955e-17)	(1.624032e+01 -3.179685e+00 -5.074596e-20)
0.0029       	(6.214741e+01 5.993211e+01 -8.145008e-17)	(4.600002e+01 6.308683e+01 -8.140031e-17)	(1.614739e+01 -3.154720e+00 -4.976839e-20)
0.003        	(6.021780e+01 2.430900e+01 -8.102030e-17)	(4.416131e+01 2.743984e+01 -8.097150e-17)	(1.605649e+01 -3.130846e+00 -4.879609e-20)
0.0031       	(5.862725e+01 1.823854e+01 -8.110153e-17)	(4.265997e+01 2.134754e+01 -8.105428e-17)	(1.596728e+01 -3.108996e+00 -4.725529e-20)
0.0032       	(5.768189e+01 6.483216e+01 -8.229913e-17)	(4.180178e+01 6.791959e+01 -8.225382e-17)	(1.588011e+01 -3.087432e+00 -4.531496e-20)
