# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.199638e+05 1.357346e+06 -4.640561e-16)	(1.199427e+05 1.357342e+06 -4.639957e-16)	(2.107119e+01 3.914227e+00 -6.043828e-20)
0.0002       	(6.883890e+03 7.983466e+04 1.165601e-15)	(6.863441e+03 7.983093e+04 1.165657e-15)	(2.044840e+01 3.738001e+00 -5.599618e-20)
0.0003       	(-8.249955e+02 -1.807353e+04 3.976812e-17)	(-8.452189e+02 -1.807721e+04 3.982528e-17)	(2.022345e+01 3.677545e+00 -5.716026e-20)
0.0004       	(-2.258434e+00 2.908613e+02 3.040041e-17)	(-2.133757e+01 2.873697e+02 3.045584e-17)	(1.907913e+01 3.491574e+00 -5.542902e-20)
0.0005       	(1.530752e+01 1.022339e+02 2.578575e-17)	(-3.604391e+00 9.878052e+01 2.584051e-17)	(1.891191e+01 3.453381e+00 -5.476820e-20)
0.0006       	(2.702343e+01 1.078063e+01 2.631904e-17)	(8.274808e+00 7.365029e+00 2.637313e-17)	(1.874862e+01 3.415604e+00 -5.408580e-20)
0.0007       	(5.520822e+02 -2.640251e+03 1.878478e-16)	(5.334933e+02 -2.643620e+03 1.879033e-16)	(1.858889e+01 3.369249e+00 -5.553376e-20)
0.0008       	(5.975544e+01 4.808135e+02 8.575466e-17)	(4.132823e+01 4.774783e+02 8.581075e-17)	(1.842721e+01 3.335172e+00 -5.609464e-20)
0.0009       	(-3.342556e+02 3.202547e+03 6.414087e-17)	(-3.525159e+02 3.199245e+03 6.419673e-17)	(1.826035e+01 3.301609e+00 -5.586252e-20)
0.001        	(-1.136906e+02 1.306599e+03 4.371635e-17)	(-1.318029e+02 1.303331e+03 4.377154e-17)	(1.811231e+01 3.268582e+00 -5.518875e-20)
0.0011       	(1.970393e+02 -8.605038e+02 6.915526e-17)	(1.790661e+02 -8.637321e+02 6.920643e-17)	(1.797320e+01 3.228236e+00 -5.117332e-20)
0.0012       	(6.838604e+01 -2.183687e+02 3.235213e-17)	(5.054639e+01 -2.215654e+02 3.240249e-17)	(1.783965e+01 3.196769e+00 -5.036501e-20)
0.0013       	(2.309006e+01 -6.253499e+00 1.931495e-17)	(5.380118e+00 -9.420058e+00 1.936468e-17)	(1.770995e+01 3.166559e+00 -4.973526e-20)
0.0014       	(2.715078e+01 -3.257167e+01 1.977929e-17)	(9.569531e+00 -3.570910e+01 1.982845e-17)	(1.758125e+01 3.137437e+00 -4.915163e-20)
0.0015       	(1.236964e+02 -6.928760e+02 2.234713e-17)	(1.062351e+02 -6.959940e+02 2.239669e-17)	(1.746130e+01 3.118043e+00 -4.955444e-20)
0.0016       	(1.502574e+02 -6.093267e+02 3.480287e-17)	(1.329121e+02 -6.124101e+02 3.485152e-17)	(1.734526e+01 3.083353e+00 -4.864428e-20)
0.0017       	(9.604653e+01 -3.328392e+02 3.650212e-17)	(7.881584e+01 -3.358925e+02 3.654946e-17)	(1.723070e+01 3.053291e+00 -4.733801e-20)
0.0018       	(2.155836e+01 2.555369e+01 2.242966e-17)	(4.439737e+00 2.252519e+01 2.247645e-17)	(1.711862e+01 3.028505e+00 -4.679142e-20)
0.0019       	(1.348533e+01 5.735597e+01 2.012355e-17)	(-3.522913e+00 5.435161e+01 2.016981e-17)	(1.700824e+01 3.004367e+00 -4.625614e-20)
0.002        	(1.585489e+01 3.227134e+01 1.930688e-17)	(-1.046953e+00 2.929072e+01 1.935255e-17)	(1.690185e+01 2.980628e+00 -4.566854e-20)
0.0021       	(1.780968e+01 1.871780e+01 1.939106e-17)	(1.011726e+00 1.576038e+01 1.943613e-17)	(1.679796e+01 2.957416e+00 -4.507172e-20)
0.0022       	(1.016423e+02 -4.658119e+02 3.904680e-17)	(8.494796e+01 -4.687473e+02 3.909113e-17)	(1.669436e+01 2.935390e+00 -4.433319e-20)
0.0023       	(5.588088e+01 -1.301076e+02 3.469441e-17)	(3.928677e+01 -1.330197e+02 3.473802e-17)	(1.659410e+01 2.912050e+00 -4.361226e-20)
0.0024       	(1.591065e+01 1.098344e+02 2.384367e-17)	(-5.865083e-01 1.069429e+02 2.388711e-17)	(1.649716e+01 2.891538e+00 -4.344231e-20)
