# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(8.843312e+05 1.051627e+06 3.505049e-14)	(8.843071e+05 1.051622e+06 3.505039e-14)	(2.409472e+01 4.984523e+00 9.907509e-20)
0.0002       	(3.251799e+04 5.265208e+04 1.782007e-15)	(3.249458e+04 5.264737e+04 1.781936e-15)	(2.341448e+01 4.719002e+00 7.111043e-20)
0.0003       	(-3.374951e+03 -1.300936e+04 -3.762955e-16)	(-3.398008e+03 -1.301400e+04 -3.763530e-16)	(2.305672e+01 4.631074e+00 5.751463e-20)
0.0004       	(1.604695e+01 2.302244e+02 4.315946e-17)	(-5.321971e+00 2.259041e+02 4.310931e-17)	(2.136892e+01 4.320288e+00 5.014876e-20)
0.0005       	(1.763909e+01 1.682721e+02 4.320341e-17)	(-3.514244e+00 1.639974e+02 4.315239e-17)	(2.115334e+01 4.274671e+00 5.102596e-20)
0.0006       	(1.924126e+01 6.123451e+01 4.215498e-17)	(-1.705912e+00 5.700312e+01 4.210319e-17)	(2.094717e+01 4.231392e+00 5.178909e-20)
0.0007       	(1.961861e+01 3.865053e+01 4.173865e-17)	(-1.130268e+00 3.446061e+01 4.168608e-17)	(2.074888e+01 4.189919e+00 5.256905e-20)
0.0008       	(1.931860e+01 3.648834e+01 4.169977e-17)	(-1.237991e+00 3.233849e+01 4.164619e-17)	(2.055659e+01 4.149849e+00 5.358057e-20)
0.0009       	(1.601036e+01 5.279950e+01 4.176529e-17)	(-4.361327e+00 4.868908e+01 4.171072e-17)	(2.037168e+01 4.110421e+00 5.457395e-20)
0.001        	(-4.118748e+01 3.242934e+02 4.180213e-17)	(-6.138112e+01 3.202252e+02 4.174721e-17)	(2.019364e+01 4.068148e+00 5.491932e-20)
0.0011       	(1.083094e+00 -2.253217e+02 4.202240e-17)	(-1.893432e+01 -2.293669e+02 4.196907e-17)	(2.001741e+01 4.045209e+00 5.333338e-20)
0.0012       	(7.714516e+00 7.949022e+01 5.403134e-17)	(-1.213107e+01 7.547372e+01 5.397829e-17)	(1.984559e+01 4.016497e+00 5.305008e-20)
0.0013       	(1.480122e+00 2.880676e+02 5.499083e-17)	(-1.820002e+01 2.840858e+02 5.493694e-17)	(1.968014e+01 3.981831e+00 5.388704e-20)
0.0014       	(2.581729e+01 -1.841468e+02 4.346759e-17)	(6.298399e+00 -1.880806e+02 4.341310e-17)	(1.951889e+01 3.933810e+00 5.448920e-20)
0.0015       	(2.229013e+01 -9.685967e+01 4.204366e-17)	(2.927247e+00 -1.007612e+02 4.198904e-17)	(1.936288e+01 3.901516e+00 5.461916e-20)
0.0016       	(1.760262e+01 2.197158e+01 4.192470e-17)	(-1.608739e+00 1.810212e+01 4.186954e-17)	(1.921135e+01 3.869467e+00 5.515288e-20)
0.0017       	(-9.973138e+00 2.734899e+02 4.207567e-17)	(-2.903697e+01 2.696524e+02 4.202030e-17)	(1.906383e+01 3.837554e+00 5.536961e-20)
0.0018       	(-5.943064e+01 4.696773e+02 4.340144e-17)	(-7.835612e+01 4.658737e+02 4.334660e-17)	(1.892547e+01 3.803574e+00 5.483806e-20)
0.0019       	(5.701633e+00 1.142756e+02 4.543336e-17)	(-1.308436e+01 1.105036e+02 4.537759e-17)	(1.878599e+01 3.771963e+00 5.576798e-20)
0.002        	(-1.801031e+01 3.472346e+02 5.381429e-17)	(-3.666064e+01 3.434935e+02 5.375761e-17)	(1.865033e+01 3.741107e+00 5.667972e-20)
0.0021       	(-3.036515e+01 4.123790e+02 5.221734e-17)	(-4.888276e+01 4.086650e+02 5.216112e-17)	(1.851761e+01 3.713987e+00 5.622554e-20)
0.0022       	(9.896887e+00 2.986539e+00 4.378548e-17)	(-8.490770e+00 -6.941823e-01 4.372650e-17)	(1.838766e+01 3.680721e+00 5.897161e-20)
0.0023       	(1.350297e+01 -3.859345e+00 4.256041e-17)	(-4.760094e+00 -7.506498e+00 4.249985e-17)	(1.826306e+01 3.647153e+00 6.055802e-20)
0.0024       	(1.073714e+01 4.767176e+01 4.286777e-17)	(-7.404495e+00 4.405311e+01 4.280664e-17)	(1.814163e+01 3.618649e+00 6.113727e-20)
0.0025       	(-7.322589e-01 2.178548e+02 4.715678e-17)	(-1.875606e+01 2.142628e+02 4.709611e-17)	(1.802380e+01 3.591977e+00 6.066904e-20)
0.0026       	(-3.514467e+01 6.429163e+02 6.441178e-17)	(-5.305413e+01 6.393498e+02 6.435136e-17)	(1.790946e+01 3.566487e+00 6.042272e-20)
0.0027       	(-3.279544e+01 6.501667e+02 6.247727e-17)	(-5.059253e+01 6.466254e+02 6.241671e-17)	(1.779709e+01 3.541278e+00 6.056129e-20)
0.0028       	(7.288002e-01 1.883940e+02 4.679878e-17)	(-1.695890e+01 1.848775e+02 4.673793e-17)	(1.768770e+01 3.516568e+00 6.085288e-20)
0.0029       	(-3.778587e+00 2.060094e+02 4.718012e-17)	(-2.135988e+01 2.025172e+02 4.711902e-17)	(1.758129e+01 3.492204e+00 6.110033e-20)
0.003        	(-2.076868e+02 1.494187e+03 5.408343e-17)	(-2.251628e+02 1.490726e+03 5.402002e-17)	(1.747598e+01 3.461089e+00 6.341093e-20)
0.0031       	(-1.073569e+02 1.020948e+03 5.785135e-17)	(-1.247300e+02 1.017515e+03 5.778716e-17)	(1.737311e+01 3.432528e+00 6.418562e-20)
0.0032       	(-3.701915e+00 6.974326e+02 5.405751e-17)	(-2.097263e+01 6.940294e+02 5.399338e-17)	(1.727072e+01 3.403244e+00 6.413699e-20)
0.0033       	(1.356574e+02 1.470843e+02 4.675270e-17)	(1.184886e+02 1.437143e+02 4.668876e-17)	(1.716887e+01 3.370040e+00 6.394218e-20)
0.0034       	(7.317204e+01 -8.213087e+01 4.094474e-17)	(5.610016e+01 -8.547523e+01 4.088070e-17)	(1.707188e+01 3.344362e+00 6.404534e-20)
0.0035       	(3.307741e+01 -1.277995e+03 3.838282e-17)	(1.610295e+01 -1.281323e+03 3.831850e-17)	(1.697445e+01 3.327484e+00 6.431931e-20)
0.0036       	(-4.731774e+00 7.006940e+02 5.274022e-17)	(-2.161290e+01 6.973905e+02 5.267613e-17)	(1.688113e+01 3.303579e+00 6.408871e-20)
0.0037       	(1.096567e+02 1.726579e+02 2.253115e-17)	(9.286393e+01 1.693766e+02 2.246953e-17)	(1.679274e+01 3.281374e+00 6.162300e-20)
0.0038       	(1.680202e+02 4.448812e+01 8.689615e-18)	(1.513153e+02 4.122860e+01 8.631882e-18)	(1.670498e+01 3.259516e+00 5.773310e-20)
0.0039       	(1.300426e+02 -3.348249e+00 1.753721e-17)	(1.134227e+02 -6.586166e+00 1.748291e-17)	(1.661987e+01 3.237917e+00 5.429991e-20)
0.004        	(8.646148e+01 5.889741e+01 2.837142e-17)	(6.992205e+01 5.567935e+01 2.831876e-17)	(1.653943e+01 3.218061e+00 5.265924e-20)
0.0041       	(6.655630e+01 -2.714324e+01 3.323586e-17)	(5.009770e+01 -3.034015e+01 3.318608e-17)	(1.645860e+01 3.196909e+00 4.977641e-20)
0.0042       	(5.366095e+01 -6.327106e+01 3.588481e-17)	(3.728138e+01 -6.643570e+01 3.583584e-17)	(1.637958e+01 3.164639e+00 4.896248e-20)
