# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(6.293867e+04 -3.780014e+05 1.739810e-14)	(6.291832e+04 -3.780003e+05 1.739808e-14)	(2.035376e+01 -1.105489e+00 1.279153e-20)
0.0002       	(1.183670e+03 -1.398954e+04 6.052098e-16)	(1.163640e+03 -1.398847e+04 6.052002e-16)	(2.002989e+01 -1.077329e+00 9.593272e-21)
0.0003       	(2.684712e+02 -1.383599e+03 1.905099e-16)	(2.485863e+02 -1.382543e+03 1.905008e-16)	(1.988492e+01 -1.055600e+00 9.014900e-21)
0.0004       	(3.294338e+02 -1.795392e+03 1.993142e-16)	(3.097059e+02 -1.794355e+03 1.993056e-16)	(1.972790e+01 -1.037440e+00 8.605527e-21)
0.0005       	(3.099282e+02 -1.675992e+03 1.876252e-16)	(2.903331e+02 -1.674969e+03 1.876169e-16)	(1.959515e+01 -1.022558e+00 8.200102e-21)
0.0006       	(2.887207e+02 -1.633152e+03 1.770493e-16)	(2.692543e+02 -1.632142e+03 1.770419e-16)	(1.946646e+01 -1.010097e+00 7.437306e-21)
0.0007       	(3.096348e+02 -1.988959e+03 1.806500e-16)	(2.902918e+02 -1.987963e+03 1.806431e-16)	(1.934306e+01 -9.961448e-01 6.848962e-21)
0.0008       	(3.082456e+02 -3.969494e+03 1.815309e-16)	(2.890215e+02 -3.968510e+03 1.815248e-16)	(1.922409e+01 -9.845849e-01 6.111051e-21)
0.0009       	(3.604136e+02 -2.765050e+03 1.916470e-16)	(3.413041e+02 -2.764078e+03 1.916413e-16)	(1.910951e+01 -9.720218e-01 5.641338e-21)
0.001        	(3.169576e+02 -2.014140e+03 1.775958e-16)	(2.979596e+02 -2.013182e+03 1.775906e-16)	(1.899796e+01 -9.586364e-01 5.173416e-21)
0.0011       	(2.994479e+02 -1.907500e+03 1.715804e-16)	(2.805584e+02 -1.906555e+03 1.715756e-16)	(1.888953e+01 -9.441538e-01 4.758977e-21)
